sep=,
"Time","dt_sound_level_dB"
2022-04-04 00:09:00,52
2022-04-04 00:10:00,52
2022-04-04 00:11:00,54
2022-04-04 00:12:00,49
2022-04-04 00:14:00,48
2022-04-04 00:15:00,49
2022-04-04 00:16:00,53
2022-04-04 00:17:00,49
2022-04-04 00:18:00,56
2022-04-04 00:19:00,49
2022-04-04 00:30:00,48
2022-04-04 00:31:00,51
2022-04-04 00:32:00,48
2022-04-04 00:33:00,50
2022-04-04 00:34:00,48
2022-04-04 00:35:00,49
2022-04-04 00:36:00,50
2022-04-04 00:37:00,48
2022-04-04 00:38:00,52
2022-04-04 00:39:00,48
2022-04-04 00:40:00,49
2022-04-04 00:41:00,53
2022-04-04 00:42:00,49
2022-04-04 00:43:00,51
2022-04-04 00:44:00,51
2022-04-04 00:45:00,49
2022-04-04 00:46:00,50
2022-04-04 00:47:00,48
2022-04-04 00:48:00,47
2022-04-04 00:59:00,51
2022-04-04 01:00:00,47
2022-04-04 01:01:00,51
2022-04-04 01:02:00,48
2022-04-04 01:03:00,47
2022-04-04 01:04:00,51
2022-04-04 01:05:00,47
2022-04-04 01:06:00,48
2022-04-04 01:07:00,49
2022-04-04 01:08:00,51
2022-04-04 01:09:00,49
2022-04-04 01:10:00,48
2022-04-04 01:11:00,46
2022-04-04 01:12:00,50
2022-04-04 01:13:00,46
2022-04-04 01:15:00,49
2022-04-04 01:16:00,47
2022-04-04 01:17:00,48
2022-04-04 01:18:00,49
2022-04-04 01:19:00,50
2022-04-04 01:20:00,48
2022-04-04 01:21:00,46
2022-04-04 01:22:00,50
2022-04-04 01:23:00,48
2022-04-04 01:24:00,50
2022-04-04 01:25:00,50
2022-04-04 01:26:00,50
2022-04-04 01:27:00,48
2022-04-04 01:28:00,48
2022-04-04 01:29:00,48
2022-04-04 01:30:00,51
2022-04-04 01:31:00,50
2022-04-04 01:32:00,48
2022-04-04 01:33:00,48
2022-04-04 01:34:00,51
2022-04-04 01:35:00,47
2022-04-04 01:36:00,47
2022-04-04 01:37:00,48
2022-04-04 01:38:00,48
2022-04-04 01:39:00,50
2022-04-04 01:49:00,50
2022-04-04 01:50:00,50
2022-04-04 01:51:00,49
2022-04-04 01:52:00,49
2022-04-04 01:53:00,53
2022-04-04 01:54:00,46
2022-04-04 01:55:00,51
2022-04-04 01:56:00,49
2022-04-04 01:57:00,48
2022-04-04 01:58:00,48
2022-04-04 05:20:00,50
2022-04-04 05:21:00,50
2022-04-04 05:22:00,49
2022-04-04 05:23:00,50
2022-04-04 05:24:00,49
2022-04-04 05:25:00,48
2022-04-04 05:26:00,51
2022-04-04 05:27:00,48
2022-04-04 05:28:00,49
2022-04-04 05:29:00,49
2022-04-04 05:30:00,50
2022-04-04 05:31:00,53
2022-04-04 05:32:00,48
2022-04-04 05:33:00,49
2022-04-04 05:34:00,46
2022-04-04 05:35:00,54
2022-04-04 05:36:00,49
2022-04-04 05:37:00,50
2022-04-04 05:38:00,50
2022-04-04 05:39:00,49
2022-04-04 05:40:00,49
2022-04-04 05:41:00,52
2022-04-04 05:42:00,50
2022-04-04 05:43:00,49
2022-04-04 05:44:00,51
2022-04-04 05:45:00,51
2022-04-04 05:46:00,50
2022-04-04 05:47:00,48
2022-04-04 05:48:00,48
2022-04-04 05:49:00,47
2022-04-04 05:50:00,53
2022-04-04 05:51:00,51
2022-04-04 05:52:00,51
2022-04-04 05:53:00,49
2022-04-04 05:54:00,49
2022-04-04 05:55:00,50
2022-04-04 05:56:00,52
2022-04-04 05:57:00,50
2022-04-04 05:58:00,49
2022-04-04 07:40:00,57
2022-04-04 07:41:00,59
2022-04-04 07:42:00,58
2022-04-04 07:43:00,59
2022-04-04 07:44:00,56
2022-04-04 07:45:00,57
2022-04-04 07:46:00,55
2022-04-04 07:47:00,58
2022-04-04 07:48:00,60
2022-04-04 08:09:00,60
2022-04-04 08:10:00,57
2022-04-04 08:11:00,56
2022-04-04 08:12:00,57
2022-04-04 08:13:00,57
2022-04-04 08:14:00,57
2022-04-04 08:15:00,59
2022-04-04 08:16:00,57
2022-04-04 08:17:00,57
2022-04-04 08:18:00,56
2022-04-04 08:40:00,54
2022-04-04 08:41:00,57
2022-04-04 08:42:00,59
2022-04-04 08:43:00,59
2022-04-04 08:44:00,56
2022-04-04 08:45:00,57
2022-04-04 08:46:00,56
2022-04-04 08:47:00,57
2022-04-04 08:48:00,59
2022-04-04 08:49:00,57
2022-04-04 08:50:00,57
2022-04-04 08:51:00,58
2022-04-04 08:52:00,57
2022-04-04 08:53:00,57
2022-04-04 08:54:00,59
2022-04-04 08:55:00,59
2022-04-04 08:56:00,58
2022-04-04 08:57:00,57
2022-04-04 08:58:00,58
2022-04-04 10:50:00,56
2022-04-04 10:51:00,59
2022-04-04 10:52:00,54
2022-04-04 10:53:00,55
2022-04-04 10:54:00,55
2022-04-04 10:55:00,59
2022-04-04 10:56:00,55
2022-04-04 10:57:00,57
2022-04-04 10:58:00,60
2022-04-04 10:59:00,57
2022-04-04 11:00:00,60
2022-04-04 11:01:00,56
2022-04-04 11:02:00,57
2022-04-04 11:03:00,57
2022-04-04 11:04:00,56
2022-04-04 11:05:00,55
2022-04-04 11:06:00,52
2022-04-04 11:07:00,57
2022-04-04 11:08:00,57
2022-04-04 11:09:00,58
2022-04-04 11:11:00,58
2022-04-04 11:12:00,57
2022-04-04 11:13:00,58
2022-04-04 11:14:00,55
2022-04-04 11:15:00,57
2022-04-04 11:16:00,63
2022-04-04 11:17:00,61
2022-04-04 11:18:00,59
2022-04-04 11:19:00,57
2022-04-04 13:30:00,56
2022-04-04 13:31:00,58
2022-04-04 13:32:00,56
2022-04-04 13:33:00,57
2022-04-04 13:34:00,61
2022-04-04 13:35:00,59
2022-04-04 13:36:00,60
2022-04-04 13:37:00,58
2022-04-04 13:38:00,59
2022-04-04 13:39:00,56
2022-04-04 13:59:00,56
2022-04-04 14:00:00,56
2022-04-04 14:01:00,59
2022-04-04 14:02:00,59
2022-04-04 14:03:00,59
2022-04-04 14:04:00,60
2022-04-04 14:05:00,60
2022-04-04 14:07:00,61
2022-04-04 14:08:00,60
2022-04-04 14:09:00,61
2022-04-04 14:10:00,58
2022-04-04 14:11:00,62
2022-04-04 14:12:00,57
2022-04-04 14:13:00,60
2022-04-04 14:14:00,59
2022-04-04 14:15:00,61
2022-04-04 14:16:00,62
2022-04-04 14:17:00,64
2022-04-04 14:18:00,61
2022-04-04 14:19:00,61
2022-04-04 14:30:00,61
2022-04-04 14:31:00,60
2022-04-04 14:32:00,60
2022-04-04 14:33:00,56
2022-04-04 14:34:00,56
2022-04-04 14:35:00,64
2022-04-04 14:36:00,62
2022-04-04 14:37:00,63
2022-04-04 14:38:00,63
2022-04-04 14:39:00,62
2022-04-04 14:40:00,61
2022-04-04 14:41:00,62
2022-04-04 14:42:00,63
2022-04-04 14:43:00,64
2022-04-04 14:44:00,62
2022-04-04 14:45:00,62
2022-04-04 14:46:00,59
2022-04-04 14:47:00,60
2022-04-04 14:48:00,63
2022-04-04 14:49:00,64
2022-04-04 14:50:00,63
2022-04-04 14:51:00,61
2022-04-04 14:52:00,58
2022-04-04 14:53:00,61
2022-04-04 14:54:00,63
2022-04-04 14:55:00,64
2022-04-04 14:56:00,62
2022-04-04 14:57:00,63
2022-04-04 14:58:00,62
2022-04-04 14:59:00,58
2022-04-04 15:00:00,62
2022-04-04 15:01:00,61
2022-04-04 15:02:00,63
2022-04-04 15:03:00,64
2022-04-04 15:04:00,62
2022-04-04 15:05:00,62
2022-04-04 15:06:00,60
2022-04-04 15:08:00,62
2022-04-04 15:09:00,65
2022-04-04 15:59:00,61
2022-04-04 16:00:00,60
2022-04-04 16:01:00,63
2022-04-04 16:02:00,63
2022-04-04 16:03:00,63
2022-04-04 16:05:00,62
2022-04-04 16:06:00,61
2022-04-04 16:07:00,59
2022-04-04 16:08:00,63
2022-04-04 16:09:00,62
2022-04-04 16:30:00,64
2022-04-04 16:31:00,64
2022-04-04 16:32:00,59
2022-04-04 16:33:00,60
2022-04-04 16:34:00,57
2022-04-04 16:35:00,64
2022-04-04 16:36:00,64
2022-04-04 16:37:00,65
2022-04-04 16:38:00,64
2022-04-04 16:39:00,60
2022-04-04 16:59:00,60
2022-04-04 17:00:00,60
2022-04-04 17:01:00,63
2022-04-04 17:02:00,65
2022-04-04 17:03:00,62
2022-04-04 17:04:00,64
2022-04-04 17:06:00,62
2022-04-04 17:07:00,61
2022-04-04 17:08:00,62
2022-04-04 17:09:00,66
2022-04-04 17:59:00,59
2022-04-04 18:00:00,63
2022-04-04 18:01:00,64
2022-04-04 18:02:00,64
2022-04-04 18:03:00,61
2022-04-04 18:04:00,62
2022-04-04 18:05:00,62
2022-04-04 18:07:00,60
2022-04-04 18:08:00,61
2022-04-04 18:09:00,63
2022-04-04 19:20:00,61
