sep=,
"Time","dt_sound_level_dB"
2022-04-04 03:13:00,45
2022-04-04 03:14:00,45
2022-04-04 03:15:00,48
2022-04-04 03:16:00,45
2022-04-04 03:17:00,45
2022-04-04 03:18:00,46
2022-04-04 03:19:00,46
2022-04-04 03:20:00,46
2022-04-04 03:21:00,45
2022-04-04 03:22:00,47
2022-04-04 03:23:00,47
2022-04-04 03:24:00,47
2022-04-04 03:25:00,45
2022-04-04 03:26:00,47
2022-04-04 03:27:00,45
2022-04-04 03:28:00,46
2022-04-04 03:29:00,45
2022-04-04 03:30:00,45
2022-04-04 03:31:00,45
2022-04-04 03:32:00,46
2022-04-04 03:33:00,45
2022-04-04 03:34:00,46
2022-04-04 03:35:00,45
2022-04-04 03:36:00,45
2022-04-04 03:37:00,45
2022-04-04 03:38:00,45
2022-04-04 03:39:00,46
2022-04-04 03:40:00,45
2022-04-04 03:41:00,45
2022-04-04 03:42:00,47
2022-04-04 03:43:00,48
2022-04-04 03:44:00,46
2022-04-04 03:45:00,47
2022-04-04 03:46:00,46
2022-04-04 03:47:00,45
2022-04-04 03:48:00,46
2022-04-04 03:49:00,46
2022-04-04 03:50:00,48
2022-04-04 03:51:00,45
2022-04-04 04:22:00,45
2022-04-04 04:23:00,45
2022-04-04 04:24:00,45
2022-04-04 04:25:00,47
2022-04-04 04:26:00,45
2022-04-04 04:27:00,46
2022-04-04 04:28:00,46
2022-04-04 04:29:00,45
2022-04-04 04:30:00,45
2022-04-04 04:31:00,47
2022-04-04 04:32:00,49
2022-04-04 04:33:00,45
2022-04-04 04:34:00,45
2022-04-04 04:35:00,48
2022-04-04 04:36:00,45
2022-04-04 04:37:00,46
2022-04-04 04:38:00,45
2022-04-04 04:39:00,46
2022-04-04 04:40:00,45
2022-04-04 04:41:00,46
2022-04-04 04:42:00,46
2022-04-04 04:43:00,48
2022-04-04 04:44:00,47
2022-04-04 04:45:00,50
2022-04-04 04:46:00,45
2022-04-04 04:47:00,46
2022-04-04 04:48:00,45
2022-04-04 04:49:00,46
2022-04-04 04:50:00,45
2022-04-04 04:51:00,46
2022-04-04 05:52:00,48
2022-04-04 05:53:00,49
2022-04-04 05:54:00,48
2022-04-04 05:55:00,47
2022-04-04 05:56:00,47
2022-04-04 05:57:00,46
2022-04-04 05:58:00,50
2022-04-04 05:59:00,50
2022-04-04 06:00:00,47
2022-04-04 06:01:00,47
2022-04-04 06:02:00,46
2022-04-04 06:03:00,49
2022-04-04 06:05:00,49
2022-04-04 06:06:00,48
2022-04-04 06:07:00,50
2022-04-04 06:08:00,45
2022-04-04 06:09:00,47
2022-04-04 06:10:00,48
2022-04-04 06:11:00,47
2022-04-04 06:12:00,46
2022-04-04 06:13:00,47
2022-04-04 06:14:00,49
2022-04-04 06:15:00,50
2022-04-04 06:16:00,51
2022-04-04 06:17:00,49
2022-04-04 06:18:00,51
2022-04-04 06:19:00,51
2022-04-04 06:20:00,50
2022-04-04 06:21:00,51
2022-04-04 06:32:00,49
2022-04-04 06:33:00,49
2022-04-04 06:34:00,48
2022-04-04 06:35:00,49
2022-04-04 06:36:00,47
2022-04-04 06:37:00,49
2022-04-04 06:38:00,48
2022-04-04 06:39:00,46
2022-04-04 06:40:00,48
2022-04-04 06:41:00,50
2022-04-04 07:22:00,49
2022-04-04 07:23:00,51
2022-04-04 07:24:00,52
2022-04-04 07:25:00,51
2022-04-04 07:26:00,52
2022-04-04 07:27:00,56
2022-04-04 07:28:00,50
2022-04-04 07:29:00,53
2022-04-04 07:30:00,51
2022-04-04 07:31:00,52
2022-04-04 07:32:00,52
2022-04-04 07:33:00,53
2022-04-04 07:34:00,51
2022-04-04 07:35:00,57
2022-04-04 07:36:00,54
2022-04-04 07:37:00,56
2022-04-04 07:38:00,55
2022-04-04 07:39:00,53
2022-04-04 07:40:00,51
2022-04-04 07:41:00,51
2022-04-04 08:22:00,54
2022-04-04 08:23:00,57
2022-04-04 08:24:00,56
2022-04-04 08:25:00,55
2022-04-04 08:26:00,52
2022-04-04 08:27:00,51
2022-04-04 08:28:00,51
2022-04-04 08:29:00,57
2022-04-04 08:30:00,59
2022-04-04 08:31:00,54
2022-04-04 08:32:00,54
2022-04-04 08:33:00,52
2022-04-04 08:34:00,53
2022-04-04 08:35:00,52
2022-04-04 08:36:00,56
2022-04-04 08:37:00,56
2022-04-04 08:38:00,54
2022-04-04 08:39:00,52
2022-04-04 08:40:00,52
2022-04-04 08:41:00,50
2022-04-04 08:42:00,54
2022-04-04 08:43:00,54
2022-04-04 08:44:00,55
2022-04-04 08:45:00,56
2022-04-04 08:46:00,52
2022-04-04 08:47:00,49
2022-04-04 08:48:00,52
2022-04-04 08:49:00,61
2022-04-04 08:50:00,57
2022-04-04 08:51:00,55
2022-04-04 09:03:00,51
2022-04-04 09:04:00,55
2022-04-04 09:05:00,55
2022-04-04 09:06:00,53
2022-04-04 09:07:00,50
2022-04-04 09:08:00,49
2022-04-04 09:09:00,53
2022-04-04 09:10:00,55
2022-04-04 09:11:00,56
2022-04-04 09:12:00,55
2022-04-04 09:13:00,51
2022-04-04 09:14:00,51
2022-04-04 09:15:00,55
2022-04-04 09:16:00,51
2022-04-04 09:17:00,54
2022-04-04 09:18:00,55
2022-04-04 09:19:00,53
2022-04-04 09:20:00,50
2022-04-04 09:21:00,51
2022-04-04 09:22:00,50
2022-04-04 09:23:00,58
2022-04-04 09:24:00,56
2022-04-04 09:25:00,55
2022-04-04 09:26:00,51
2022-04-04 09:27:00,53
2022-04-04 09:28:00,54
2022-04-04 09:29:00,56
2022-04-04 09:30:00,54
2022-04-04 09:31:00,55
2022-04-04 09:32:00,54
2022-04-04 09:33:00,51
2022-04-04 09:34:00,53
2022-04-04 09:35:00,51
2022-04-04 09:36:00,50
2022-04-04 09:37:00,58
2022-04-04 09:38:00,55
2022-04-04 09:39:00,52
2022-04-04 09:40:00,52
2022-04-04 09:41:00,51
2022-04-04 10:52:00,51
2022-04-04 10:53:00,56
2022-04-04 10:54:00,54
2022-04-04 10:55:00,51
2022-04-04 10:56:00,51
2022-04-04 10:58:00,56
2022-04-04 10:59:00,53
2022-04-04 11:00:00,51
2022-04-04 11:01:00,49
