sep=,
"Time","dt_sound_level_dB"
2022-04-04 01:03:00,46
2022-04-04 01:04:00,50
2022-04-04 01:05:00,43
2022-04-04 01:06:00,47
2022-04-04 01:07:00,44
2022-04-04 01:08:00,53
2022-04-04 01:09:00,46
2022-04-04 01:10:00,49
2022-04-04 01:11:00,56
2022-04-04 01:12:00,52
2022-04-04 01:42:00,50
2022-04-04 01:43:00,57
2022-04-04 01:44:00,47
2022-04-04 01:45:00,43
2022-04-04 01:46:00,45
2022-04-04 01:47:00,41
2022-04-04 01:48:00,46
2022-04-04 01:49:00,48
2022-04-04 01:50:00,41
2022-04-04 01:51:00,47
2022-04-04 01:52:00,51
2022-04-04 01:53:00,46
2022-04-04 01:54:00,44
2022-04-04 01:55:00,41
2022-04-04 01:57:00,42
2022-04-04 01:58:00,41
2022-04-04 01:59:00,47
2022-04-04 02:00:00,42
2022-04-04 02:01:00,45
2022-04-04 02:02:00,45
2022-04-04 03:03:00,57
2022-04-04 03:04:00,44
2022-04-04 03:05:00,51
2022-04-04 03:06:00,44
2022-04-04 03:07:00,44
2022-04-04 03:08:00,48
2022-04-04 03:09:00,46
2022-04-04 03:10:00,44
2022-04-04 03:11:00,46
2022-04-04 03:12:00,46
2022-04-04 03:13:00,44
2022-04-04 03:14:00,45
2022-04-04 03:15:00,42
2022-04-04 03:16:00,44
2022-04-04 03:17:00,43
2022-04-04 03:18:00,49
2022-04-04 03:19:00,41
2022-04-04 03:20:00,49
2022-04-04 03:21:00,46
2022-04-04 03:22:00,43
2022-04-04 04:52:00,46
2022-04-04 04:53:00,46
2022-04-04 04:54:00,53
2022-04-04 04:55:00,44
2022-04-04 04:56:00,47
2022-04-04 04:58:00,43
2022-04-04 04:59:00,48
2022-04-04 05:00:00,49
2022-04-04 05:01:00,50
2022-04-04 05:02:00,52
2022-04-04 05:32:00,41
2022-04-04 05:33:00,54
2022-04-04 05:34:00,53
2022-04-04 05:35:00,47
2022-04-04 05:36:00,59
2022-04-04 05:37:00,55
2022-04-04 05:38:00,57
2022-04-04 05:39:00,46
2022-04-04 05:40:00,50
2022-04-04 05:41:00,49
2022-04-04 05:52:00,44
2022-04-04 05:53:00,45
2022-04-04 05:54:00,55
2022-04-04 05:56:00,46
2022-04-04 05:57:00,53
2022-04-04 05:58:00,46
2022-04-04 05:59:00,47
2022-04-04 06:00:00,50
2022-04-04 06:01:00,49
2022-04-04 06:02:00,48
2022-04-04 06:03:00,45
2022-04-04 06:04:00,46
2022-04-04 06:05:00,51
2022-04-04 06:06:00,50
2022-04-04 06:07:00,49
2022-04-04 06:08:00,54
2022-04-04 06:09:00,44
2022-04-04 06:10:00,52
2022-04-04 06:11:00,47
2022-04-04 06:12:00,46
2022-04-04 06:13:00,51
2022-04-04 06:14:00,56
2022-04-04 06:15:00,47
2022-04-04 06:16:00,46
2022-04-04 06:17:00,47
2022-04-04 06:18:00,42
2022-04-04 06:19:00,55
2022-04-04 06:20:00,45
2022-04-04 06:21:00,45
2022-04-04 06:22:00,48
2022-04-04 08:52:00,56
2022-04-04 08:54:00,61
2022-04-04 08:55:00,56
2022-04-04 08:56:00,61
2022-04-04 08:57:00,62
2022-04-04 08:58:00,64
2022-04-04 08:59:00,57
2022-04-04 09:00:00,56
2022-04-04 09:01:00,56
2022-04-04 09:02:00,60
2022-04-04 11:42:00,63
2022-04-04 11:43:00,62
2022-04-04 11:44:00,56
2022-04-04 11:45:00,66
2022-04-04 11:46:00,62
2022-04-04 11:47:00,67
2022-04-04 11:48:00,59
2022-04-04 11:49:00,57
2022-04-04 11:51:00,58
2022-04-04 11:52:00,53
2022-04-04 12:23:00,58
2022-04-04 12:24:00,56
2022-04-04 12:25:00,51
2022-04-04 12:26:00,51
2022-04-04 12:27:00,61
2022-04-04 12:28:00,56
2022-04-04 12:29:00,56
2022-04-04 12:30:00,51
2022-04-04 12:31:00,60
2022-04-04 12:32:00,58
2022-04-04 13:42:00,61
2022-04-04 13:43:00,65
2022-04-04 13:44:00,68
2022-04-04 13:45:00,67
2022-04-04 13:46:00,56
2022-04-04 13:47:00,58
2022-04-04 13:48:00,61
2022-04-04 13:49:00,62
2022-04-04 13:50:00,66
2022-04-04 13:51:00,71
2022-04-05 19:28:00,61
2022-04-05 19:29:00,62
2022-04-05 19:30:00,57
2022-04-05 19:31:00,55
2022-04-05 19:32:00,55
2022-04-05 19:33:00,57
2022-04-05 19:34:00,57
2022-04-05 19:35:00,58
2022-04-05 19:36:00,52
2022-04-05 19:37:00,57
2022-04-05 22:08:00,43
2022-04-05 22:09:00,47
2022-04-05 22:10:00,48
2022-04-05 22:11:00,50
2022-04-05 22:12:00,48
2022-04-05 22:13:00,47
2022-04-05 22:14:00,44
2022-04-05 22:15:00,46
2022-04-05 22:16:00,45
2022-04-05 22:17:00,42
2022-04-05 23:18:00,45
2022-04-05 23:19:00,50
2022-04-05 23:20:00,44
2022-04-05 23:22:00,47
2022-04-05 23:23:00,41
2022-04-05 23:24:00,49
2022-04-05 23:25:00,49
2022-04-05 23:26:00,44
2022-04-05 23:27:00,42
2022-04-05 23:28:00,40
2022-04-05 23:38:00,43
2022-04-05 23:39:00,43
2022-04-05 23:40:00,46
2022-04-05 23:41:00,40
2022-04-05 23:42:00,49
2022-04-05 23:43:00,44
2022-04-05 23:44:00,41
2022-04-05 23:45:00,43
2022-04-05 23:46:00,41
2022-04-05 23:47:00,41
2022-04-06 00:38:00,46
2022-04-06 00:39:00,41
2022-04-06 00:40:00,46
2022-04-06 00:41:00,40
2022-04-06 00:42:00,39
2022-04-06 00:43:00,54
2022-04-06 00:44:00,43
2022-04-06 00:45:00,39
2022-04-06 00:46:00,40
2022-04-06 00:47:00,42
2022-04-06 02:08:00,41
2022-04-06 02:09:00,48
2022-04-06 02:10:00,50
2022-04-06 02:11:00,40
2022-04-06 02:12:00,48
2022-04-06 02:13:00,50
2022-04-06 02:14:00,41
2022-04-06 02:15:00,50
2022-04-06 02:16:00,40
2022-04-06 02:17:00,41
2022-04-06 02:29:00,47
2022-04-06 02:30:00,41
2022-04-06 02:31:00,43
2022-04-06 02:32:00,40
2022-04-06 02:33:00,42
2022-04-06 02:34:00,39
2022-04-06 02:35:00,40
2022-04-06 02:36:00,39
2022-04-06 02:37:00,40
2022-04-06 02:38:00,45
2022-04-06 02:39:00,41
2022-04-06 02:40:00,46
2022-04-06 02:41:00,44
2022-04-06 02:42:00,43
2022-04-06 02:43:00,44
2022-04-06 02:44:00,42
2022-04-06 02:45:00,41
2022-04-06 02:46:00,45
2022-04-06 02:47:00,44
2022-04-06 02:48:00,52
2022-04-06 02:49:00,45
2022-04-06 02:50:00,43
2022-04-06 02:51:00,44
2022-04-06 02:52:00,48
2022-04-06 02:53:00,40
2022-04-06 02:54:00,41
2022-04-06 02:55:00,41
2022-04-06 02:56:00,45
2022-04-06 02:57:00,41
2022-04-06 03:58:00,39
2022-04-06 03:59:00,39
2022-04-06 04:00:00,43
2022-04-06 04:01:00,42
2022-04-06 04:02:00,39
2022-04-06 04:03:00,42
2022-04-06 04:04:00,40
2022-04-06 04:05:00,43
2022-04-06 04:06:00,42
2022-04-06 04:07:00,40
2022-04-06 05:38:00,41
2022-04-06 05:39:00,40
2022-04-06 05:40:00,42
2022-04-06 05:41:00,39
2022-04-06 05:42:00,40
2022-04-06 05:43:00,40
2022-04-06 05:44:00,41
2022-04-06 05:45:00,40
2022-04-06 05:46:00,40
2022-04-06 05:47:00,40
2022-04-06 06:38:00,47
2022-04-06 06:39:00,44
2022-04-06 06:40:00,47
2022-04-06 06:41:00,41
2022-04-06 06:42:00,44
2022-04-06 06:43:00,45
