sep=,
"Time","dt_sound_level_dB"
2022-04-04 11:34:00,51
2022-04-04 11:34:00,58
2022-04-04 11:35:00,60
2022-04-04 11:36:00,56
2022-04-04 11:37:00,54
2022-04-04 11:39:00,56
2022-04-04 11:39:00,64
2022-04-04 11:40:00,57
2022-04-04 11:42:00,54
2022-04-04 11:43:00,57
2022-04-04 20:35:00,62
2022-04-04 20:36:00,60
2022-04-04 20:37:00,56
2022-04-04 20:38:00,55
2022-04-04 20:39:00,58
2022-04-04 20:40:00,55
2022-04-04 20:41:00,58
2022-04-04 20:42:00,61
2022-04-04 20:43:00,59
2022-04-05 08:00:00,59
2022-04-05 08:01:00,57
2022-04-05 08:02:00,60
2022-04-05 08:03:00,59
2022-04-05 08:04:00,56
2022-04-05 08:05:00,62
2022-04-05 08:06:00,56
2022-04-05 08:07:00,58
2022-04-05 08:08:00,59
2022-04-05 08:09:00,63
2022-04-05 08:10:00,55
2022-04-05 08:11:00,63
2022-04-05 08:12:00,60
2022-04-05 08:13:00,62
2022-04-05 08:14:00,60
2022-04-05 08:15:00,61
2022-04-05 08:16:00,55
2022-04-05 08:17:00,64
2022-04-05 08:18:00,59
2022-04-05 09:10:00,62
2022-04-05 09:11:00,68
2022-04-05 09:12:00,65
2022-04-05 09:13:00,61
2022-04-05 09:14:00,62
2022-04-05 09:15:00,59
2022-04-05 09:16:00,58
2022-04-05 09:17:00,63
2022-04-05 09:18:00,60
2022-04-05 10:10:00,61
2022-04-05 10:11:00,61
2022-04-05 10:12:00,58
2022-04-05 10:13:00,61
2022-04-05 10:14:00,63
2022-04-05 10:15:00,69
2022-04-05 10:16:00,64
2022-04-05 10:17:00,58
2022-04-05 10:18:00,58
2022-04-05 13:50:00,49
2022-04-05 13:51:00,53
2022-04-05 13:52:00,53
2022-04-05 13:53:00,51
2022-04-05 13:54:00,52
2022-04-05 13:55:00,51
2022-04-05 13:56:00,51
2022-04-05 13:57:00,49
2022-04-05 13:58:00,56
2022-04-05 13:59:00,55
2022-04-05 14:29:00,47
2022-04-05 14:30:00,45
2022-04-05 14:31:00,45
2022-04-05 14:32:00,45
2022-04-05 14:33:00,45
2022-04-05 14:34:00,46
2022-04-05 14:35:00,46
2022-04-05 14:36:00,46
2022-04-05 14:38:00,46
2022-04-05 14:39:00,47
2022-04-05 15:19:00,46
2022-04-05 15:20:00,46
2022-04-05 15:21:00,48
2022-04-05 15:22:00,45
2022-04-05 15:23:00,47
2022-04-05 15:24:00,47
2022-04-05 15:25:00,45
2022-04-05 15:26:00,46
2022-04-05 15:27:00,46
2022-04-05 15:28:00,46
2022-04-05 15:40:00,46
2022-04-05 15:41:00,45
2022-04-05 15:42:00,45
2022-04-05 15:43:00,47
2022-04-05 15:44:00,46
2022-04-05 15:45:00,47
2022-04-05 15:46:00,47
2022-04-05 15:47:00,45
2022-04-05 15:48:00,46
2022-04-05 15:49:00,47
2022-04-06 09:10:00,47
2022-04-06 09:11:00,48
2022-04-06 09:12:00,49
2022-04-06 09:13:00,47
2022-04-06 09:14:00,48
2022-04-06 09:15:00,48
2022-04-06 09:16:00,45
2022-04-06 09:17:00,49
2022-04-06 09:18:00,47
2022-04-06 09:19:00,51
2022-04-06 14:11:00,60
2022-04-06 14:12:00,56
2022-04-06 14:13:00,61
2022-04-06 14:14:00,57
2022-04-06 14:15:00,54
2022-04-06 14:16:00,54
2022-04-06 14:17:00,57
2022-04-06 14:18:00,55
2022-04-06 14:19:00,54
2022-04-06 14:20:00,61
2022-04-07 13:05:00,50
2022-04-07 13:06:00,51
2022-04-07 13:06:00,54
2022-04-07 13:08:00,54
2022-04-07 13:09:00,54
2022-04-07 13:10:00,58
2022-04-07 13:11:00,52
2022-04-07 13:11:00,60
2022-04-07 13:13:00,54
2022-04-07 13:14:00,56
2022-04-07 13:33:00,54
2022-04-07 13:35:00,53
2022-04-07 13:36:00,52
2022-04-07 13:37:00,54
2022-04-07 13:38:00,57
2022-04-07 13:38:00,60
2022-04-07 13:40:00,58
2022-04-07 13:41:00,54
2022-04-07 13:42:00,60
2022-04-07 13:43:00,52
2022-04-07 14:34:00,57
2022-04-07 14:35:00,53
2022-04-07 14:37:00,53
2022-04-07 14:38:00,59
2022-04-07 14:39:00,57
2022-04-07 14:40:00,52
2022-04-07 14:42:00,59
2022-04-07 14:43:00,51
2022-04-07 16:56:00,54
2022-04-07 16:56:00,61
2022-04-07 16:57:00,61
2022-04-07 16:58:00,54
2022-04-07 16:59:00,59
2022-04-07 16:59:00,60
2022-04-07 17:00:00,56
2022-04-07 17:03:00,58
2022-04-07 17:03:00,62
2022-04-07 17:03:00,63
2022-04-08 17:36:00,59
2022-04-08 17:37:00,60
2022-04-08 17:38:00,67
2022-04-08 17:39:00,60
2022-04-08 17:40:00,71
2022-04-08 17:41:00,66
2022-04-08 17:42:00,63
2022-04-08 17:43:00,70
2022-04-08 17:44:00,66
2022-04-08 17:45:00,60
2022-04-08 17:56:00,61
2022-04-08 17:57:00,62
2022-04-08 17:58:00,62
2022-04-08 17:59:00,57
2022-04-08 18:00:00,61
2022-04-08 18:01:00,58
2022-04-08 18:02:00,53
2022-04-08 18:03:00,61
2022-04-08 18:04:00,63
2022-04-08 18:05:00,58
2022-04-09 06:11:00,59
2022-04-09 06:12:00,66
2022-04-09 06:13:00,61
2022-04-09 06:14:00,61
2022-04-09 06:15:00,61
2022-04-09 06:16:00,50
2022-04-09 06:17:00,63
2022-04-09 06:18:00,54
2022-04-09 06:19:00,51
2022-04-09 11:51:00,59
2022-04-09 11:52:00,60
2022-04-09 11:53:00,59
2022-04-09 11:54:00,59
2022-04-09 11:55:00,55
2022-04-09 11:56:00,51
2022-04-09 11:57:00,53
2022-04-09 11:58:00,50
2022-04-09 11:59:00,55
2022-04-09 12:00:00,59
2022-04-09 15:01:00,61
2022-04-09 15:02:00,57
2022-04-09 15:03:00,63
2022-04-09 15:04:00,63
2022-04-09 15:05:00,63
2022-04-09 15:06:00,61
2022-04-09 15:07:00,66
2022-04-09 15:08:00,59
2022-04-09 15:09:00,55
2022-04-09 15:10:00,54
2022-04-10 05:01:00,53
2022-04-10 05:02:00,49
2022-04-10 05:03:00,52
2022-04-10 05:04:00,46
2022-04-10 05:05:00,48
2022-04-10 05:06:00,47
2022-04-10 05:07:00,57
2022-04-10 05:08:00,59
2022-04-10 05:09:00,54
2022-04-10 05:10:00,57
2022-04-10 06:01:00,49
2022-04-10 06:02:00,53
2022-04-10 06:03:00,46
2022-04-10 06:04:00,45
2022-04-10 06:05:00,47
2022-04-10 06:06:00,52
2022-04-10 06:07:00,49
2022-04-10 06:08:00,49
2022-04-10 06:09:00,54
2022-04-10 06:10:00,52
2022-04-10 07:32:00,47
2022-04-10 07:33:00,49
2022-04-10 07:34:00,46
2022-04-10 07:35:00,57
2022-04-10 07:36:00,57
2022-04-10 07:37:00,51
2022-04-10 07:38:00,50
2022-04-10 07:39:00,52
2022-04-10 07:40:00,52
2022-04-10 07:41:00,51
2022-04-10 13:51:00,52
2022-04-10 13:52:00,54
2022-04-10 13:53:00,54
2022-04-10 13:55:00,58
2022-04-10 13:56:00,57
2022-04-10 13:57:00,55
2022-04-10 13:58:00,51
2022-04-10 13:59:00,53
2022-04-10 14:00:00,53
2022-04-10 14:01:00,54
2022-04-10 19:32:00,55
2022-04-10 19:33:00,49
2022-04-10 19:34:00,51
2022-04-10 19:35:00,55
2022-04-10 19:36:00,52
2022-04-10 19:37:00,54
2022-04-10 19:38:00,55
2022-04-10 19:39:00,49
2022-04-10 19:40:00,51
2022-04-10 19:41:00,51
2022-04-10 20:32:00,50
2022-04-10 20:33:00,48
2022-04-10 20:34:00,52
2022-04-10 20:35:00,50
2022-04-10 20:36:00,47
2022-04-10 20:37:00,52
2022-04-10 20:38:00,50
2022-04-10 20:39:00,56
2022-04-10 20:40:00,56
2022-04-10 20:41:00,49
2022-04-11 08:47:00,56
2022-04-11 08:47:00,60
2022-04-11 08:49:00,54
2022-04-11 08:49:00,55
2022-04-11 08:51:00,59
2022-04-11 08:51:00,60
2022-04-11 08:53:00,55
2022-04-11 08:53:00,57
2022-04-11 08:54:00,58
2022-04-11 08:56:00,53
2022-04-11 09:36:00,55
2022-04-11 09:37:00,55
2022-04-11 09:38:00,56
2022-04-11 09:39:00,53
2022-04-11 09:40:00,55
2022-04-11 09:41:00,60
2022-04-11 09:42:00,51
2022-04-11 09:43:00,56
2022-04-11 09:44:00,56
2022-04-11 09:45:00,55
2022-04-11 10:28:00,53
2022-04-11 10:29:00,56
2022-04-11 10:30:00,51
2022-04-11 10:31:00,57
2022-04-11 10:32:00,51
2022-04-11 10:32:00,53
2022-04-11 10:34:00,50
2022-04-11 10:34:00,62
2022-04-11 10:36:00,54
2022-04-11 18:17:00,59
2022-04-11 18:18:00,61
2022-04-11 18:19:00,57
2022-04-11 18:20:00,58
2022-04-11 18:22:00,56
2022-04-11 18:23:00,53
2022-04-11 18:23:00,61
2022-04-11 18:25:00,58
2022-04-11 18:25:00,59
2022-04-11 18:27:00,58
2022-04-11 18:37:00,52
2022-04-11 18:38:00,55
2022-04-11 18:39:00,56
2022-04-11 18:40:00,53
2022-04-11 18:41:00,55
2022-04-11 18:42:00,52
2022-04-11 18:43:00,50
2022-04-11 18:44:00,53
2022-04-11 18:45:00,57
2022-04-11 18:46:00,56

