sep=,
"Time","dt_sound_level_dB"
2022-04-04 04:48:00,50
2022-04-04 04:49:00,47
2022-04-04 04:50:00,47
2022-04-04 04:51:00,46
2022-04-04 04:52:00,47
2022-04-04 04:53:00,51
2022-04-04 04:54:00,48
2022-04-04 04:55:00,52
2022-04-04 04:56:00,48
2022-04-04 04:57:00,52
2022-04-04 06:48:00,62
2022-04-04 06:49:00,59
2022-04-04 06:50:00,58
2022-04-04 06:51:00,59
2022-04-04 06:52:00,59
2022-04-04 06:53:00,56
2022-04-04 06:54:00,61
2022-04-04 06:55:00,58
2022-04-04 06:56:00,58
2022-04-04 06:57:00,57
2022-04-04 07:18:00,56
2022-04-04 07:19:00,63
2022-04-04 07:20:00,65
2022-04-04 07:21:00,59
2022-04-04 07:22:00,61
2022-04-04 07:23:00,58
2022-04-04 07:24:00,60
2022-04-04 07:25:00,59
2022-04-04 07:26:00,63
2022-04-04 07:27:00,65
2022-04-04 08:18:00,64
2022-04-04 08:19:00,66
2022-04-04 08:20:00,66
2022-04-04 08:21:00,65
2022-04-04 08:22:00,61
2022-04-04 08:23:00,58
2022-04-04 08:24:00,60
2022-04-04 08:25:00,65
2022-04-04 08:26:00,67
2022-04-04 08:27:00,64
2022-04-04 09:58:00,62
2022-04-04 09:59:00,65
2022-04-04 10:00:00,63
2022-04-04 10:01:00,62
2022-04-04 10:02:00,63
2022-04-04 10:03:00,57
2022-04-04 10:04:00,59
2022-04-04 10:05:00,63
2022-04-04 10:06:00,66
2022-04-04 10:07:00,60
2022-04-04 10:17:00,64
2022-04-04 10:18:00,60
2022-04-04 10:20:00,65
2022-04-04 10:21:00,63
2022-04-04 10:22:00,55
2022-04-04 10:23:00,55
2022-04-04 10:24:00,60
2022-04-04 10:25:00,59
2022-04-04 10:26:00,62
2022-04-04 10:27:00,61
2022-04-04 14:48:00,66
2022-04-04 14:49:00,62
2022-04-04 14:50:00,63
2022-04-04 14:51:00,62
2022-04-04 14:52:00,64
2022-04-04 14:53:00,68
2022-04-04 14:54:00,66
2022-04-04 14:55:00,62
2022-04-04 14:56:00,58
2022-04-04 14:57:00,63
2022-04-04 15:08:00,67
2022-04-04 15:09:00,63
2022-04-04 15:10:00,64
2022-04-04 15:11:00,67
2022-04-04 15:12:00,70
2022-04-04 15:13:00,71
2022-04-04 15:14:00,66
2022-04-04 15:15:00,61
2022-04-04 15:16:00,69
2022-04-04 15:17:00,66
2022-04-04 15:18:00,68
2022-04-04 15:19:00,70
2022-04-04 15:20:00,66
2022-04-04 15:21:00,63
2022-04-04 15:22:00,60
2022-04-04 15:23:00,66
2022-04-04 15:25:00,68
2022-04-04 15:26:00,70
2022-04-04 15:27:00,69
2022-04-04 15:58:00,65
2022-04-04 15:59:00,71
2022-04-04 16:00:00,71
2022-04-04 16:01:00,66
2022-04-04 16:02:00,66
2022-04-04 16:03:00,62
2022-04-04 16:04:00,66
2022-04-04 16:05:00,71
2022-04-04 16:06:00,70
2022-04-04 16:07:00,69
2022-04-04 16:08:00,66
2022-04-04 16:09:00,64
2022-04-04 16:10:00,65
2022-04-04 16:11:00,69
2022-04-04 16:12:00,70
2022-04-04 16:13:00,70
2022-04-04 16:14:00,65
2022-04-04 16:15:00,62
2022-04-04 16:16:00,65
2022-04-04 16:17:00,68
2022-04-04 16:59:00,69
2022-04-04 17:00:00,72
2022-04-04 17:01:00,71
2022-04-04 17:02:00,68
2022-04-04 17:03:00,63
2022-04-04 17:04:00,67
2022-04-04 17:05:00,67
2022-04-04 17:06:00,71
2022-04-04 17:07:00,71
2022-04-04 17:08:00,69
2022-04-04 17:38:00,71
2022-04-04 17:39:00,70
2022-04-04 17:40:00,70
2022-04-04 17:41:00,69
2022-04-04 17:42:00,67
2022-04-04 17:43:00,67
2022-04-04 17:44:00,68
2022-04-04 17:45:00,66
2022-04-04 17:46:00,69
2022-04-04 17:47:00,70
2022-04-04 19:19:00,69
2022-04-04 19:20:00,69
2022-04-04 19:21:00,68
2022-04-04 19:22:00,67
2022-04-04 19:23:00,62
2022-04-04 19:24:00,66
2022-04-04 19:25:00,68
2022-04-04 19:26:00,68
2022-04-04 19:27:00,69
2022-04-04 19:28:00,63
2022-04-04 19:29:00,62
2022-04-04 19:30:00,65
2022-04-04 19:31:00,61
2022-04-04 19:32:00,66
2022-04-04 19:33:00,64
2022-04-04 19:34:00,65
2022-04-04 19:35:00,65
2022-04-04 19:36:00,63
2022-04-04 19:37:00,61
2022-04-04 21:09:00,64
2022-04-04 21:10:00,58
2022-04-04 21:11:00,64
2022-04-04 21:12:00,62
2022-04-04 21:13:00,66
2022-04-04 21:14:00,69
2022-04-04 21:15:00,64
2022-04-04 21:16:00,58
2022-04-04 21:17:00,61
2022-04-04 21:18:00,58
2022-04-04 21:28:00,63
2022-04-04 21:29:00,61
2022-04-04 21:30:00,58
2022-04-04 21:31:00,58
2022-04-04 21:32:00,64
2022-04-04 21:33:00,62
2022-04-04 21:34:00,67
2022-04-04 21:35:00,59
2022-04-04 21:36:00,62
2022-04-04 21:37:00,56
2022-04-04 21:38:00,58
2022-04-04 21:39:00,62
2022-04-04 21:40:00,59
2022-04-04 21:41:00,62
2022-04-04 21:42:00,50
2022-04-04 21:43:00,61
2022-04-04 21:44:00,60
2022-04-04 21:45:00,61
2022-04-04 21:46:00,58
2022-04-04 21:47:00,67
2022-04-04 21:59:00,59
2022-04-04 22:00:00,63
2022-04-04 22:01:00,62
2022-04-04 22:02:00,61
2022-04-04 22:03:00,57
2022-04-04 22:04:00,56
2022-04-04 22:05:00,61
2022-04-04 22:06:00,62
2022-04-04 22:07:00,57
2022-04-04 22:08:00,62
2022-04-04 22:28:00,66
2022-04-04 22:29:00,65
2022-04-04 22:30:00,63
2022-04-04 22:31:00,58
2022-04-04 22:32:00,61
2022-04-04 22:33:00,64
2022-04-04 22:34:00,62
2022-04-04 22:35:00,63
2022-04-04 22:36:00,59
2022-04-04 22:37:00,59
2022-04-04 22:38:00,59
2022-04-04 22:39:00,55
2022-04-04 22:40:00,62
2022-04-04 22:41:00,63
2022-04-04 22:42:00,65
2022-04-04 22:43:00,58
2022-04-04 22:44:00,61
2022-04-04 22:45:00,59
2022-04-04 22:46:00,62
2022-04-04 22:47:00,62
2022-04-04 22:48:00,63
2022-04-04 22:49:00,59
2022-04-04 22:50:00,60
2022-04-04 22:51:00,55
2022-04-04 22:52:00,61
2022-04-04 22:53:00,61
2022-04-04 22:54:00,61
2022-04-04 22:55:00,59
2022-04-04 22:56:00,57
2022-04-04 22:57:00,58
2022-04-05 01:48:00,50
2022-04-05 01:49:00,56
2022-04-05 01:50:00,51
2022-04-05 01:51:00,54
2022-04-05 01:52:00,49
2022-04-05 01:53:00,59
2022-04-05 01:54:00,54
2022-04-05 01:55:00,52
2022-04-05 01:56:00,52
2022-04-05 01:57:00,50
2022-04-05 01:58:00,54
2022-04-05 01:59:00,48
2022-04-05 02:00:00,59
2022-04-05 02:01:00,56
2022-04-05 02:03:00,57
2022-04-05 02:04:00,54
2022-04-05 02:05:00,49
2022-04-05 02:06:00,51
2022-04-05 02:07:00,55
2022-04-05 02:08:00,53
2022-04-05 02:19:00,52
2022-04-05 02:20:00,58
2022-04-05 02:21:00,57
2022-04-05 02:22:00,55
2022-04-05 02:23:00,54
2022-04-05 02:24:00,50
2022-04-05 02:25:00,53
2022-04-05 02:26:00,57
2022-04-05 02:27:00,53
2022-04-05 02:28:00,49
2022-04-05 02:29:00,57
2022-04-05 02:30:00,50
2022-04-05 02:31:00,51
2022-04-05 02:32:00,49
2022-04-05 02:33:00,51
2022-04-05 02:34:00,56
2022-04-05 02:35:00,52
2022-04-05 02:36:00,57
2022-04-05 02:37:00,53
2022-04-05 02:38:00,48
2022-04-05 02:39:00,51
2022-04-05 02:40:00,55
2022-04-05 02:41:00,56
2022-04-05 02:42:00,53
2022-04-05 02:43:00,50
2022-04-05 02:44:00,50
2022-04-05 02:45:00,53
2022-04-05 02:46:00,59
2022-04-05 02:47:00,51
2022-04-05 02:48:00,56
2022-04-05 02:49:00,58
2022-04-05 02:50:00,49
2022-04-05 02:51:00,51
2022-04-05 02:52:00,57
2022-04-05 02:53:00,51
2022-04-05 02:54:00,55
2022-04-05 02:55:00,52
2022-04-05 02:56:00,50
2022-04-05 02:57:00,53
2022-04-05 03:19:00,49
2022-04-05 03:20:00,57
2022-04-05 03:21:00,47
2022-04-05 03:22:00,52
2022-04-05 03:23:00,53
2022-04-05 03:24:00,56
2022-04-05 03:25:00,57
2022-04-05 03:26:00,53
2022-04-05 03:27:00,52
2022-04-05 03:28:00,55
2022-04-05 03:38:00,52
2022-04-05 03:39:00,50
2022-04-05 03:40:00,56
2022-04-05 03:41:00,54
2022-04-05 03:42:00,52
2022-04-05 03:43:00,51
2022-04-05 03:44:00,50
2022-04-05 03:45:00,50
2022-04-05 03:46:00,51
2022-04-05 03:47:00,52
2022-04-05 06:59:00,61
2022-04-05 07:00:00,65
2022-04-05 07:01:00,67
2022-04-05 07:02:00,63
2022-04-05 07:03:00,59
2022-04-05 07:04:00,63
2022-04-05 07:05:00,60
2022-04-05 07:06:00,68
2022-04-05 07:07:00,67
2022-04-05 07:08:00,68
2022-04-05 07:59:00,68
2022-04-05 08:00:00,71
2022-04-05 08:01:00,69
2022-04-05 08:02:00,69
2022-04-05 08:03:00,67
2022-04-05 08:04:00,64
2022-04-05 08:05:00,67
2022-04-05 08:06:00,70
2022-04-05 08:07:00,71
2022-04-05 08:08:00,69
2022-04-05 09:19:00,66
2022-04-05 09:20:00,65
2022-04-05 09:21:00,68
2022-04-05 09:22:00,65
2022-04-05 09:23:00,66
2022-04-05 09:24:00,65
2022-04-05 09:25:00,63
2022-04-05 09:26:00,67
2022-04-05 09:27:00,70
2022-04-05 09:28:00,65
2022-04-05 09:49:00,66
2022-04-05 09:50:00,65
2022-04-05 09:51:00,61
2022-04-05 09:52:00,65
2022-04-05 09:53:00,62
2022-04-05 09:54:00,68
2022-04-05 09:55:00,64
2022-04-05 09:56:00,65
2022-04-05 09:57:00,62
2022-04-05 09:58:00,63
2022-04-05 09:59:00,62
2022-04-05 10:00:00,64
2022-04-05 10:01:00,68
2022-04-05 10:02:00,63
2022-04-05 10:03:00,65
2022-04-05 10:04:00,60
2022-04-05 10:05:00,62
2022-04-05 10:06:00,64
2022-04-05 10:07:00,67
2022-04-05 10:08:00,67
2022-04-05 10:09:00,66
2022-04-05 10:10:00,63
2022-04-05 10:11:00,64
2022-04-05 10:12:00,64
2022-04-05 10:13:00,68
2022-04-05 10:14:00,69
2022-04-05 10:15:00,64
2022-04-05 10:16:00,64
2022-04-05 10:17:00,59
2022-04-05 10:18:00,64
2022-04-05 10:29:00,62
2022-04-05 10:30:00,61
2022-04-05 10:31:00,63
2022-04-05 10:32:00,64
2022-04-05 10:33:00,67
2022-04-05 10:34:00,69
2022-04-05 10:35:00,64
2022-04-05 10:36:00,62
2022-04-05 10:37:00,60
2022-04-05 10:38:00,62
2022-04-05 11:09:00,64
2022-04-05 11:10:00,61
2022-04-05 11:11:00,61
2022-04-05 11:12:00,61
2022-04-05 11:13:00,66
2022-04-05 11:14:00,66
2022-04-05 11:15:00,68
2022-04-05 11:16:00,66
2022-04-05 11:17:00,59
2022-04-05 11:18:00,63
2022-04-05 11:19:00,65
2022-04-05 11:20:00,67
2022-04-05 11:21:00,69
2022-04-05 11:22:00,63
2022-04-05 11:23:00,60
2022-04-05 11:24:00,67
2022-04-05 11:25:00,65
2022-04-05 11:26:00,65
2022-04-05 11:27:00,67
2022-04-05 11:28:00,66
2022-04-05 14:54:00,75
2022-04-05 14:55:00,69
2022-04-05 14:56:00,77
2022-04-05 14:57:00,73
2022-04-05 14:58:00,76
2022-04-05 14:59:00,78
2022-04-05 15:00:00,79
2022-04-05 15:01:00,79
2022-04-05 15:02:00,78
2022-04-05 15:44:00,78
2022-04-05 15:45:00,77
2022-04-05 15:46:00,79
2022-04-05 15:47:00,83
2022-04-05 15:48:00,84
2022-04-05 15:49:00,82
2022-04-05 15:50:00,85
2022-04-05 15:51:00,73
2022-04-05 15:52:00,74
2022-04-05 15:53:00,71
2022-04-05 16:13:00,80
2022-04-05 16:14:00,82
2022-04-05 16:15:00,82
2022-04-05 16:16:00,80
2022-04-05 16:17:00,84
2022-04-05 16:18:00,84
2022-04-05 16:19:00,79
2022-04-05 16:20:00,80
2022-04-05 16:21:00,76
2022-04-05 16:22:00,79
2022-04-05 18:13:00,88
2022-04-05 18:14:00,87
2022-04-05 18:15:00,92
2022-04-05 18:16:00,86
2022-04-05 18:17:00,86
2022-04-05 18:18:00,85
2022-04-05 18:19:00,90
2022-04-05 18:20:00,84
2022-04-05 18:21:00,88
2022-04-05 18:22:00,87
2022-04-05 19:04:00,88
2022-04-05 19:05:00,87
2022-04-05 19:06:00,89
2022-04-05 19:07:00,87
2022-04-05 19:08:00,82
2022-04-05 19:09:00,79
2022-04-05 19:10:00,86
2022-04-05 19:11:00,86
2022-04-05 19:12:00,83
2022-04-05 19:13:00,83
2022-04-05 19:14:00,86
2022-04-05 19:15:00,85
2022-04-05 19:16:00,86
2022-04-05 19:17:00,82
2022-04-05 19:18:00,84
2022-04-05 19:19:00,84
2022-04-05 19:20:00,80
2022-04-05 19:21:00,86
2022-04-05 19:22:00,84
2022-04-05 20:13:00,89
2022-04-05 20:14:00,85
2022-04-05 20:15:00,85
2022-04-05 20:16:00,83
2022-04-05 20:17:00,79
2022-04-05 20:18:00,86
2022-04-05 20:19:00,88
2022-04-05 20:20:00,86
2022-04-05 20:21:00,79
2022-04-05 20:22:00,82
2022-04-05 20:23:00,81
2022-04-05 20:24:00,83
2022-04-05 20:25:00,85
2022-04-05 20:26:00,83
2022-04-05 20:27:00,78
2022-04-05 20:29:00,87
2022-04-05 20:30:00,83
2022-04-05 20:31:00,76
2022-04-05 20:32:00,80
2022-04-05 20:33:00,89
2022-04-05 20:44:00,80
2022-04-05 20:45:00,78
2022-04-05 20:46:00,80
2022-04-05 20:47:00,78
2022-04-05 20:48:00,87
2022-04-05 20:49:00,86
2022-04-05 20:50:00,82
2022-04-05 20:51:00,81
2022-04-05 20:52:00,85
2022-04-05 20:53:00,83
2022-04-05 21:44:00,83
2022-04-05 21:45:00,79
2022-04-05 21:46:00,79
2022-04-05 21:47:00,79
2022-04-05 21:48:00,76
2022-04-05 21:49:00,75
2022-04-05 21:50:00,73
2022-04-05 21:51:00,71
2022-04-05 21:52:00,74
2022-04-05 21:53:00,67
2022-04-05 21:54:00,77
2022-04-05 21:55:00,78
2022-04-05 21:56:00,75
2022-04-05 21:57:00,76
2022-04-05 21:58:00,75
2022-04-05 21:59:00,68
2022-04-05 22:00:00,71
2022-04-05 22:01:00,76
2022-04-05 22:02:00,75
2022-04-05 22:03:00,75
2022-04-05 22:23:00,71
2022-04-05 22:24:00,70
2022-04-05 22:25:00,67
2022-04-05 22:26:00,73
2022-04-05 22:27:00,69
2022-04-05 22:28:00,67
2022-04-05 22:29:00,73
2022-04-05 22:31:00,76
2022-04-05 22:32:00,75
2022-04-05 22:33:00,73
2022-04-05 23:04:00,67
2022-04-05 23:05:00,68
2022-04-05 23:06:00,65
2022-04-05 23:07:00,68
2022-04-05 23:08:00,71
2022-04-05 23:09:00,61
2022-04-05 23:10:00,78
2022-04-05 23:11:00,70
2022-04-05 23:12:00,70
2022-04-06 01:54:00,50
2022-04-06 01:55:00,44
2022-04-06 01:56:00,49
2022-04-06 01:57:00,50
2022-04-06 01:58:00,45
2022-04-06 01:59:00,47
2022-04-06 02:00:00,46
2022-04-06 02:01:00,48
