sep=,
"Time","dt_sound_level_dB"
2022-04-04 00:00:00,54
2022-04-04 00:01:00,53
2022-04-04 04:51:00,52
2022-04-04 04:52:00,57
2022-04-04 04:53:00,54
2022-04-04 04:54:00,52
2022-04-04 04:55:00,55
2022-04-04 04:56:00,50
2022-04-04 04:57:00,52
2022-04-04 04:58:00,57
2022-04-04 04:59:00,54
2022-04-04 05:00:00,52
2022-04-04 05:12:00,56
2022-04-04 05:13:00,59
2022-04-04 05:14:00,54
2022-04-04 05:15:00,54
2022-04-04 05:16:00,55
2022-04-04 05:17:00,53
2022-04-04 05:18:00,52
2022-04-04 05:19:00,59
2022-04-04 05:20:00,57
2022-04-04 05:21:00,54
2022-04-04 05:32:00,58
2022-04-04 05:33:00,57
2022-04-04 05:34:00,55
2022-04-04 05:35:00,52
2022-04-04 05:36:00,57
2022-04-04 05:37:00,54
2022-04-04 05:38:00,51
2022-04-04 05:39:00,59
2022-04-04 05:40:00,60
2022-04-04 05:41:00,53
2022-04-04 05:42:00,49
2022-04-04 05:43:00,50
2022-04-04 05:44:00,55
2022-04-04 05:45:00,56
2022-04-04 05:46:00,52
2022-04-04 05:47:00,57
2022-04-04 05:48:00,61
2022-04-04 05:49:00,56
2022-04-04 05:50:00,55
2022-04-04 05:51:00,61
2022-04-04 05:52:00,51
2022-04-04 05:53:00,57
2022-04-04 05:54:00,57
2022-04-04 05:55:00,57
2022-04-04 05:56:00,54
2022-04-04 05:57:00,59
2022-04-04 05:58:00,62
2022-04-04 05:59:00,54
2022-04-04 06:00:00,56
2022-04-04 06:32:00,53
2022-04-04 06:33:00,53
2022-04-04 06:34:00,62
2022-04-04 06:35:00,58
2022-04-04 06:36:00,56
2022-04-04 06:37:00,55
2022-04-04 06:38:00,53
2022-04-04 06:39:00,56
2022-04-04 06:40:00,57
2022-04-04 07:41:00,58
2022-04-04 07:42:00,65
2022-04-04 07:43:00,59
2022-04-04 07:44:00,57
2022-04-04 07:45:00,66
2022-04-04 07:46:00,60
2022-04-04 07:47:00,61
2022-04-04 07:48:00,64
2022-04-04 07:49:00,63
2022-04-04 07:50:00,59
2022-04-04 10:01:00,63
2022-04-04 10:02:00,56
2022-04-04 10:03:00,61
2022-04-04 10:04:00,65
2022-04-04 10:05:00,66
2022-04-04 10:07:00,59
2022-04-04 10:08:00,66
2022-04-04 10:09:00,60
2022-04-04 10:10:00,60
2022-04-04 10:11:00,65
2022-04-04 10:12:00,61
2022-04-04 10:13:00,61
2022-04-04 10:14:00,63
2022-04-04 10:15:00,62
2022-04-04 10:16:00,64
2022-04-04 10:17:00,66
2022-04-04 10:18:00,62
2022-04-04 10:19:00,62
2022-04-04 10:20:00,64
2022-04-04 10:21:00,68
2022-04-04 10:22:00,60
2022-04-04 10:23:00,65
2022-04-04 10:24:00,64
2022-04-04 10:25:00,61
2022-04-04 10:26:00,61
2022-04-04 10:27:00,62
2022-04-04 10:28:00,64
2022-04-04 10:29:00,66
2022-04-04 10:30:00,67
2022-04-04 10:31:00,61
2022-04-04 11:01:00,64
2022-04-04 11:02:00,60
2022-04-04 11:03:00,62
2022-04-04 11:04:00,69
2022-04-04 11:05:00,66
2022-04-04 11:06:00,60
2022-04-04 11:08:00,64
2022-04-04 11:09:00,67
2022-04-04 11:10:00,58
2022-04-04 11:11:00,68
2022-04-04 11:22:00,63
2022-04-04 11:23:00,69
2022-04-04 11:24:00,71
2022-04-04 11:25:00,68
2022-04-04 11:26:00,69
2022-04-04 11:27:00,70
2022-04-04 11:28:00,64
2022-04-04 11:29:00,71
2022-04-04 11:30:00,71
2022-04-04 11:31:00,60
2022-04-04 11:32:00,65
2022-04-04 11:33:00,70
2022-04-04 11:34:00,63
2022-04-04 11:35:00,70
2022-04-04 11:36:00,64
2022-04-04 11:37:00,67
2022-04-04 11:38:00,60
2022-04-04 11:39:00,67
2022-04-04 11:40:00,65
2022-04-04 11:41:00,61
2022-04-04 11:42:00,70
2022-04-04 11:43:00,58
2022-04-04 11:44:00,57
2022-04-04 11:45:00,65
2022-04-04 11:46:00,66
2022-04-04 11:47:00,66
2022-04-04 11:48:00,64
2022-04-04 11:49:00,61
2022-04-04 11:50:00,63
2022-04-04 11:51:00,59
2022-04-04 11:52:00,63
2022-04-04 11:53:00,66
2022-04-04 11:54:00,70
2022-04-04 11:55:00,70
2022-04-04 11:56:00,61
2022-04-04 11:57:00,67
2022-04-04 11:58:00,66
2022-04-04 11:59:00,58
2022-04-04 12:00:00,63
2022-04-04 12:01:00,66
2022-04-04 12:02:00,61
2022-04-04 12:03:00,62
2022-04-04 12:04:00,68
2022-04-04 12:05:00,65
2022-04-04 12:06:00,66
2022-04-04 12:07:00,67
2022-04-04 12:09:00,65
2022-04-04 12:10:00,66
2022-04-04 12:11:00,68
2022-04-04 12:32:00,64
2022-04-04 12:33:00,68
2022-04-04 12:34:00,67
2022-04-04 12:35:00,65
2022-04-04 12:36:00,67
2022-04-04 12:37:00,64
2022-04-04 12:38:00,62
2022-04-04 12:39:00,66
2022-04-04 12:40:00,63
2022-04-04 12:41:00,68
2022-04-04 12:51:00,73
2022-04-04 12:52:00,69
2022-04-04 12:53:00,61
2022-04-04 12:54:00,64
2022-04-04 12:55:00,68
2022-04-04 12:56:00,66
