sep=,
"Time","dt_sound_level_dB"
2022-04-04 01:57:00,54
2022-04-04 01:58:00,52
2022-04-04 01:59:00,58
2022-04-04 02:00:00,55
2022-04-04 02:01:00,47
2022-04-04 02:02:00,53
2022-04-04 02:03:00,54
2022-04-04 02:04:00,52
2022-04-04 02:05:00,49
2022-04-04 02:06:00,58
2022-04-04 04:57:00,44
2022-04-04 04:58:00,49
2022-04-04 04:59:00,49
2022-04-04 05:00:00,50
2022-04-04 05:01:00,48
2022-04-04 05:02:00,51
2022-04-04 05:03:00,49
2022-04-04 05:04:00,52
2022-04-04 05:05:00,49
2022-04-04 05:06:00,49
2022-04-04 07:57:00,68
2022-04-04 07:58:00,67
2022-04-04 07:59:00,65
2022-04-04 08:00:00,66
2022-04-04 08:01:00,68
2022-04-04 08:02:00,66
2022-04-04 08:03:00,73
2022-04-04 08:04:00,65
2022-04-04 08:05:00,65
2022-04-04 08:06:00,70
2022-04-04 09:27:00,62
2022-04-04 09:28:00,63
2022-04-04 09:29:00,64
2022-04-04 09:30:00,65
2022-04-04 09:31:00,72
2022-04-04 09:32:00,66
2022-04-04 09:33:00,65
2022-04-04 09:34:00,62
2022-04-04 09:35:00,67
2022-04-04 09:36:00,63
2022-04-04 10:07:00,66
2022-04-04 10:08:00,66
2022-04-04 10:09:00,62
2022-04-04 10:10:00,61
2022-04-04 10:11:00,63
2022-04-04 10:12:00,66
2022-04-04 10:13:00,66
2022-04-04 10:14:00,63
2022-04-04 10:15:00,64
2022-04-04 10:16:00,64
2022-04-04 12:07:00,65
2022-04-04 12:08:00,72
2022-04-04 12:09:00,64
2022-04-04 12:10:00,61
2022-04-04 12:11:00,66
2022-04-04 12:12:00,64
2022-04-04 12:13:00,65
2022-04-04 12:14:00,62
2022-04-04 12:15:00,69
2022-04-04 12:16:00,64
2022-04-04 17:07:00,67
2022-04-04 17:08:00,66
2022-04-04 17:09:00,64
2022-04-04 17:10:00,68
2022-04-04 17:11:00,67
2022-04-04 17:12:00,65
2022-04-04 17:13:00,71
2022-04-04 17:14:00,67
2022-04-04 17:15:00,66
2022-04-04 17:16:00,67
2022-04-04 20:57:00,60
2022-04-04 20:58:00,60
2022-04-04 20:59:00,62
2022-04-04 21:00:00,63
2022-04-04 21:01:00,64
2022-04-04 21:02:00,60
2022-04-04 21:03:00,59
2022-04-04 21:04:00,61
2022-04-04 21:05:00,57
2022-04-04 21:06:00,66
2022-04-04 21:07:00,65
2022-04-04 21:08:00,61
2022-04-04 21:09:00,58
2022-04-04 21:10:00,54
2022-04-04 21:11:00,59
2022-04-04 21:12:00,55
2022-04-04 21:13:00,65
2022-04-04 21:14:00,64
2022-04-04 21:15:00,61
2022-04-04 21:16:00,61
2022-04-05 00:17:00,56
2022-04-05 00:18:00,52
2022-04-05 00:19:00,48
2022-04-05 00:20:00,54
2022-04-05 00:21:00,64
2022-04-05 00:22:00,58
2022-04-05 00:23:00,49
2022-04-05 00:24:00,56
2022-04-05 00:25:00,55
2022-04-05 00:26:00,51
2022-04-05 00:57:00,58
2022-04-05 00:58:00,54
2022-04-05 00:59:00,51
2022-04-05 01:00:00,53
2022-04-05 01:01:00,51
2022-04-05 01:02:00,51
2022-04-05 01:03:00,53
2022-04-05 01:04:00,58
2022-04-05 01:05:00,58
2022-04-05 01:06:00,54
2022-04-05 01:07:00,54
2022-04-05 01:08:00,52
2022-04-05 01:09:00,53
2022-04-05 01:10:00,53
2022-04-05 01:11:00,57
2022-04-05 01:12:00,52
2022-04-05 01:13:00,51
2022-04-05 01:14:00,55
2022-04-05 01:15:00,52
2022-04-05 01:16:00,52
2022-04-05 01:48:00,53
2022-04-05 01:49:00,50
2022-04-05 01:50:00,53
2022-04-05 01:51:00,54
2022-04-05 01:52:00,57
2022-04-05 01:53:00,46
2022-04-05 01:54:00,47
2022-04-05 01:55:00,56
2022-04-05 01:56:00,51
2022-04-05 01:57:00,55
2022-04-05 01:58:00,49
2022-04-05 01:59:00,50
2022-04-05 02:00:00,56
2022-04-05 02:01:00,49
2022-04-05 02:02:00,50
2022-04-05 02:03:00,52
2022-04-05 02:04:00,54
2022-04-05 02:05:00,51
2022-04-05 02:06:00,60
2022-04-05 02:17:00,58
2022-04-05 02:18:00,51
2022-04-05 02:19:00,51
2022-04-05 02:20:00,55
2022-04-05 02:21:00,62
2022-04-05 02:22:00,54
2022-04-05 02:23:00,60
2022-04-05 02:24:00,49
2022-04-05 02:25:00,48
2022-04-05 02:26:00,51
2022-04-05 05:48:00,59
2022-04-05 05:49:00,59
2022-04-05 05:50:00,55
2022-04-05 05:51:00,63
2022-04-05 05:52:00,58
2022-04-05 05:53:00,63
2022-04-05 05:54:00,58
2022-04-05 05:55:00,57
2022-04-05 05:56:00,61
2022-04-05 05:57:00,61
2022-04-05 06:07:00,52
2022-04-05 06:08:00,55
2022-04-05 06:09:00,60
2022-04-05 06:10:00,59
2022-04-05 06:11:00,57
