sep=,
"Time","dt_sound_level_dB"
2022-04-04 00:01:00,50
2022-04-04 00:02:00,51
2022-04-04 00:03:00,48
2022-04-04 00:04:00,47
2022-04-04 00:05:00,53
2022-04-04 00:06:00,53
2022-04-04 00:07:00,49
2022-04-04 00:08:00,48
2022-04-04 00:09:00,51
2022-04-04 00:10:00,50
2022-04-04 00:11:00,52
2022-04-04 00:12:00,50
2022-04-04 00:13:00,52
2022-04-04 00:14:00,48
2022-04-04 00:15:00,52
2022-04-04 00:16:00,48
2022-04-04 00:17:00,47
2022-04-04 00:18:00,49
2022-04-04 00:19:00,50
2022-04-04 00:20:00,47
2022-04-04 00:21:00,50
2022-04-04 00:22:00,51
2022-04-04 00:23:00,48
2022-04-04 00:24:00,48
2022-04-04 00:25:00,50
2022-04-04 00:26:00,50
2022-04-04 00:27:00,51
2022-04-04 00:28:00,51
2022-04-04 00:29:00,46
2022-04-04 01:01:00,51
2022-04-04 01:02:00,50
2022-04-04 01:03:00,48
2022-04-04 01:04:00,48
2022-04-04 01:05:00,53
2022-04-04 01:06:00,52
2022-04-04 01:07:00,49
2022-04-04 01:08:00,52
2022-04-04 01:09:00,50
2022-04-04 01:10:00,50
2022-04-04 01:11:00,51
2022-04-04 01:12:00,53
2022-04-04 01:13:00,48
2022-04-04 01:14:00,50
2022-04-04 01:15:00,48
2022-04-04 01:16:00,52
2022-04-04 01:17:00,48
2022-04-04 01:18:00,51
2022-04-04 01:19:00,53
2022-04-04 01:20:00,48
2022-04-04 01:21:00,50
2022-04-04 01:22:00,47
2022-04-04 01:23:00,49
2022-04-04 01:24:00,50
2022-04-04 01:25:00,47
2022-04-04 01:26:00,50
2022-04-04 01:27:00,53
2022-04-04 01:28:00,47
2022-04-04 01:29:00,52
2022-04-04 01:30:00,50
2022-04-04 01:31:00,50
2022-04-04 01:32:00,48
2022-04-04 01:33:00,52
2022-04-04 01:34:00,52
2022-04-04 01:35:00,46
2022-04-04 01:36:00,48
2022-04-04 01:37:00,48
2022-04-04 01:38:00,50
2022-04-04 01:39:00,48
2022-04-04 04:50:00,51
2022-04-04 04:51:00,53
2022-04-04 04:52:00,53
2022-04-04 04:53:00,51
2022-04-04 04:54:00,47
2022-04-04 04:55:00,52
2022-04-04 04:56:00,53
2022-04-04 04:58:00,56
2022-04-04 04:59:00,47
2022-04-04 05:00:00,56
2022-04-04 05:11:00,55
2022-04-04 05:12:00,54
2022-04-04 05:13:00,46
2022-04-04 05:14:00,49
2022-04-04 05:15:00,46
2022-04-04 05:16:00,63
2022-04-04 05:17:00,53
2022-04-04 05:18:00,54
2022-04-04 05:19:00,58
2022-04-04 05:20:00,54
2022-04-04 05:21:00,49
2022-04-04 05:22:00,51
2022-04-04 05:23:00,60
2022-04-04 05:24:00,55
2022-04-04 05:25:00,56
2022-04-04 05:26:00,49
2022-04-04 05:27:00,50
2022-04-04 05:28:00,57
2022-04-04 05:29:00,53
2022-04-04 05:30:00,59
2022-04-04 05:31:00,55
2022-04-04 05:32:00,55
2022-04-04 05:33:00,51
2022-04-04 05:34:00,54
2022-04-04 05:35:00,52
2022-04-04 05:36:00,55
2022-04-04 05:37:00,51
2022-04-04 05:38:00,49
2022-04-04 05:39:00,47
2022-04-04 06:01:00,57
2022-04-04 06:02:00,56
2022-04-04 06:03:00,51
2022-04-04 06:04:00,56
2022-04-04 06:05:00,54
2022-04-04 06:06:00,53
2022-04-04 06:07:00,54
2022-04-04 06:08:00,54
2022-04-04 06:09:00,51
2022-04-04 06:10:00,56
2022-04-04 06:11:00,56
2022-04-04 06:12:00,50
2022-04-04 06:13:00,52
2022-04-04 06:14:00,48
2022-04-04 06:15:00,59
2022-04-04 06:16:00,52
2022-04-04 06:17:00,49
2022-04-04 06:18:00,51
2022-04-04 06:19:00,53
2022-04-04 06:20:00,59
2022-04-04 06:21:00,57
2022-04-04 06:22:00,50
2022-04-04 06:23:00,55
2022-04-04 06:24:00,51
2022-04-04 06:25:00,52
2022-04-04 06:26:00,48
2022-04-04 06:27:00,51
2022-04-04 06:28:00,53
2022-04-04 06:29:00,52
2022-04-04 06:30:00,53
2022-04-04 06:31:00,53
2022-04-04 06:32:00,57
2022-04-04 06:33:00,53
2022-04-04 06:34:00,54
2022-04-04 06:35:00,54
2022-04-04 06:36:00,53
2022-04-04 06:37:00,62
2022-04-04 06:38:00,58
2022-04-04 06:39:00,53
2022-04-04 06:40:00,60
2022-04-04 06:41:00,54
2022-04-04 06:42:00,61
2022-04-04 06:43:00,58
2022-04-04 06:44:00,52
2022-04-04 06:45:00,58
2022-04-04 06:46:00,53
2022-04-04 06:47:00,52
2022-04-04 06:48:00,58
2022-04-04 06:49:00,50
2022-04-04 07:21:00,59
2022-04-04 07:22:00,61
2022-04-04 07:23:00,58
2022-04-04 07:24:00,56
2022-04-04 07:25:00,58
2022-04-04 07:26:00,58
2022-04-04 07:27:00,61
2022-04-04 07:28:00,60
2022-04-04 07:29:00,58
2022-04-04 07:30:00,59
2022-04-04 07:31:00,54
2022-04-04 07:32:00,61
2022-04-04 07:33:00,59
2022-04-04 07:34:00,58
2022-04-04 07:35:00,56
2022-04-04 07:36:00,63
2022-04-04 07:37:00,57
2022-04-04 07:38:00,62
2022-04-04 07:39:00,59
2022-04-04 07:50:00,62
2022-04-04 07:51:00,59
2022-04-04 07:52:00,57
2022-04-04 07:54:00,61
2022-04-04 07:55:00,59
2022-04-04 07:56:00,58
2022-04-04 07:57:00,56
2022-04-04 07:58:00,60
2022-04-04 07:59:00,64
2022-04-04 08:00:00,58
2022-04-04 08:01:00,58
2022-04-04 08:02:00,59
2022-04-04 08:03:00,60
2022-04-04 08:04:00,60
2022-04-04 08:05:00,58
2022-04-04 08:06:00,60
2022-04-04 08:07:00,57
2022-04-04 08:08:00,57
2022-04-04 08:09:00,58
2022-04-04 08:10:00,59
2022-04-04 08:21:00,64
2022-04-04 08:22:00,61
2022-04-04 08:23:00,60
2022-04-04 08:24:00,60
2022-04-04 08:25:00,58
2022-04-04 08:26:00,64
2022-04-04 08:27:00,59
2022-04-04 08:28:00,59
2022-04-04 08:29:00,57
2022-04-04 08:30:00,58
2022-04-04 08:31:00,53
2022-04-04 08:32:00,61
2022-04-04 08:33:00,62
2022-04-04 08:34:00,57
2022-04-04 08:35:00,55
2022-04-04 08:36:00,56
2022-04-04 08:37:00,56
2022-04-04 08:38:00,59
2022-04-04 08:39:00,61
2022-04-04 08:50:00,58
2022-04-04 08:52:00,60
2022-04-04 08:53:00,61
2022-04-04 08:55:00,66
2022-04-04 08:56:00,59
2022-04-04 08:57:00,66
2022-04-04 08:58:00,61
2022-04-04 08:59:00,62
2022-04-04 09:00:00,62
2022-04-04 10:01:00,60
2022-04-04 10:02:00,58
2022-04-04 10:03:00,55
2022-04-04 10:04:00,62
2022-04-04 10:05:00,60
2022-04-04 10:06:00,65
2022-04-04 10:07:00,56
2022-04-04 10:08:00,60
2022-04-04 10:09:00,54
2022-04-04 10:10:00,58
2022-04-04 10:11:00,54
2022-04-04 10:12:00,64
2022-04-04 10:13:00,66
2022-04-04 10:14:00,59
2022-04-04 10:15:00,59
2022-04-04 10:16:00,59
2022-04-04 10:17:00,59
2022-04-04 10:18:00,63
2022-04-04 10:19:00,61
2022-04-04 10:20:00,59
2022-04-04 18:01:00,62
2022-04-04 18:02:00,67
2022-04-04 18:03:00,69
2022-04-04 18:04:00,67
2022-04-04 18:05:00,66
2022-04-04 18:06:00,62
2022-04-04 18:07:00,65
2022-04-04 18:08:00,62
2022-04-04 18:09:00,60
2022-04-04 18:10:00,60
2022-04-04 18:21:00,66
2022-04-04 18:22:00,65
2022-04-04 18:23:00,65
2022-04-04 18:24:00,66
2022-04-04 18:25:00,62
2022-04-04 18:26:00,66
2022-04-04 18:27:00,65
2022-04-04 18:28:00,59
2022-04-04 18:29:00,65
2022-04-04 18:30:00,60
2022-04-04 18:31:00,64
2022-04-04 18:32:00,62
2022-04-04 18:33:00,64
2022-04-04 18:34:00,56
2022-04-04 18:35:00,62
2022-04-04 18:36:00,62
2022-04-04 18:37:00,60
2022-04-04 18:38:00,60
2022-04-04 18:39:00,64
2022-04-04 18:40:00,64
2022-04-04 18:41:00,64
2022-04-04 18:42:00,63
2022-04-04 18:43:00,62
2022-04-04 18:44:00,63
2022-04-04 18:46:00,61
2022-04-04 18:47:00,62
2022-04-04 18:48:00,62
2022-04-04 18:49:00,65
2022-04-04 18:50:00,66
2022-04-04 20:51:00,59
2022-04-04 20:52:00,59
2022-04-04 20:53:00,57
2022-04-04 20:54:00,69
2022-04-04 20:55:00,63
2022-04-04 20:56:00,62
2022-04-04 20:57:00,57
2022-04-04 20:58:00,59
2022-04-04 20:59:00,59
2022-04-04 21:00:00,61
2022-04-04 21:21:00,64
2022-04-04 21:22:00,61
2022-04-04 21:23:00,62
2022-04-04 21:24:00,58
2022-04-04 21:25:00,52
2022-04-04 21:26:00,63
2022-04-04 21:27:00,61
2022-04-04 21:28:00,62
2022-04-04 21:29:00,58
2022-04-04 21:30:00,58
2022-04-04 21:41:00,59
2022-04-04 21:42:00,61
2022-04-04 21:43:00,61
2022-04-04 21:44:00,55
2022-04-04 21:45:00,58
2022-04-04 21:46:00,59
2022-04-04 21:47:00,61
2022-04-04 21:49:00,62
2022-04-04 21:50:00,64
2022-04-04 21:51:00,61
2022-04-04 21:52:00,64
2022-04-04 21:53:00,55
2022-04-04 21:54:00,51
2022-04-04 21:55:00,64
2022-04-04 21:56:00,56
2022-04-04 21:57:00,62
2022-04-04 21:58:00,56
2022-04-04 21:59:00,62
2022-04-04 22:00:00,55
2022-04-04 23:51:00,57
2022-04-04 23:52:00,59
2022-04-04 23:53:00,56
2022-04-04 23:54:00,57
2022-04-04 23:55:00,53
2022-04-04 23:56:00,67
2022-04-04 23:57:00,59
2022-04-04 23:58:00,71
2022-04-04 23:59:00,66
2022-04-05 00:00:00,66
2022-04-05 00:01:00,68
2022-04-05 00:02:00,61
2022-04-05 00:03:00,63
2022-04-05 00:04:00,62
2022-04-05 00:05:00,65
