sep=,
"Time","dt_sound_level_dB"
2022-04-04 00:12:00,50
2022-04-04 00:13:00,48
2022-04-04 00:14:00,51
2022-04-04 00:15:00,52
2022-04-04 00:16:00,51
2022-04-04 00:17:00,50
2022-04-04 00:18:00,46
2022-04-04 00:19:00,49
2022-04-04 00:20:00,47
2022-04-04 00:21:00,47
2022-04-04 00:22:00,48
2022-04-04 00:23:00,46
2022-04-04 00:24:00,46
2022-04-04 00:25:00,52
2022-04-04 00:26:00,48
2022-04-04 00:27:00,51
2022-04-04 00:28:00,48
2022-04-04 00:29:00,48
2022-04-04 00:30:00,50
2022-04-04 00:31:00,50
2022-04-04 00:32:00,54
2022-04-04 00:33:00,48
2022-04-04 00:34:00,48
2022-04-04 00:35:00,46
2022-04-04 00:36:00,48
2022-04-04 00:37:00,55
2022-04-04 00:38:00,47
2022-04-04 00:39:00,46
2022-04-04 00:40:00,48
2022-04-04 00:41:00,47
2022-04-04 00:42:00,50
2022-04-04 00:43:00,48
2022-04-04 00:44:00,48
2022-04-04 00:45:00,53
2022-04-04 00:46:00,49
2022-04-04 00:47:00,49
2022-04-04 00:48:00,49
2022-04-04 00:49:00,53
2022-04-04 00:50:00,52
2022-04-04 05:12:00,66
2022-04-04 05:13:00,58
2022-04-04 05:14:00,61
2022-04-04 05:15:00,63
2022-04-04 05:16:00,56
2022-04-04 05:17:00,61
2022-04-04 05:18:00,60
2022-04-04 05:19:00,54
2022-04-04 05:20:00,57
2022-04-04 05:51:00,64
2022-04-04 05:52:00,60
2022-04-04 05:53:00,61
2022-04-04 05:54:00,58
2022-04-04 05:55:00,61
2022-04-04 05:56:00,62
2022-04-04 05:57:00,61
2022-04-04 05:58:00,65
2022-04-04 06:00:00,63
2022-04-04 06:00:00,66
2022-04-04 06:01:00,58
2022-04-04 06:03:00,61
2022-04-04 06:03:00,72
2022-04-04 06:04:00,66
2022-04-04 06:06:00,72
2022-04-04 06:07:00,68
2022-04-04 06:08:00,67
2022-04-04 06:09:00,65
2022-04-04 06:10:00,65
2022-04-04 06:11:00,62
2022-04-04 06:12:00,67
2022-04-04 06:13:00,71
2022-04-04 06:14:00,70
2022-04-04 06:15:00,61
2022-04-04 06:16:00,63
2022-04-04 06:17:00,70
2022-04-04 06:18:00,71
2022-04-04 06:19:00,64
2022-04-04 06:20:00,63
2022-04-04 06:21:00,66
2022-04-04 06:22:00,67
