sep=,
"Time","dt_sound_level_dB"
2022-04-04 00:17:00,55
2022-04-04 00:18:00,57
2022-04-04 00:20:00,55
2022-04-04 00:21:00,55
2022-04-04 00:22:00,62
2022-04-04 00:23:00,57
2022-04-04 00:24:00,55
2022-04-04 00:25:00,54
2022-04-04 00:26:00,59
2022-04-04 00:27:00,56
2022-04-04 01:07:00,61
2022-04-04 01:08:00,57
2022-04-04 01:09:00,62
2022-04-04 01:10:00,56
2022-04-04 01:11:00,58
2022-04-04 01:12:00,58
2022-04-04 01:13:00,53
2022-04-04 01:14:00,53
2022-04-04 01:15:00,60
2022-04-04 01:16:00,60
2022-04-04 01:28:00,57
2022-04-04 01:29:00,58
2022-04-04 01:30:00,54
2022-04-04 01:31:00,60
2022-04-04 01:32:00,54
2022-04-04 01:33:00,56
2022-04-04 01:34:00,62
2022-04-04 01:35:00,58
2022-04-04 01:36:00,66
2022-04-04 01:37:00,65
2022-04-04 01:38:00,54
2022-04-04 01:39:00,57
2022-04-04 01:40:00,57
2022-04-04 01:41:00,60
2022-04-04 01:42:00,57
2022-04-04 01:43:00,54
2022-04-04 01:44:00,55
2022-04-04 01:45:00,63
2022-04-04 01:46:00,59
2022-04-04 01:57:00,58
2022-04-04 01:58:00,65
2022-04-04 01:59:00,62
2022-04-04 02:00:00,60
2022-04-04 02:01:00,59
2022-04-04 02:02:00,61
2022-04-04 02:03:00,58
2022-04-04 02:04:00,63
2022-04-04 02:05:00,67
2022-04-04 02:06:00,63
2022-04-04 02:07:00,63
2022-04-04 02:08:00,59
2022-04-04 02:09:00,58
2022-04-04 02:10:00,59
2022-04-04 02:11:00,61
2022-04-04 02:12:00,60
2022-04-04 02:13:00,63
2022-04-04 02:14:00,58
2022-04-04 02:15:00,60
2022-04-04 02:16:00,65
2022-04-04 02:28:00,56
2022-04-04 02:29:00,65
2022-04-04 02:30:00,59
2022-04-04 02:31:00,65
2022-04-04 02:32:00,61
2022-04-04 02:33:00,61
2022-04-04 02:34:00,65
2022-04-04 02:35:00,64
2022-04-04 02:36:00,64
2022-04-04 02:37:00,62
2022-04-04 02:38:00,64
2022-04-04 02:39:00,62
2022-04-04 02:40:00,68
2022-04-04 02:41:00,57
2022-04-04 02:42:00,65
2022-04-04 02:43:00,67
2022-04-04 02:44:00,61
2022-04-04 02:45:00,57
2022-04-04 02:46:00,59
2022-04-04 02:47:00,66
2022-04-04 02:48:00,61
2022-04-04 02:49:00,61
2022-04-04 02:50:00,59
2022-04-04 02:51:00,58
2022-04-04 02:52:00,62
2022-04-04 02:53:00,59
2022-04-04 02:54:00,62
2022-04-04 02:55:00,64
2022-04-04 02:56:00,64
2022-04-04 03:07:00,61
2022-04-04 03:08:00,67
2022-04-04 03:09:00,64
2022-04-04 03:10:00,63
2022-04-04 03:11:00,64
2022-04-04 03:12:00,59
2022-04-04 03:13:00,63
2022-04-04 03:14:00,66
2022-04-04 03:15:00,62
2022-04-04 03:16:00,59
2022-04-04 03:28:00,62
2022-04-04 03:29:00,60
2022-04-04 03:30:00,61
2022-04-04 03:31:00,58
2022-04-04 03:32:00,60
2022-04-04 03:33:00,62
2022-04-04 03:34:00,57
2022-04-04 03:35:00,59
2022-04-04 03:36:00,56
2022-04-04 03:37:00,55
2022-04-04 03:38:00,51
2022-04-04 03:39:00,57
2022-04-04 03:40:00,50
2022-04-04 03:41:00,49
2022-04-04 03:42:00,53
2022-04-04 03:43:00,57
2022-04-04 03:44:00,54
2022-04-04 03:45:00,53
2022-04-04 03:46:00,52
2022-04-04 03:57:00,52
2022-04-04 03:58:00,54
2022-04-04 03:59:00,48
2022-04-04 04:00:00,53
2022-04-04 04:01:00,50
2022-04-04 04:02:00,48
2022-04-04 04:03:00,52
2022-04-04 04:04:00,50
2022-04-04 04:05:00,51
