sep=,
"Time","dt_sound_level_dB"
2022-04-04 05:44:00,51
2022-04-04 05:45:00,47
2022-04-04 05:46:00,52
2022-04-04 05:47:00,51
2022-04-04 05:48:00,52
2022-04-04 05:49:00,54
2022-04-04 05:50:00,52
2022-04-04 05:51:00,52
2022-04-04 05:52:00,52
2022-04-04 06:03:00,51
2022-04-04 06:04:00,53
2022-04-04 06:06:00,51
2022-04-04 06:07:00,52
2022-04-04 06:08:00,54
2022-04-04 06:09:00,51
2022-04-04 06:10:00,49
2022-04-04 06:11:00,53
2022-04-04 06:12:00,52
2022-04-04 06:13:00,66
2022-04-04 06:14:00,52
2022-04-04 06:15:00,55
2022-04-04 06:16:00,55
2022-04-04 06:17:00,52
2022-04-04 06:18:00,52
2022-04-04 06:19:00,54
2022-04-04 06:20:00,55
2022-04-04 06:21:00,55
2022-04-04 06:22:00,55
2022-04-04 06:23:00,51
2022-04-04 06:24:00,56
2022-04-04 06:25:00,53
2022-04-04 06:26:00,55
2022-04-04 06:27:00,55
2022-04-04 06:28:00,59
2022-04-04 06:29:00,55
2022-04-04 06:30:00,52
2022-04-04 06:31:00,50
2022-04-04 06:32:00,52
2022-04-04 06:33:00,57
2022-04-04 06:34:00,57
2022-04-04 06:35:00,53
2022-04-04 06:36:00,50
2022-04-04 06:37:00,51
2022-04-04 06:38:00,48
2022-04-04 06:39:00,56
2022-04-04 06:40:00,57
2022-04-04 06:41:00,53
2022-04-04 06:42:00,50
2022-04-04 06:43:00,49
2022-04-04 11:44:00,59
2022-04-04 11:45:00,61
2022-04-04 11:46:00,63
2022-04-04 11:47:00,60
2022-04-04 11:48:00,57
2022-04-04 11:49:00,54
2022-04-04 11:50:00,55
2022-04-04 11:51:00,59
2022-04-04 11:52:00,59
2022-04-04 11:53:00,62
2022-04-04 12:03:00,56
2022-04-04 12:04:00,59
2022-04-04 12:05:00,61
2022-04-04 12:06:00,62
2022-04-04 12:07:00,58
2022-04-04 12:08:00,56
2022-04-04 12:09:00,52
2022-04-04 12:10:00,55
2022-04-04 12:12:00,60
2022-04-04 12:13:00,61
2022-04-04 12:24:00,56
2022-04-04 12:25:00,62
2022-04-04 12:26:00,65
2022-04-04 12:27:00,62
2022-04-04 12:28:00,60
2022-04-04 12:29:00,58
2022-04-04 12:30:00,54
2022-04-04 12:31:00,59
2022-04-04 12:32:00,64
2022-04-04 12:33:00,65
2022-04-04 12:44:00,57
2022-04-04 12:45:00,63
2022-04-04 12:46:00,66
2022-04-04 12:47:00,61
2022-04-04 12:48:00,58
2022-04-04 12:49:00,55
2022-04-04 12:50:00,55
2022-04-04 12:51:00,59
2022-04-04 12:52:00,64
2022-04-04 12:53:00,63
2022-04-04 12:54:00,61
2022-04-04 12:56:00,53
2022-04-04 12:57:00,54
2022-04-04 12:58:00,59
2022-04-04 12:59:00,62
