sep=,
"Time","dt_sound_level_dB"
2022-04-04 00:00:00,49
2022-04-04 00:01:00,52
2022-04-04 00:02:00,47
2022-04-04 00:03:00,53
2022-04-04 00:04:00,51
2022-04-04 00:15:00,49
2022-04-04 00:16:00,47
2022-04-04 00:17:00,50
2022-04-04 00:18:00,50
2022-04-04 00:19:00,49
2022-04-04 00:20:00,47
2022-04-04 00:21:00,49
2022-04-04 00:22:00,48
2022-04-04 00:23:00,55
2022-04-04 00:24:00,49
2022-04-04 00:25:00,50
2022-04-04 00:26:00,48
2022-04-04 00:27:00,51
2022-04-04 00:28:00,56
2022-04-04 00:29:00,47
2022-04-04 00:30:00,51
2022-04-04 00:31:00,48
2022-04-04 00:32:00,53
2022-04-04 00:33:00,49
2022-04-04 00:34:00,48
2022-04-04 00:35:00,48
2022-04-04 00:36:00,51
2022-04-04 00:37:00,52
2022-04-04 00:38:00,48
2022-04-04 00:39:00,50
2022-04-04 00:40:00,50
2022-04-04 00:41:00,49
2022-04-04 00:42:00,51
2022-04-04 00:43:00,49
2022-04-04 00:55:00,47
2022-04-04 00:56:00,51
2022-04-04 00:57:00,51
2022-04-04 00:58:00,58
2022-04-04 00:59:00,51
2022-04-04 01:00:00,47
2022-04-04 01:01:00,52
2022-04-04 01:02:00,46
2022-04-04 01:03:00,50
2022-04-04 01:04:00,54
2022-04-04 01:05:00,54
2022-04-04 01:06:00,54
2022-04-04 01:07:00,46
2022-04-04 01:08:00,52
2022-04-04 01:09:00,57
2022-04-04 01:10:00,58
2022-04-04 01:11:00,48
2022-04-04 01:12:00,51
2022-04-04 01:13:00,57
2022-04-04 01:14:00,48
2022-04-04 01:34:00,53
2022-04-04 01:35:00,51
2022-04-04 01:36:00,51
2022-04-04 01:37:00,47
2022-04-04 01:38:00,52
2022-04-04 01:39:00,53
2022-04-04 01:40:00,53
2022-04-04 01:41:00,51
2022-04-04 01:42:00,51
2022-04-04 01:43:00,51
2022-04-04 01:44:00,52
2022-04-04 01:45:00,54
2022-04-04 01:46:00,53
2022-04-04 01:47:00,48
2022-04-04 01:48:00,56
2022-04-04 01:49:00,51
2022-04-04 01:51:00,55
2022-04-04 01:52:00,50
2022-04-04 01:53:00,58
2022-04-04 01:54:00,55
2022-04-04 04:55:00,51
2022-04-04 04:56:00,52
2022-04-04 04:57:00,53
2022-04-04 04:58:00,54
2022-04-04 04:59:00,50
2022-04-04 05:00:00,53
2022-04-04 05:01:00,53
2022-04-04 05:02:00,51
2022-04-04 05:03:00,50
2022-04-04 05:04:00,51
2022-04-04 05:24:00,56
2022-04-04 05:25:00,51
2022-04-04 05:26:00,55
2022-04-04 05:27:00,59
2022-04-04 05:28:00,53
2022-04-04 05:29:00,58
2022-04-04 05:30:00,52
2022-04-04 05:31:00,57
2022-04-04 05:32:00,64
2022-04-04 05:33:00,52
2022-04-04 05:34:00,58
2022-04-04 05:35:00,53
2022-04-04 05:36:00,58
2022-04-04 05:37:00,57
2022-04-04 05:38:00,55
2022-04-04 05:39:00,54
2022-04-04 05:40:00,56
2022-04-04 05:41:00,55
2022-04-04 05:42:00,54
2022-04-04 05:43:00,53
2022-04-04 05:44:00,58
2022-04-04 05:45:00,59
2022-04-04 05:46:00,50
2022-04-04 05:48:00,55
2022-04-04 05:49:00,54
2022-04-04 05:50:00,56
2022-04-04 05:51:00,55
2022-04-04 05:52:00,53
2022-04-04 05:53:00,58
2022-04-04 05:54:00,56
2022-04-04 06:44:00,56
2022-04-04 06:46:00,56
2022-04-04 06:47:00,57
2022-04-04 06:48:00,52
2022-04-04 06:49:00,55
2022-04-04 06:50:00,57
2022-04-04 06:51:00,55
2022-04-04 06:52:00,59
2022-04-04 06:53:00,54
2022-04-04 06:54:00,60
2022-04-04 07:05:00,59
2022-04-04 07:06:00,58
2022-04-04 07:07:00,58
2022-04-04 07:08:00,54
2022-04-04 07:09:00,57
2022-04-04 07:10:00,57
2022-04-04 07:11:00,57
2022-04-04 07:12:00,56
2022-04-04 07:13:00,59
2022-04-04 07:14:00,54
2022-04-04 07:24:00,59
2022-04-04 07:25:00,60
2022-04-04 07:26:00,57
2022-04-04 07:27:00,57
2022-04-04 07:28:00,55
2022-04-04 07:29:00,56
2022-04-04 07:30:00,58
2022-04-04 07:31:00,55
2022-04-04 07:32:00,56
2022-04-04 07:33:00,55
2022-04-04 09:05:00,64
