sep=,
"Time","dt_sound_level_dB"
2022-04-04 00:03:00,55
2022-04-04 00:04:00,51
2022-04-04 00:05:00,50
2022-04-04 00:06:00,50
2022-04-04 00:07:00,51
2022-04-04 00:08:00,49
2022-04-04 00:09:00,46
2022-04-04 00:10:00,45
2022-04-04 00:11:00,50
2022-04-04 00:12:00,46
2022-04-04 00:44:00,48
2022-04-04 00:45:00,50
2022-04-04 00:46:00,47
2022-04-04 00:47:00,52
2022-04-04 00:48:00,47
2022-04-04 00:49:00,45
2022-04-04 00:50:00,50
2022-04-04 00:51:00,48
2022-04-04 00:52:00,48
2022-04-04 01:03:00,48
2022-04-04 01:04:00,48
2022-04-04 01:05:00,52
2022-04-04 01:06:00,49
2022-04-04 01:07:00,60
2022-04-04 01:08:00,46
2022-04-04 01:09:00,46
2022-04-04 01:10:00,48
2022-04-04 01:11:00,48
2022-04-04 01:12:00,48
2022-04-04 01:13:00,52
2022-04-04 01:14:00,52
2022-04-04 01:15:00,46
2022-04-04 01:16:00,47
2022-04-04 01:17:00,46
2022-04-04 01:18:00,47
2022-04-04 01:19:00,46
2022-04-04 01:20:00,45
2022-04-04 01:21:00,50
2022-04-04 01:22:00,50
2022-04-04 01:23:00,53
2022-04-04 01:24:00,50
2022-04-04 01:25:00,49
2022-04-04 01:26:00,52
2022-04-04 01:28:00,50
2022-04-04 01:29:00,52
2022-04-04 01:30:00,54
2022-04-04 01:31:00,47
2022-04-04 01:32:00,51
2022-04-04 01:33:00,51
2022-04-04 01:44:00,57
2022-04-04 01:45:00,53
2022-04-04 01:46:00,50
2022-04-04 01:47:00,54
2022-04-04 01:48:00,49
2022-04-04 01:49:00,50
2022-04-04 01:50:00,48
2022-04-04 01:51:00,52
2022-04-04 01:52:00,51
2022-04-04 03:54:00,53
2022-04-04 03:55:00,57
2022-04-04 03:56:00,56
2022-04-04 03:57:00,53
2022-04-04 03:58:00,54
2022-04-04 03:59:00,52
2022-04-04 04:00:00,59
2022-04-04 04:01:00,58
2022-04-04 04:02:00,55
2022-04-04 04:03:00,61
2022-04-04 04:04:00,55
2022-04-04 04:05:00,60
2022-04-04 04:06:00,54
2022-04-04 04:07:00,59
2022-04-04 04:08:00,66
2022-04-04 04:09:00,60
2022-04-04 04:10:00,61
2022-04-04 04:11:00,61
2022-04-04 04:12:00,59
2022-04-04 04:44:00,55
2022-04-04 04:45:00,60
2022-04-04 04:46:00,62
2022-04-04 04:47:00,60
2022-04-04 04:48:00,51
2022-04-04 04:49:00,57
2022-04-04 04:50:00,56
2022-04-04 04:51:00,58
2022-04-04 04:52:00,58
2022-04-04 04:53:00,52
2022-04-04 07:17:00,58
2022-04-04 07:18:00,56
2022-04-04 07:19:00,61
2022-04-04 07:20:00,66
2022-04-04 07:21:00,56
2022-04-04 07:22:00,58
2022-04-04 07:23:00,67
2022-04-04 07:24:00,62
2022-04-04 07:25:00,56
2022-04-04 07:26:00,62
2022-04-04 07:58:00,65
2022-04-04 07:59:00,65
2022-04-04 08:00:00,60
2022-04-04 08:01:00,64
2022-04-04 08:02:00,58
2022-04-04 08:03:00,60
2022-04-04 08:04:00,67
2022-04-04 08:05:00,67
2022-04-04 08:06:00,68
2022-04-04 08:07:00,65
2022-04-04 09:08:00,57
2022-04-04 09:09:00,65
2022-04-04 09:10:00,62
2022-04-04 09:11:00,66
2022-04-04 09:12:00,71
2022-04-04 09:13:00,59
2022-04-04 09:14:00,61
2022-04-04 09:15:00,67
2022-04-04 09:16:00,67
2022-04-04 09:28:00,74
2022-04-04 09:29:00,71
2022-04-04 09:30:00,67
2022-04-04 09:31:00,68
2022-04-04 09:32:00,66
2022-04-04 09:33:00,66
2022-04-04 09:34:00,60
2022-04-04 09:35:00,55
2022-04-04 09:36:00,71
2022-04-04 09:37:00,66
2022-04-04 09:48:00,55
2022-04-04 09:49:00,65
2022-04-04 09:50:00,61
2022-04-04 09:51:00,70
2022-04-04 09:52:00,65
2022-04-04 09:53:00,62
2022-04-04 09:54:00,65
2022-04-04 09:55:00,71
2022-04-04 09:56:00,65
2022-04-04 09:57:00,71
2022-04-04 11:08:00,59
2022-04-04 11:09:00,65
