sep=,
"Time","dt_sound_level_dB"
2022-04-04 05:00:00,58
2022-04-04 05:01:00,53
2022-04-04 05:02:00,51
2022-04-04 05:04:00,57
2022-04-04 05:05:00,49
2022-04-04 05:06:00,56
2022-04-04 05:07:00,52
2022-04-04 05:07:00,53
2022-04-04 05:09:00,55
2022-04-04 05:11:00,51
2022-04-04 05:32:00,59
2022-04-04 05:33:00,53
2022-04-04 05:33:00,55
2022-04-04 05:34:00,51
2022-04-04 05:34:00,52
2022-04-04 05:35:00,63
2022-04-04 05:36:00,58
2022-04-04 05:38:00,53
2022-04-04 05:39:00,52
2022-04-04 05:40:00,58
2022-04-04 05:41:00,55
2022-04-04 05:42:00,52
2022-04-04 05:43:00,50
2022-04-04 05:43:00,54
2022-04-04 05:44:00,51
2022-04-04 05:45:00,55
2022-04-04 05:46:00,50
2022-04-04 05:47:00,57
2022-04-04 05:48:00,48
2022-04-04 05:50:00,56
2022-04-04 05:51:00,49
2022-04-04 05:51:00,52
2022-04-04 05:52:00,52
2022-04-04 05:53:00,57
2022-04-04 05:55:00,57
2022-04-04 05:56:00,56
2022-04-04 05:56:00,57
2022-04-04 05:57:00,59
2022-04-04 05:58:00,61
2022-04-04 06:01:00,57
2022-04-04 06:01:00,60
2022-04-04 06:02:00,54
2022-04-04 06:02:00,57
2022-04-04 06:03:00,58
2022-04-04 06:04:00,55
2022-04-04 06:05:00,58
2022-04-04 06:06:00,55
2022-04-04 06:09:00,55
2022-04-04 06:09:00,62
2022-04-04 06:10:00,59
2022-04-04 06:11:00,59
2022-04-04 06:12:00,57
2022-04-04 06:13:00,59
2022-04-04 06:14:00,58
2022-04-04 06:16:00,61
2022-04-04 06:17:00,57
2022-04-04 06:18:00,60
2022-04-04 06:19:00,60
2022-04-04 06:20:00,59
2022-04-04 06:20:00,61
2022-04-04 06:21:00,54
2022-04-04 06:23:00,62
2022-04-04 06:24:00,59
2022-04-04 06:24:00,61
2022-04-04 06:25:00,59
2022-04-04 06:27:00,54
2022-04-04 06:27:00,62
2022-04-04 06:28:00,56
2022-04-04 06:30:00,61
2022-04-04 06:31:00,57
2022-04-04 06:31:00,58
2022-04-04 06:32:00,63
2022-04-04 06:33:00,60
2022-04-04 06:34:00,64
2022-04-04 06:35:00,63
2022-04-04 06:37:00,57
2022-04-04 06:38:00,60
2022-04-04 06:38:00,65
2022-04-04 06:39:00,59
2022-04-04 06:40:00,56
2022-04-04 06:41:00,52
2022-04-04 06:42:00,61
2022-04-04 06:43:00,57
2022-04-04 06:44:00,55
2022-04-04 06:45:00,66
2022-04-04 06:46:00,58
2022-04-04 06:47:00,59
2022-04-04 06:48:00,61
2022-04-04 06:49:00,57
2022-04-04 11:40:00,63
2022-04-04 11:42:00,64
2022-04-04 11:43:00,62
2022-04-04 11:43:00,63
2022-04-04 11:45:00,67
2022-04-04 11:46:00,64
2022-04-04 11:46:00,68
2022-04-04 11:47:00,63
2022-04-04 11:48:00,66
2022-04-04 11:51:00,66
2022-04-04 12:11:00,63
2022-04-04 12:12:00,68
2022-04-04 12:13:00,66
2022-04-04 12:14:00,65
2022-04-04 12:15:00,60
2022-04-04 12:16:00,67
2022-04-04 12:17:00,75
2022-04-04 12:19:00,71
2022-04-04 12:20:00,65
2022-04-04 12:20:00,70
2022-04-04 14:00:00,72
2022-04-04 14:01:00,66
2022-04-04 14:03:00,70
2022-04-04 14:04:00,69
2022-04-04 14:05:00,68
2022-04-04 14:06:00,68
2022-04-04 14:08:00,69
2022-04-04 14:09:00,62
2022-04-04 14:09:00,67
2022-04-04 14:11:00,59
2022-04-04 14:32:00,70
2022-04-04 14:33:00,68
2022-04-04 14:33:00,69
2022-04-04 14:34:00,62
2022-04-04 14:35:00,66
2022-04-04 14:37:00,66
2022-04-04 14:38:00,63
2022-04-04 14:40:00,70
2022-04-04 14:41:00,68
2022-04-04 14:42:00,68
2022-04-04 14:43:00,67
2022-04-04 14:44:00,64
2022-04-04 14:44:00,68
2022-04-04 14:45:00,68
2022-04-04 14:47:00,68
2022-04-04 14:48:00,72
2022-04-04 14:49:00,64
2022-04-04 14:49:00,70
2022-04-04 14:50:00,64
2022-04-04 15:52:00,68
2022-04-04 15:53:00,74
2022-04-04 15:54:00,71
2022-04-04 15:55:00,65
2022-04-04 15:56:00,71
2022-04-04 15:57:00,66
2022-04-04 15:57:00,71
2022-04-04 15:58:00,70
2022-04-04 16:00:00,69
2022-04-04 16:01:00,67
2022-04-04 16:21:00,69
2022-04-04 16:23:00,71
2022-04-04 16:24:00,64
2022-04-04 16:26:00,65
2022-04-04 16:26:00,70
2022-04-04 16:27:00,66
2022-04-04 16:28:00,71
2022-04-04 16:29:00,69
2022-04-04 16:29:00,71
2022-04-04 16:30:00,71
2022-04-04 16:50:00,68
2022-04-04 16:51:00,71
2022-04-04 16:52:00,70
2022-04-04 16:53:00,74
2022-04-04 16:54:00,71
2022-04-04 16:55:00,67
2022-04-04 16:57:00,70
2022-04-04 16:58:00,66
2022-04-04 17:00:00,69
2022-04-04 17:01:00,70
2022-04-04 17:21:00,65
2022-04-04 17:22:00,67
2022-04-04 17:23:00,71
2022-04-04 17:24:00,70
2022-04-04 17:25:00,70
2022-04-04 17:26:00,70
2022-04-04 17:27:00,67
2022-04-04 17:28:00,66
2022-04-04 17:29:00,72
2022-04-04 17:30:00,66
2022-04-04 18:01:00,68
2022-04-04 18:03:00,66
2022-04-04 18:04:00,67
2022-04-04 18:05:00,67
2022-04-04 18:07:00,66
2022-04-04 18:07:00,69
2022-04-04 18:08:00,73
2022-04-04 18:10:00,63
2022-04-04 18:10:00,69
2022-04-04 18:11:00,69
2022-04-04 18:12:00,67
2022-04-04 18:13:00,71
2022-04-04 18:14:00,70
2022-04-04 18:15:00,59
2022-04-04 18:17:00,72
2022-04-04 18:18:00,65
2022-04-04 18:18:00,70
2022-04-04 18:19:00,71
2022-04-04 18:20:00,71
2022-04-04 18:32:00,72
2022-04-04 18:33:00,65
2022-04-04 18:36:00,64
2022-04-04 18:36:00,70
2022-04-04 18:37:00,69
2022-04-04 18:39:00,66
2022-04-04 18:39:00,67
2022-04-04 18:40:00,69
2022-04-04 18:41:00,66
2022-04-04 18:42:00,67
2022-04-04 18:42:00,70
2022-04-04 18:43:00,65
2022-04-04 18:44:00,65
2022-04-04 18:45:00,71
2022-04-04 18:46:00,64
2022-04-04 18:49:00,64
2022-04-04 18:49:00,67
2022-04-04 18:50:00,69
2022-04-04 19:33:00,67
2022-04-04 19:33:00,68
2022-04-04 19:34:00,68
2022-04-04 19:34:00,73
2022-04-04 19:35:00,61
2022-04-04 19:36:00,61
2022-04-04 19:37:00,64
2022-04-04 19:38:00,67
2022-04-04 19:39:00,71
2022-04-04 19:40:00,66
2022-04-04 19:41:00,65
2022-04-04 19:42:00,61
2022-04-04 19:44:00,64
2022-04-04 19:45:00,67
2022-04-04 19:45:00,69
2022-04-04 19:46:00,68
2022-04-04 19:47:00,72
2022-04-04 19:48:00,65
2022-04-04 19:51:00,61
2022-04-04 20:12:00,67
2022-04-04 20:12:00,69
2022-04-04 20:13:00,64
2022-04-04 20:14:00,72
2022-04-04 20:15:00,64
2022-04-04 20:16:00,59
2022-04-04 20:17:00,64
2022-04-04 20:18:00,67
2022-04-04 20:19:00,66
2022-04-04 20:20:00,67
2022-04-04 20:21:00,65
2022-04-04 20:22:00,60
2022-04-04 20:23:00,64
2022-04-04 20:24:00,67
2022-04-04 20:25:00,63
2022-04-04 20:26:00,68
2022-04-04 20:27:00,59
2022-04-04 20:28:00,64
2022-04-04 20:30:00,64
2022-04-04 20:31:00,66
2022-04-04 20:50:00,63
2022-04-04 20:51:00,65
2022-04-04 20:52:00,62
2022-04-04 20:53:00,63
2022-04-04 20:54:00,66
2022-04-04 20:55:00,54
2022-04-04 20:56:00,65
2022-04-04 20:57:00,66
2022-04-04 20:58:00,64
2022-04-04 21:00:00,66
2022-04-04 21:01:00,66
