sep=,
"Time","dt_sound_level_dB"
2022-04-04 00:00:00,46
2022-04-04 00:02:00,46
2022-04-04 00:02:00,48
2022-04-04 00:03:00,46
2022-04-04 00:04:00,44
2022-04-04 00:06:00,49
2022-04-04 00:07:00,46
2022-04-04 00:07:00,47
2022-04-04 00:08:00,52
2022-04-04 00:11:00,46
2022-04-04 00:12:00,45
2022-04-04 00:13:00,54
2022-04-04 00:14:00,47
2022-04-04 00:15:00,48
2022-04-04 00:16:00,45
2022-04-04 00:17:00,47
2022-04-04 00:18:00,47
2022-04-04 00:19:00,50
2022-04-04 00:20:00,54
2022-04-04 00:21:00,50
2022-04-04 00:22:00,46
2022-04-04 00:23:00,47
2022-04-04 00:24:00,50
2022-04-04 00:25:00,51
2022-04-04 00:26:00,48
2022-04-04 00:27:00,46
2022-04-04 00:27:00,49
2022-04-04 00:28:00,49
2022-04-04 00:30:00,46
2022-04-04 00:30:00,48
2022-04-04 00:31:00,49
2022-04-04 00:32:00,49
2022-04-04 00:34:00,47
2022-04-04 00:34:00,48
2022-04-04 00:35:00,52
2022-04-04 00:37:00,46
2022-04-04 00:37:00,48
2022-04-04 00:39:00,48
2022-04-04 00:41:00,55
2022-04-04 00:42:00,47
2022-04-04 00:43:00,51
2022-04-04 00:44:00,48
2022-04-04 00:45:00,51
2022-04-04 00:46:00,45
2022-04-04 00:47:00,50
2022-04-04 00:48:00,53
2022-04-04 00:49:00,49
2022-04-04 00:50:00,53
2022-04-04 00:51:00,46
2022-04-04 00:52:00,49
2022-04-04 00:53:00,51
2022-04-04 00:54:00,47
2022-04-04 00:55:00,48
2022-04-04 00:55:00,51
2022-04-04 00:56:00,46
2022-04-04 00:56:00,56
2022-04-04 00:57:00,55
2022-04-04 01:00:00,48
2022-04-04 01:01:00,48
2022-04-04 01:01:00,51
2022-04-04 01:02:00,54
2022-04-04 01:03:00,54
2022-04-04 01:04:00,51
2022-04-04 01:04:00,53
2022-04-04 01:07:00,49
2022-04-04 01:08:00,47
2022-04-04 01:09:00,48
2022-04-04 01:20:00,49
2022-04-04 01:21:00,48
2022-04-04 01:22:00,47
2022-04-04 01:23:00,51
2022-04-04 01:24:00,52
2022-04-04 01:25:00,46
2022-04-04 01:26:00,46
2022-04-04 01:27:00,48
2022-04-04 01:28:00,47
2022-04-04 01:29:00,49
2022-04-04 01:30:00,50
2022-04-04 01:31:00,48
2022-04-04 01:32:00,47
2022-04-04 01:33:00,49
2022-04-04 01:34:00,50
2022-04-04 01:35:00,51
2022-04-04 01:36:00,47
2022-04-04 01:38:00,58
2022-04-04 01:39:00,48
2022-04-04 01:59:00,53
2022-04-04 02:01:00,49
2022-04-04 02:02:00,54
2022-04-04 02:03:00,48
2022-04-04 02:04:00,54
2022-04-04 02:05:00,48
2022-04-04 02:06:00,51
2022-04-04 02:07:00,50
2022-04-04 02:07:00,53
2022-04-04 02:08:00,55
2022-04-04 02:40:00,47
2022-04-04 02:40:00,48
2022-04-04 02:41:00,54
2022-04-04 02:43:00,53
2022-04-04 02:45:00,46
2022-04-04 02:46:00,49
2022-04-04 02:47:00,53
2022-04-04 02:48:00,54
2022-04-04 02:49:00,50
2022-04-04 02:49:00,55
2022-04-04 02:51:00,53
2022-04-04 02:52:00,53
2022-04-04 02:53:00,46
2022-04-04 02:54:00,52
2022-04-04 02:55:00,55
2022-04-04 02:56:00,47
2022-04-04 02:57:00,47
2022-04-04 02:58:00,47
2022-04-04 02:59:00,52
2022-04-04 03:09:00,47
2022-04-04 03:10:00,46
2022-04-04 03:10:00,48
2022-04-04 03:11:00,48
2022-04-04 03:14:00,48
2022-04-04 03:15:00,46
2022-04-04 03:16:00,47
2022-04-04 03:17:00,48
2022-04-04 03:18:00,47
2022-04-04 03:19:00,47
2022-04-04 03:20:00,50
2022-04-04 03:21:00,49
2022-04-04 03:22:00,45
2022-04-04 03:23:00,46
2022-04-04 03:24:00,46
2022-04-04 03:25:00,47
2022-04-04 03:26:00,47
2022-04-04 03:27:00,46
2022-04-04 03:28:00,48
2022-04-04 03:29:00,46
2022-04-04 03:39:00,47
2022-04-04 03:40:00,45
2022-04-04 03:41:00,44
2022-04-04 03:43:00,44
2022-04-04 03:44:00,44
2022-04-04 03:46:00,46
2022-04-04 03:47:00,45
2022-04-04 03:48:00,45
2022-04-04 03:49:00,45
2022-04-04 03:50:00,44
2022-04-04 03:51:00,45
2022-04-04 03:52:00,45
2022-04-04 03:53:00,46
2022-04-04 03:54:00,47
2022-04-04 03:55:00,45
2022-04-04 03:56:00,45
2022-04-04 03:57:00,45
2022-04-04 03:57:00,46
2022-04-04 03:58:00,45
2022-04-04 04:00:00,45
2022-04-04 04:00:00,46
2022-04-04 04:01:00,45
2022-04-04 04:02:00,45
2022-04-04 04:03:00,45
2022-04-04 04:04:00,45
2022-04-04 04:06:00,47
2022-04-04 04:07:00,45
2022-04-04 04:08:00,47
2022-04-04 04:49:00,45
2022-04-04 04:50:00,47
2022-04-04 04:50:00,48
2022-04-04 04:52:00,46
2022-04-04 04:53:00,45
2022-04-04 04:53:00,46
2022-04-04 04:56:00,46
2022-04-04 04:57:00,46
2022-04-04 04:58:00,47
2022-04-04 04:59:00,48
2022-04-04 05:10:00,47
2022-04-04 05:11:00,47
2022-04-04 05:12:00,46
2022-04-04 05:13:00,47
2022-04-04 05:13:00,55
2022-04-04 05:14:00,47
2022-04-04 05:15:00,49
2022-04-04 05:17:00,47
2022-04-04 05:18:00,45
2022-04-04 05:18:00,46
2022-04-04 05:19:00,47
2022-04-04 05:20:00,48
2022-04-04 05:21:00,46
2022-04-04 05:23:00,48
2022-04-04 05:23:00,51
2022-04-04 05:24:00,45
2022-04-04 05:25:00,47
2022-04-04 05:26:00,47
2022-04-04 05:27:00,48
2022-04-04 05:28:00,48
2022-04-04 05:39:00,51
2022-04-04 05:40:00,48
2022-04-04 05:42:00,49
2022-04-04 05:42:00,50
2022-04-04 05:43:00,47
2022-04-04 05:44:00,48
2022-04-04 05:46:00,46
2022-04-04 05:47:00,48
2022-04-04 08:08:00,55
2022-04-04 08:09:00,54
2022-04-04 08:11:00,54
2022-04-04 08:13:00,56
2022-04-04 08:14:00,52
2022-04-04 08:15:00,53
2022-04-04 08:15:00,55
2022-04-04 08:16:00,52
2022-04-04 08:18:00,57
2022-04-04 08:19:00,58
2022-04-04 08:41:00,53
2022-04-04 08:41:00,58
2022-04-04 08:42:00,53
2022-04-04 08:42:00,61
2022-04-04 08:43:00,53
2022-04-04 08:44:00,53
2022-04-04 08:45:00,51
2022-04-04 08:46:00,54
2022-04-04 08:49:00,56
2022-04-04 09:10:00,54
2022-04-04 09:11:00,52
2022-04-04 09:11:00,54
2022-04-04 09:12:00,54
2022-04-04 09:13:00,50
2022-04-04 09:14:00,52
2022-04-04 09:16:00,58
2022-04-04 09:16:00,62
2022-04-04 09:17:00,57
2022-04-04 09:18:00,53
2022-04-04 09:20:00,53
2022-04-04 09:21:00,53
2022-04-04 09:21:00,54
2022-04-04 09:22:00,56
2022-04-04 09:23:00,54
2022-04-04 09:24:00,54
2022-04-04 09:26:00,53
2022-04-04 09:27:00,50
2022-04-04 09:27:00,54
2022-04-04 09:29:00,50
2022-04-04 09:29:00,56
2022-04-04 09:30:00,54
2022-04-04 09:31:00,52
2022-04-04 09:33:00,53
2022-04-04 09:34:00,55
2022-04-04 09:35:00,53
2022-04-04 09:38:00,55
2022-04-04 09:38:00,56
2022-04-04 09:38:00,59
2022-04-04 09:50:00,54
2022-04-04 09:51:00,54
2022-04-04 09:52:00,56
2022-04-04 09:53:00,60
2022-04-04 09:54:00,54
2022-04-04 09:55:00,53
2022-04-04 09:56:00,56
2022-04-04 09:57:00,52
2022-04-04 09:58:00,62
2022-04-04 09:59:00,49
2022-04-04 10:00:00,51
2022-04-04 10:01:00,52
2022-04-04 10:02:00,55
2022-04-04 10:03:00,55
2022-04-04 10:04:00,59
2022-04-04 10:05:00,55
2022-04-04 10:06:00,54
2022-04-04 10:07:00,51
2022-04-04 10:08:00,60
2022-04-04 10:09:00,55
2022-04-04 10:10:00,54
2022-04-04 10:11:00,55
2022-04-04 10:12:00,49
2022-04-04 10:12:00,53
2022-04-04 10:14:00,52
2022-04-04 10:14:00,53
2022-04-04 10:15:00,58
2022-04-04 10:17:00,50
2022-04-04 10:17:00,54
2022-04-04 10:19:00,53
2022-04-04 10:48:00,51
