sep=,
"Time","dt_sound_level_dB"
2022-04-04 00:16:00,58
2022-04-04 00:17:00,56
2022-04-04 00:18:00,60
2022-04-04 00:19:00,55
2022-04-04 00:20:00,54
2022-04-04 00:21:00,59
2022-04-04 00:22:00,57
2022-04-04 00:23:00,57
2022-04-04 00:24:00,60
2022-04-04 00:25:00,58
2022-04-04 00:46:00,58
2022-04-04 00:47:00,63
2022-04-04 00:48:00,55
2022-04-04 00:49:00,60
2022-04-04 00:50:00,62
2022-04-04 00:51:00,61
2022-04-04 00:52:00,58
2022-04-04 00:53:00,56
2022-04-04 00:54:00,62
2022-04-04 00:55:00,55
2022-04-04 00:56:00,59
2022-04-04 00:57:00,62
2022-04-04 00:58:00,62
2022-04-04 00:59:00,54
2022-04-04 01:00:00,63
2022-04-04 01:01:00,59
2022-04-04 01:02:00,65
2022-04-04 01:03:00,63
2022-04-04 01:04:00,64
2022-04-04 01:05:00,62
2022-04-04 01:27:00,57
2022-04-04 01:28:00,62
2022-04-04 01:29:00,59
2022-04-04 01:30:00,57
2022-04-04 01:31:00,51
2022-04-04 01:32:00,59
2022-04-04 01:33:00,56
2022-04-04 01:34:00,57
2022-04-04 01:35:00,62
2022-04-04 01:36:00,58
2022-04-04 01:37:00,60
2022-04-04 01:38:00,62
2022-04-04 01:39:00,58
2022-04-04 01:40:00,64
2022-04-04 01:41:00,57
2022-04-04 01:42:00,59
2022-04-04 01:43:00,58
2022-04-04 01:44:00,60
2022-04-04 01:45:00,67
2022-04-04 01:46:00,65
2022-04-04 01:47:00,64
2022-04-04 01:48:00,62
2022-04-04 01:49:00,59
2022-04-04 01:50:00,59
2022-04-04 01:51:00,67
2022-04-04 01:52:00,63
2022-04-04 01:53:00,59
2022-04-04 01:54:00,63
2022-04-04 01:55:00,59
2022-04-04 01:56:00,69
2022-04-04 01:57:00,70
2022-04-04 01:58:00,62
2022-04-04 01:59:00,63
2022-04-04 02:00:00,61
2022-04-04 02:01:00,60
2022-04-04 02:02:00,69
2022-04-04 02:03:00,63
2022-04-04 02:04:00,61
2022-04-04 02:05:00,65
2022-04-04 03:26:00,64
2022-04-04 03:28:00,62
2022-04-04 03:29:00,62
2022-04-04 03:30:00,67
2022-04-04 03:31:00,61
2022-04-04 03:32:00,62
2022-04-04 03:33:00,59
2022-04-04 03:34:00,64
2022-04-04 03:35:00,67
2022-04-04 03:36:00,65
2022-04-04 03:37:00,64
2022-04-04 03:38:00,63
2022-04-04 03:39:00,66
2022-04-04 03:40:00,58
2022-04-04 03:41:00,54
2022-04-04 03:42:00,62
2022-04-04 03:43:00,66
2022-04-04 03:44:00,66
2022-04-04 03:45:00,55
2022-04-04 05:56:00,66
2022-04-04 05:57:00,62
2022-04-04 05:58:00,65
2022-04-04 05:59:00,65
2022-04-04 06:00:00,67
2022-04-04 06:01:00,65
2022-04-04 06:02:00,66
2022-04-04 06:03:00,62
2022-04-04 06:04:00,61
2022-04-04 06:05:00,68
2022-04-04 06:16:00,61
2022-04-04 06:17:00,61
2022-04-04 06:18:00,67
2022-04-04 06:19:00,64
2022-04-04 06:20:00,69
2022-04-04 06:21:00,65
2022-04-04 06:22:00,68
2022-04-04 06:23:00,66
2022-04-04 06:25:00,69
2022-04-04 06:26:00,61
2022-04-04 06:27:00,64
2022-04-04 06:28:00,64
2022-04-04 06:29:00,69
2022-04-04 06:30:00,69
2022-04-04 06:31:00,65
2022-04-04 06:32:00,65
2022-04-04 06:33:00,69
2022-04-04 06:34:00,65
2022-04-04 06:35:00,72
2022-04-04 06:36:00,67
2022-04-04 06:37:00,63
2022-04-04 06:38:00,69
2022-04-04 06:39:00,65
2022-04-04 06:40:00,65
2022-04-04 06:41:00,66
2022-04-04 06:42:00,63
2022-04-04 06:43:00,64
2022-04-04 06:44:00,65
2022-04-04 06:45:00,68
2022-04-04 06:46:00,63
2022-04-04 06:47:00,65
2022-04-04 06:48:00,69
2022-04-04 06:49:00,69
2022-04-04 06:50:00,70
2022-04-04 06:51:00,68
2022-04-04 06:52:00,70
2022-04-04 06:53:00,69
2022-04-04 06:54:00,67
2022-04-04 06:55:00,64
2022-04-04 06:56:00,65
2022-04-04 06:57:00,67
2022-04-04 06:58:00,69
2022-04-04 06:59:00,63
2022-04-04 07:00:00,60
2022-04-04 07:01:00,63
2022-04-04 07:02:00,65
2022-04-04 07:03:00,65
2022-04-04 07:04:00,72
2022-04-04 07:05:00,69
2022-04-04 07:06:00,65
2022-04-04 07:07:00,63
2022-04-04 07:08:00,64
2022-04-04 07:09:00,67
2022-04-04 07:10:00,65
2022-04-04 07:11:00,64
2022-04-04 07:12:00,64
2022-04-04 07:13:00,66
2022-04-04 07:14:00,69
2022-04-04 07:15:00,71
2022-04-04 07:16:00,68
2022-04-04 07:17:00,65
2022-04-04 07:18:00,65
2022-04-04 07:19:00,68
2022-04-04 07:20:00,62
2022-04-04 07:21:00,68
2022-04-04 07:22:00,67
2022-04-04 07:23:00,66
2022-04-04 07:24:00,67
2022-04-04 07:26:00,67
2022-04-04 07:27:00,66
2022-04-04 07:28:00,68
2022-04-04 07:29:00,64
2022-04-04 07:30:00,69
2022-04-04 07:31:00,66
2022-04-04 07:32:00,67
2022-04-04 07:33:00,63
2022-04-04 07:34:00,64
2022-04-04 07:35:00,67
2022-04-04 07:36:00,72
2022-04-04 07:37:00,67
2022-04-04 07:38:00,67
2022-04-04 07:39:00,70
2022-04-04 07:40:00,65
2022-04-04 07:41:00,66
2022-04-04 07:42:00,70
2022-04-04 07:43:00,69
2022-04-04 07:44:00,71
2022-04-04 07:45:00,69
2022-04-04 07:46:00,64
2022-04-04 07:47:00,71
2022-04-04 07:48:00,71
2022-04-04 07:49:00,74
2022-04-04 07:50:00,71
2022-04-04 07:51:00,68
2022-04-04 07:52:00,65
2022-04-04 07:53:00,72
2022-04-04 07:54:00,72
2022-04-04 07:55:00,70
2022-04-04 07:56:00,71
2022-04-04 07:57:00,70
2022-04-04 07:58:00,75
2022-04-04 07:59:00,72
2022-04-04 08:00:00,74
2022-04-04 08:01:00,74
2022-04-04 08:02:00,73
2022-04-04 08:03:00,73
2022-04-04 08:04:00,67
2022-04-04 08:05:00,69
2022-04-04 08:16:00,70
2022-04-04 08:17:00,70
2022-04-04 08:18:00,70
2022-04-04 08:19:00,65
2022-04-04 08:20:00,74
2022-04-04 08:21:00,76
2022-04-04 08:22:00,75
2022-04-04 08:23:00,73
2022-04-04 08:25:00,69
2022-04-04 08:26:00,65
2022-04-04 08:37:00,73
2022-04-04 08:38:00,73
2022-04-04 08:39:00,67
2022-04-04 08:40:00,69
2022-04-04 08:41:00,71
2022-04-04 08:42:00,70
2022-04-04 08:43:00,72
2022-04-04 08:44:00,69
2022-04-04 08:45:00,70
2022-04-04 08:46:00,71
2022-04-04 09:06:00,67
2022-04-04 09:07:00,75
2022-04-04 09:08:00,72
2022-04-04 09:09:00,74
2022-04-04 09:10:00,73
2022-04-04 09:11:00,68
2022-04-04 09:12:00,71
2022-04-04 09:13:00,74
2022-04-04 09:14:00,74
2022-04-04 09:15:00,74
2022-04-04 09:16:00,75
2022-04-04 09:17:00,68
2022-04-04 09:18:00,69
2022-04-04 09:19:00,68
2022-04-04 09:20:00,73
2022-04-04 09:21:00,74
2022-04-04 09:22:00,73
2022-04-04 09:23:00,74
2022-04-04 09:24:00,73
2022-04-04 09:26:00,74
2022-04-04 09:27:00,74
2022-04-04 09:28:00,71
2022-04-04 09:29:00,71
2022-04-04 09:30:00,72
2022-04-04 09:31:00,65
2022-04-04 09:32:00,70
2022-04-04 09:33:00,72
2022-04-04 09:34:00,71
2022-04-04 09:35:00,74
2022-04-04 09:36:00,71
2022-04-04 11:06:00,75
2022-04-04 11:07:00,77
2022-04-04 11:08:00,67
2022-04-04 11:09:00,77
2022-04-04 11:10:00,81
2022-04-04 11:11:00,82
2022-04-04 11:12:00,78
2022-04-04 11:13:00,70
2022-04-04 11:14:00,74
2022-04-04 11:15:00,79
2022-04-04 11:27:00,77
2022-04-04 11:28:00,74
2022-04-04 11:29:00,75
2022-04-04 11:30:00,74
2022-04-04 11:31:00,73
2022-04-04 11:32:00,78
2022-04-04 11:33:00,79
2022-04-04 11:34:00,75
2022-04-04 11:35:00,77
2022-04-04 11:36:00,73
2022-04-04 11:56:00,77
2022-04-04 11:57:00,75
2022-04-04 11:58:00,71
2022-04-04 11:59:00,75
2022-04-04 12:00:00,73
2022-04-04 12:01:00,79
2022-04-04 12:02:00,78
2022-04-04 12:03:00,74
2022-04-04 12:04:00,75
2022-04-04 12:05:00,77
2022-04-04 12:06:00,77
2022-04-04 12:07:00,76
2022-04-04 12:08:00,77
2022-04-04 12:09:00,80
2022-04-04 12:10:00,69
2022-04-04 12:11:00,75
2022-04-04 12:12:00,73
2022-04-04 12:13:00,73
2022-04-04 12:14:00,81
2022-04-04 12:15:00,80
2022-04-04 12:16:00,78
2022-04-04 12:17:00,76
2022-04-04 12:18:00,77
2022-04-04 12:19:00,76
2022-04-04 12:20:00,76
2022-04-04 12:21:00,78
2022-04-04 12:22:00,72
2022-04-04 12:23:00,79
2022-04-04 12:25:00,71
2022-04-04 12:26:00,80
2022-04-04 12:27:00,76
2022-04-04 12:28:00,74
2022-04-04 12:29:00,78
2022-04-04 12:30:00,73
2022-04-04 12:31:00,76
2022-04-04 12:32:00,76
2022-04-04 12:33:00,75
2022-04-04 12:34:00,79
2022-04-04 12:35:00,78
2022-04-04 12:36:00,76
2022-04-04 12:37:00,72
2022-04-04 12:38:00,75
2022-04-04 12:39:00,74
2022-04-04 12:40:00,67
2022-04-04 12:41:00,76
2022-04-04 12:42:00,77
2022-04-04 12:43:00,79
2022-04-04 12:44:00,79
2022-04-04 12:45:00,77
2022-04-04 12:46:00,74
2022-04-04 12:47:00,69
2022-04-04 12:48:00,74
2022-04-04 12:49:00,79
2022-04-04 12:50:00,77
2022-04-04 12:51:00,76
2022-04-04 12:52:00,71
2022-04-04 12:53:00,73
2022-04-04 12:54:00,78
2022-04-04 12:55:00,75
2022-04-04 13:06:00,72
2022-04-04 13:07:00,69
2022-04-04 13:08:00,74
2022-04-04 13:09:00,77
2022-04-04 13:10:00,75
2022-04-04 13:11:00,76
2022-04-04 13:12:00,75
2022-04-04 13:13:00,79
2022-04-04 13:14:00,76
2022-04-04 13:15:00,76
2022-04-04 13:37:00,81
2022-04-04 13:38:00,80
2022-04-04 13:39:00,77
2022-04-04 13:40:00,81
2022-04-04 13:41:00,82
2022-04-04 13:42:00,81
2022-04-04 13:43:00,77
2022-04-04 13:44:00,75
2022-04-04 13:45:00,75
2022-04-04 13:46:00,76
2022-04-04 14:06:00,82
2022-04-04 14:07:00,78
2022-04-04 14:08:00,71
2022-04-04 14:09:00,72
2022-04-04 14:10:00,75
2022-04-04 14:11:00,73
2022-04-04 14:12:00,77
2022-04-04 14:13:00,75
2022-04-04 14:14:00,73
2022-04-04 14:15:00,79
2022-04-04 14:16:00,76
2022-04-04 14:17:00,77
2022-04-04 14:18:00,72
2022-04-04 14:19:00,74
2022-04-04 14:20:00,72
2022-04-04 14:21:00,75
2022-04-04 14:22:00,77
2022-04-04 14:23:00,74
2022-04-04 14:24:00,73
2022-04-04 14:25:00,68
2022-04-04 14:56:00,72
2022-04-04 14:57:00,73
2022-04-04 14:58:00,73
2022-04-04 14:59:00,72
2022-04-04 15:00:00,68
2022-04-04 15:01:00,73
2022-04-04 15:02:00,66
2022-04-04 15:03:00,75
2022-04-04 15:04:00,74
2022-04-04 15:05:00,80
2022-04-04 15:06:00,68
2022-04-04 15:07:00,78
2022-04-04 15:08:00,71
2022-04-04 15:09:00,72
2022-04-04 15:10:00,73
2022-04-04 15:11:00,70
2022-04-04 15:12:00,71
2022-04-04 15:13:00,75
2022-04-04 15:14:00,73
2022-04-04 15:15:00,77
2022-04-04 15:26:00,75
2022-04-04 15:28:00,77
2022-04-04 15:29:00,73
2022-04-04 15:30:00,78
2022-04-04 15:31:00,78
2022-04-04 15:32:00,71
2022-04-04 15:33:00,74
2022-04-04 15:34:00,79
2022-04-04 15:35:00,75
2022-04-04 15:36:00,76
2022-04-04 15:37:00,72
2022-04-04 15:38:00,75
2022-04-04 15:39:00,72
2022-04-04 15:40:00,74
2022-04-04 15:41:00,77
2022-04-04 15:42:00,77
2022-04-04 15:43:00,78
2022-04-04 15:44:00,75
2022-04-04 15:45:00,78
2022-04-04 15:46:00,72
2022-04-04 15:47:00,69
2022-04-04 15:48:00,80
2022-04-04 15:49:00,73
2022-04-04 15:50:00,72
2022-04-04 15:51:00,79
2022-04-04 15:52:00,76
2022-04-04 15:53:00,77
2022-04-04 15:54:00,75
2022-04-04 15:55:00,74
2022-04-04 16:27:00,80
2022-04-04 16:28:00,78
2022-04-04 16:29:00,78
2022-04-04 16:30:00,78
2022-04-04 16:31:00,81
2022-04-04 16:32:00,78
2022-04-04 16:33:00,79
2022-04-04 16:34:00,82
2022-04-04 16:35:00,79
2022-04-04 16:36:00,79
2022-04-04 17:06:00,75
2022-04-04 17:07:00,81
2022-04-04 17:08:00,77
2022-04-04 17:09:00,80
2022-04-04 17:10:00,80
2022-04-04 17:11:00,78
2022-04-04 17:12:00,73
2022-04-04 17:13:00,78
2022-04-04 17:14:00,82
2022-04-04 17:15:00,83
2022-04-04 17:27:00,75
2022-04-04 17:28:00,79
2022-04-04 17:29:00,77
2022-04-04 17:30:00,75
2022-04-04 17:31:00,75
2022-04-04 17:32:00,80
2022-04-04 17:33:00,77
2022-04-04 17:34:00,74
2022-04-04 17:35:00,79
2022-04-04 17:36:00,76
2022-04-04 17:47:00,72
2022-04-04 17:48:00,75
2022-04-04 17:49:00,73
2022-04-04 17:50:00,78
2022-04-04 17:51:00,76
2022-04-04 17:52:00,76
2022-04-04 17:53:00,78
2022-04-04 17:54:00,77
2022-04-04 17:55:00,77
2022-04-04 20:27:00,71
2022-04-04 20:28:00,77
2022-04-04 20:29:00,74
2022-04-04 20:30:00,72
2022-04-04 20:31:00,75
2022-04-04 20:32:00,70
2022-04-04 20:33:00,73
2022-04-04 20:34:00,67
2022-04-04 20:35:00,75
2022-04-04 20:36:00,78
2022-04-04 20:47:00,64
2022-04-04 20:48:00,69
2022-04-04 20:49:00,72
2022-04-04 20:50:00,69
2022-04-04 20:51:00,76
2022-04-04 20:52:00,68
2022-04-04 20:53:00,69
2022-04-04 20:54:00,73
2022-04-04 20:55:00,73
2022-04-04 20:56:00,77
2022-04-04 20:57:00,73
2022-04-04 20:58:00,74
2022-04-04 20:59:00,72
2022-04-04 21:00:00,71
2022-04-04 21:01:00,70
