sep=,
"Time","dt_sound_level_dB"
2022-04-04 01:06:00,49
2022-04-04 01:07:00,52
2022-04-04 01:08:00,51
2022-04-04 01:09:00,53
2022-04-04 01:10:00,48
2022-04-04 01:11:00,52
2022-04-04 01:12:00,46
2022-04-04 01:13:00,48
2022-04-04 01:14:00,49
2022-04-04 01:15:00,52
2022-04-04 01:16:00,50
2022-04-04 01:17:00,46
2022-04-04 01:18:00,49
2022-04-04 01:20:00,50
2022-04-04 01:21:00,52
2022-04-04 01:22:00,47
2022-04-04 01:23:00,53
2022-04-04 01:24:00,52
2022-04-04 01:25:00,53
2022-04-04 01:26:00,51
2022-04-04 01:46:00,59
2022-04-04 01:47:00,45
2022-04-04 01:48:00,45
2022-04-04 01:49:00,46
2022-04-04 01:50:00,54
2022-04-04 01:51:00,51
2022-04-04 01:52:00,49
2022-04-04 01:53:00,47
2022-04-04 01:54:00,51
2022-04-04 01:55:00,48
2022-04-04 01:56:00,50
2022-04-04 01:57:00,47
2022-04-04 01:58:00,46
2022-04-04 01:59:00,45
2022-04-04 02:00:00,58
2022-04-04 02:01:00,45
2022-04-04 02:02:00,48
2022-04-04 02:03:00,47
2022-04-04 02:04:00,49
2022-04-04 02:05:00,48
2022-04-04 02:16:00,49
2022-04-04 02:17:00,50
2022-04-04 02:19:00,47
2022-04-04 02:20:00,55
2022-04-04 02:21:00,57
2022-04-04 02:22:00,46
2022-04-04 02:23:00,49
2022-04-04 02:24:00,48
2022-04-04 02:25:00,50
2022-04-04 02:26:00,50
2022-04-04 02:27:00,46
2022-04-04 02:28:00,47
2022-04-04 02:29:00,54
2022-04-04 02:30:00,49
2022-04-04 02:31:00,63
2022-04-04 02:32:00,54
2022-04-04 02:33:00,55
2022-04-04 02:34:00,56
2022-04-04 02:35:00,47
2022-04-04 02:36:00,57
2022-04-04 02:46:00,49
2022-04-04 02:47:00,52
2022-04-04 02:48:00,49
2022-04-04 02:49:00,54
2022-04-04 02:50:00,46
2022-04-04 02:51:00,49
2022-04-04 02:52:00,51
2022-04-04 02:53:00,55
2022-04-04 02:54:00,53
2022-04-04 02:55:00,54
2022-04-04 02:56:00,55
2022-04-04 02:57:00,56
2022-04-04 02:58:00,50
2022-04-04 02:59:00,50
2022-04-04 03:00:00,49
2022-04-04 03:01:00,47
2022-04-04 03:02:00,52
2022-04-04 03:03:00,56
2022-04-04 03:04:00,51
2022-04-04 03:05:00,53
2022-04-04 03:46:00,48
2022-04-04 03:47:00,54
2022-04-04 03:48:00,50
2022-04-04 03:49:00,53
2022-04-04 03:50:00,52
2022-04-04 03:51:00,49
2022-04-04 03:52:00,53
2022-04-04 03:53:00,50
2022-04-04 03:54:00,54
2022-04-04 03:55:00,54
2022-04-04 05:06:00,49
2022-04-04 05:07:00,57
2022-04-04 05:08:00,52
2022-04-04 05:09:00,54
2022-04-04 05:10:00,47
2022-04-04 05:11:00,51
2022-04-04 05:12:00,51
2022-04-04 05:13:00,51
2022-04-04 05:14:00,50
2022-04-04 05:15:00,51
2022-04-04 05:27:00,56
2022-04-04 05:28:00,56
2022-04-04 05:29:00,52
