sep=,
"Time","dt_sound_level_dB"
2022-04-04 00:00:00,46
2022-04-04 00:01:00,52
2022-04-04 00:02:00,47
2022-04-04 00:03:00,48
2022-04-04 00:04:00,49
2022-04-04 00:05:00,46
2022-04-04 00:06:00,47
2022-04-04 00:07:00,47
2022-04-04 00:08:00,45
2022-04-04 00:09:00,51
2022-04-04 00:10:00,48
2022-04-04 00:11:00,49
2022-04-04 00:12:00,50
2022-04-04 00:13:00,46
2022-04-04 00:14:00,46
2022-04-04 00:15:00,48
2022-04-04 00:16:00,52
2022-04-04 00:17:00,51
2022-04-04 00:18:00,47
2022-04-04 00:40:00,46
2022-04-04 00:41:00,47
2022-04-04 00:42:00,49
2022-04-04 00:43:00,49
2022-04-04 00:44:00,50
2022-04-04 00:45:00,46
2022-04-04 00:46:00,46
2022-04-04 00:47:00,47
2022-04-04 00:48:00,47
2022-04-04 00:49:00,48
2022-04-04 00:50:00,49
2022-04-04 00:51:00,50
2022-04-04 00:52:00,47
2022-04-04 00:53:00,48
2022-04-04 00:54:00,45
2022-04-04 00:55:00,46
2022-04-04 00:56:00,47
2022-04-04 00:57:00,47
2022-04-04 00:58:00,47
2022-04-04 01:19:00,45
2022-04-04 01:20:00,46
2022-04-04 01:21:00,45
2022-04-04 01:22:00,48
2022-04-04 01:23:00,47
2022-04-04 01:24:00,49
2022-04-04 01:25:00,50
2022-04-04 01:26:00,49
2022-04-04 01:27:00,49
2022-04-04 01:29:00,46
2022-04-04 01:30:00,45
2022-04-04 01:31:00,48
2022-04-04 01:32:00,45
2022-04-04 01:33:00,46
2022-04-04 01:34:00,45
2022-04-04 01:35:00,46
2022-04-04 01:36:00,46
2022-04-04 01:37:00,48
2022-04-04 01:38:00,46
2022-04-04 01:39:00,51
2022-04-04 01:40:00,48
2022-04-04 01:41:00,47
2022-04-04 01:42:00,45
2022-04-04 01:43:00,48
2022-04-04 01:44:00,47
2022-04-04 01:45:00,49
2022-04-04 01:46:00,47
2022-04-04 01:47:00,46
2022-04-04 01:48:00,51
2022-04-04 01:59:00,49
2022-04-04 02:00:00,47
2022-04-04 02:01:00,46
2022-04-04 02:02:00,46
2022-04-04 02:03:00,45
2022-04-04 02:04:00,47
2022-04-04 02:05:00,47
2022-04-04 02:06:00,48
2022-04-04 02:07:00,47
2022-04-04 02:08:00,51
2022-04-04 02:40:00,48
2022-04-04 02:41:00,47
2022-04-04 02:42:00,46
2022-04-04 02:43:00,48
2022-04-04 02:44:00,47
2022-04-04 02:45:00,50
2022-04-04 02:46:00,50
2022-04-04 02:47:00,45
2022-04-04 02:48:00,47
2022-04-04 03:49:00,46
2022-04-04 03:50:00,45
2022-04-04 03:51:00,47
2022-04-04 03:52:00,47
2022-04-04 03:53:00,47
2022-04-04 03:54:00,45
2022-04-04 03:55:00,48
2022-04-04 03:56:00,47
2022-04-04 03:57:00,50
2022-04-04 03:58:00,47
2022-04-04 04:19:00,45
2022-04-04 04:20:00,46
2022-04-04 04:21:00,46
2022-04-04 04:22:00,46
2022-04-04 04:23:00,47
2022-04-04 04:24:00,47
2022-04-04 04:25:00,46
2022-04-04 04:26:00,45
2022-04-04 04:27:00,45
2022-04-04 04:28:00,45
2022-04-04 04:29:00,45
2022-04-04 04:30:00,45
2022-04-04 04:32:00,45
2022-04-04 04:33:00,45
2022-04-04 04:34:00,45
2022-04-04 04:35:00,47
2022-04-04 04:36:00,45
2022-04-04 04:37:00,49
2022-04-04 04:38:00,47
2022-04-04 04:39:00,45
2022-04-04 05:09:00,47
2022-04-04 05:10:00,46
2022-04-04 05:11:00,47
2022-04-04 05:12:00,51
2022-04-04 05:13:00,47
2022-04-04 05:14:00,50
2022-04-04 05:15:00,51
2022-04-04 05:16:00,58
2022-04-04 05:17:00,49
2022-04-04 05:18:00,49
2022-04-04 05:40:00,51
2022-04-04 05:41:00,56
2022-04-04 05:42:00,46
2022-04-04 05:43:00,50
2022-04-04 05:44:00,53
2022-04-04 05:45:00,51
2022-04-04 05:46:00,55
2022-04-04 05:47:00,48
2022-04-04 05:48:00,50
2022-04-04 10:59:00,59
2022-04-04 11:00:00,55
2022-04-04 11:01:00,53
2022-04-04 11:02:00,57
2022-04-04 11:03:00,60
2022-04-04 11:04:00,53
2022-04-04 11:05:00,56
2022-04-04 11:06:00,57
2022-04-04 11:07:00,57
2022-04-04 11:08:00,57
2022-04-04 11:19:00,54
2022-04-04 11:20:00,55
2022-04-04 11:21:00,57
2022-04-04 11:22:00,53
2022-04-04 11:23:00,59
2022-04-04 11:24:00,60
2022-04-04 11:25:00,53
2022-04-04 11:26:00,58
2022-04-04 11:27:00,56
2022-04-04 11:28:00,56
2022-04-04 11:40:00,62
2022-04-04 11:41:00,59
2022-04-04 11:42:00,54
2022-04-04 11:43:00,64
2022-04-04 11:44:00,61
2022-04-04 11:45:00,49
2022-04-04 11:46:00,54
2022-04-04 11:47:00,59
2022-04-04 11:48:00,54
2022-04-04 11:49:00,57
2022-04-04 12:19:00,51
2022-04-04 12:20:00,60
2022-04-04 12:21:00,60
2022-04-04 12:22:00,53
2022-04-04 12:23:00,53
2022-04-04 12:24:00,65
2022-04-04 12:25:00,51
2022-04-04 12:26:00,56
2022-04-04 12:27:00,62
2022-04-04 12:28:00,55
2022-04-04 12:50:00,63
2022-04-04 12:51:00,54
2022-04-04 12:52:00,56
2022-04-04 12:53:00,58
2022-04-04 12:54:00,51
2022-04-04 12:55:00,55
2022-04-04 12:56:00,57
2022-04-04 12:57:00,56
2022-04-04 12:58:00,58
2022-04-04 13:09:00,60
2022-04-04 13:10:00,53
2022-04-04 13:11:00,58
2022-04-04 13:12:00,58
2022-04-04 13:13:00,49
2022-04-04 13:14:00,54
2022-04-04 13:15:00,60
2022-04-04 13:16:00,54
2022-04-04 13:17:00,56
2022-04-04 13:18:00,58
2022-04-04 13:39:00,61
2022-04-04 13:41:00,59
2022-04-04 13:42:00,56
2022-04-04 13:43:00,57
2022-04-04 13:44:00,58
2022-04-04 13:45:00,49
2022-04-04 13:46:00,58
2022-04-04 13:47:00,57
2022-04-04 13:48:00,54
2022-04-04 13:49:00,52
2022-04-04 14:29:00,58
2022-04-04 14:30:00,62
2022-04-04 14:31:00,62
2022-04-04 14:32:00,60
2022-04-04 14:33:00,61
2022-04-04 14:34:00,64
2022-04-04 14:35:00,57
2022-04-04 14:36:00,62
2022-04-04 14:37:00,65
2022-04-04 14:38:00,52
2022-04-04 14:59:00,64
2022-04-04 15:00:00,57
2022-04-04 15:01:00,57
2022-04-04 15:02:00,62
2022-04-04 15:03:00,56
2022-04-04 15:04:00,59
2022-04-04 15:05:00,64
2022-04-04 15:06:00,57
2022-04-04 15:07:00,68
2022-04-04 15:08:00,64
2022-04-04 15:09:00,57
2022-04-04 15:10:00,51
2022-04-04 15:11:00,61
2022-04-04 15:12:00,59
2022-04-04 15:13:00,51
2022-04-04 15:14:00,60
2022-04-04 15:15:00,62
2022-04-04 15:16:00,53
2022-04-04 15:17:00,58
2022-04-04 15:18:00,64
2022-04-04 15:50:00,64
2022-04-04 15:51:00,62
2022-04-04 15:52:00,60
2022-04-04 15:53:00,62
2022-04-04 15:54:00,53
2022-04-04 15:55:00,59
2022-04-04 15:56:00,61
2022-04-04 15:57:00,56
2022-04-04 15:58:00,56
2022-04-04 15:59:00,65
2022-04-04 16:00:00,55
2022-04-04 16:01:00,60
2022-04-04 16:02:00,65
2022-04-04 16:03:00,57
2022-04-04 16:04:00,55
2022-04-04 16:05:00,60
2022-04-04 16:06:00,54
2022-04-04 16:07:00,52
2022-04-04 16:08:00,64
2022-04-04 16:19:00,50
2022-04-04 16:20:00,60
2022-04-04 16:21:00,63
2022-04-04 16:22:00,52
2022-04-04 16:23:00,54
2022-04-04 16:24:00,63
2022-04-04 16:25:00,58
2022-04-04 16:26:00,70
2022-04-04 16:27:00,64
2022-04-04 16:28:00,54
2022-04-04 16:50:00,63
2022-04-04 16:51:00,52
2022-04-04 16:52:00,58
2022-04-04 16:53:00,65
2022-04-04 16:54:00,53
2022-04-04 16:55:00,59
2022-04-04 16:56:00,64
2022-04-04 16:57:00,55
2022-04-04 16:58:00,57
2022-04-04 16:59:00,63
2022-04-04 17:00:00,58
2022-04-04 17:01:00,58
2022-04-04 17:02:00,64
2022-04-04 17:03:00,59
2022-04-04 17:04:00,58
2022-04-04 17:05:00,63
2022-04-04 17:06:00,59
