sep=,
"Time","dt_sound_level_dB"
2022-04-04 03:07:00,51
2022-04-04 03:08:00,54
2022-04-04 03:09:00,54
2022-04-04 03:10:00,50
2022-04-04 03:11:00,51
2022-04-04 03:12:00,53
2022-04-04 03:13:00,51
2022-04-04 03:14:00,61
2022-04-04 03:15:00,53
2022-04-04 03:16:00,48
2022-04-04 03:27:00,48
2022-04-04 03:28:00,52
2022-04-04 03:29:00,53
2022-04-04 03:30:00,51
2022-04-04 03:31:00,54
2022-04-04 03:33:00,54
2022-04-04 03:34:00,55
2022-04-04 03:35:00,54
2022-04-04 03:36:00,59
2022-04-04 03:37:00,53
2022-04-04 03:38:00,54
2022-04-04 03:39:00,51
2022-04-04 03:40:00,53
2022-04-04 03:41:00,58
2022-04-04 03:42:00,52
2022-04-04 03:43:00,47
2022-04-04 03:44:00,59
2022-04-04 03:45:00,50
2022-04-04 03:46:00,56
2022-04-04 04:47:00,55
2022-04-04 04:48:00,57
2022-04-04 04:49:00,50
2022-04-04 04:50:00,48
2022-04-04 04:51:00,56
2022-04-04 04:52:00,50
2022-04-04 04:53:00,52
2022-04-04 04:54:00,52
2022-04-04 04:55:00,53
2022-04-04 04:56:00,52
2022-04-04 06:57:00,58
2022-04-04 06:58:00,56
2022-04-04 06:59:00,56
2022-04-04 07:00:00,51
2022-04-04 07:01:00,54
2022-04-04 07:02:00,56
2022-04-04 07:03:00,57
2022-04-04 07:04:00,56
2022-04-04 07:05:00,53
2022-04-04 07:06:00,55
2022-04-04 07:37:00,59
2022-04-04 07:38:00,58
2022-04-04 07:40:00,58
2022-04-04 07:41:00,61
2022-04-04 07:42:00,58
2022-04-04 07:43:00,60
2022-04-04 07:44:00,55
2022-04-04 07:45:00,56
2022-04-04 07:46:00,58
2022-04-04 07:47:00,55
2022-04-04 08:17:00,61
2022-04-04 08:18:00,59
2022-04-04 08:19:00,56
2022-04-04 08:20:00,58
2022-04-04 08:21:00,62
2022-04-04 08:22:00,56
2022-04-04 08:23:00,61
2022-04-04 08:24:00,57
2022-04-04 08:25:00,59
2022-04-04 08:27:00,56
2022-04-04 08:37:00,60
2022-04-04 08:38:00,62
2022-04-04 08:39:00,56
2022-04-04 08:41:00,57
2022-04-04 08:42:00,57
2022-04-04 08:43:00,58
2022-04-04 08:44:00,57
2022-04-04 08:45:00,58
2022-04-04 08:46:00,62
2022-04-04 08:47:00,62
2022-04-04 08:57:00,62
2022-04-04 08:58:00,59
2022-04-04 08:59:00,60
2022-04-04 09:00:00,60
2022-04-04 09:01:00,57
2022-04-04 09:02:00,57
2022-04-04 09:03:00,61
2022-04-04 09:04:00,56
2022-04-04 09:05:00,60
2022-04-04 09:06:00,61
2022-04-04 09:07:00,60
2022-04-04 09:08:00,60
2022-04-04 09:09:00,60
2022-04-04 09:10:00,57
2022-04-04 09:11:00,59
2022-04-04 09:12:00,60
2022-04-04 09:13:00,61
2022-04-04 09:14:00,58
2022-04-04 09:15:00,58
2022-04-04 09:16:00,58
2022-04-04 11:17:00,63
2022-04-04 11:18:00,64
2022-04-04 11:19:00,61
2022-04-04 11:20:00,58
2022-04-04 11:21:00,66
2022-04-04 11:22:00,64
2022-04-04 11:23:00,58
2022-04-04 11:25:00,67
2022-04-04 11:26:00,65
2022-04-04 11:27:00,62
2022-04-04 11:28:00,59
2022-04-04 11:29:00,61
2022-04-04 11:30:00,60
2022-04-04 11:31:00,60
2022-04-04 11:32:00,65
2022-04-04 11:33:00,62
2022-04-04 11:34:00,59
2022-04-04 11:35:00,56
2022-04-04 11:36:00,59
2022-04-04 11:37:00,67
2022-04-04 21:07:00,62
2022-04-04 21:08:00,55
2022-04-04 21:09:00,61
2022-04-04 21:10:00,59
2022-04-04 21:11:00,57
2022-04-04 21:12:00,63
2022-04-04 21:13:00,62
2022-04-04 21:14:00,64
2022-04-04 21:15:00,61
2022-04-04 21:16:00,60
2022-04-04 21:27:00,61
2022-04-04 21:28:00,61
2022-04-04 21:29:00,60
2022-04-04 21:30:00,59
2022-04-04 21:31:00,59
2022-04-04 21:32:00,62
