sep=,
"Time","dt_sound_level_dB"
2022-04-04 00:00:00,46
2022-04-04 00:01:00,52
2022-04-04 00:02:00,47
2022-04-04 00:03:00,49
2022-04-04 00:04:00,54
2022-04-04 00:05:00,49
2022-04-04 00:06:00,49
2022-04-04 00:07:00,50
2022-04-04 00:08:00,49
2022-04-04 00:09:00,51
2022-04-04 00:10:00,51
2022-04-04 00:11:00,51
2022-04-04 00:12:00,49
2022-04-04 00:13:00,49
2022-04-04 00:14:00,50
2022-04-04 00:15:00,49
2022-04-04 00:16:00,50
2022-04-04 00:17:00,55
2022-04-04 00:18:00,51
2022-04-04 00:19:00,48
2022-04-04 00:20:00,49
2022-04-04 00:50:00,51
2022-04-04 00:51:00,50
2022-04-04 00:52:00,51
2022-04-04 00:54:00,52
2022-04-04 00:55:00,48
2022-04-04 00:56:00,45
2022-04-04 00:57:00,51
2022-04-04 00:58:00,46
2022-04-04 00:59:00,47
2022-04-04 01:00:00,48
2022-04-04 01:01:00,48
2022-04-04 01:02:00,51
2022-04-04 01:03:00,48
2022-04-04 01:04:00,49
2022-04-04 01:05:00,51
2022-04-04 01:06:00,49
2022-04-04 01:07:00,46
2022-04-04 01:08:00,51
2022-04-04 01:09:00,46
2022-04-04 01:10:00,48
2022-04-04 01:11:00,46
2022-04-04 01:12:00,46
2022-04-04 01:13:00,46
2022-04-04 01:14:00,47
2022-04-04 01:15:00,47
2022-04-04 01:16:00,47
2022-04-04 01:17:00,47
2022-04-04 01:18:00,48
2022-04-04 01:19:00,45
2022-04-04 01:20:00,46
2022-04-04 01:21:00,46
2022-04-04 01:22:00,48
2022-04-04 01:23:00,51
2022-04-04 01:24:00,47
2022-04-04 01:25:00,46
2022-04-04 01:26:00,50
2022-04-04 01:27:00,48
2022-04-04 01:28:00,54
2022-04-04 01:29:00,46
2022-04-04 01:30:00,45
2022-04-04 02:41:00,48
2022-04-04 02:42:00,46
2022-04-04 02:43:00,46
2022-04-04 02:44:00,46
2022-04-04 02:45:00,49
2022-04-04 02:46:00,47
2022-04-04 02:47:00,48
2022-04-04 02:48:00,45
2022-04-04 02:49:00,47
2022-04-04 02:50:00,48
2022-04-04 02:51:00,51
2022-04-04 02:52:00,48
2022-04-04 02:54:00,48
2022-04-04 02:55:00,49
2022-04-04 02:56:00,47
2022-04-04 02:57:00,47
2022-04-04 02:58:00,47
2022-04-04 02:59:00,46
2022-04-04 03:00:00,46
2022-04-04 03:21:00,47
2022-04-04 03:22:00,46
2022-04-04 03:23:00,48
2022-04-04 03:24:00,47
2022-04-04 03:25:00,47
2022-04-04 03:26:00,49
2022-04-04 03:27:00,47
2022-04-04 03:28:00,50
2022-04-04 03:29:00,46
2022-04-04 03:30:00,45
2022-04-04 03:41:00,48
2022-04-04 03:42:00,45
2022-04-04 03:43:00,47
2022-04-04 03:44:00,48
2022-04-04 03:45:00,46
2022-04-04 03:46:00,46
2022-04-04 03:47:00,46
2022-04-04 03:48:00,46
2022-04-04 03:49:00,46
2022-04-04 06:21:00,55
2022-04-04 06:22:00,52
2022-04-04 06:23:00,60
2022-04-04 06:24:00,53
2022-04-04 06:25:00,53
2022-04-04 06:26:00,54
2022-04-04 06:27:00,52
2022-04-04 06:28:00,51
2022-04-04 06:29:00,55
2022-04-04 06:30:00,59
2022-04-04 06:41:00,55
2022-04-04 06:42:00,57
2022-04-04 06:43:00,56
2022-04-04 06:44:00,54
2022-04-04 06:45:00,49
2022-04-04 06:46:00,48
2022-04-04 06:47:00,54
2022-04-04 06:48:00,52
2022-04-04 06:49:00,56
2022-04-04 06:50:00,56
2022-04-04 07:01:00,52
2022-04-04 07:02:00,53
2022-04-04 07:03:00,51
2022-04-04 07:04:00,51
2022-04-04 07:05:00,58
2022-04-04 07:06:00,56
2022-04-04 07:07:00,53
2022-04-04 07:08:00,57
2022-04-04 07:09:00,55
2022-04-04 07:10:00,51
2022-04-04 07:41:00,56
2022-04-04 07:42:00,60
2022-04-04 07:43:00,62
2022-04-04 07:44:00,55
2022-04-04 07:45:00,63
2022-04-04 07:46:00,61
2022-04-04 07:47:00,57
2022-04-04 07:48:00,63
2022-04-04 07:49:00,60
2022-04-04 07:51:00,58
2022-04-04 08:31:00,60
2022-04-04 08:32:00,61
2022-04-04 08:33:00,62
2022-04-04 08:34:00,60
2022-04-04 08:35:00,58
2022-04-04 08:36:00,64
2022-04-04 08:37:00,63
2022-04-04 08:38:00,60
2022-04-04 08:39:00,62
2022-04-04 08:40:00,61
2022-04-04 08:52:00,63
2022-04-04 08:53:00,63
2022-04-04 08:54:00,58
2022-04-04 08:55:00,62
2022-04-04 08:56:00,62
2022-04-04 08:57:00,59
2022-04-04 08:58:00,62
2022-04-04 08:59:00,62
2022-04-04 09:00:00,60
2022-04-04 09:01:00,61
2022-04-04 09:02:00,63
2022-04-04 09:03:00,60
2022-04-04 09:04:00,60
2022-04-04 09:05:00,62
2022-04-04 09:06:00,59
2022-04-04 09:07:00,60
2022-04-04 09:08:00,63
2022-04-04 09:09:00,63
2022-04-04 09:10:00,60
2022-04-04 09:31:00,56
2022-04-04 09:32:00,60
2022-04-04 09:33:00,61
2022-04-04 09:34:00,60
2022-04-04 09:35:00,57
2022-04-04 09:36:00,65
2022-04-04 09:37:00,61
2022-04-04 09:38:00,57
2022-04-04 09:39:00,62
2022-04-04 09:40:00,59
2022-04-04 09:41:00,58
2022-04-04 09:42:00,63
2022-04-04 09:43:00,58
2022-04-04 09:44:00,55
2022-04-04 09:45:00,62
2022-04-04 09:46:00,63
2022-04-04 09:47:00,58
2022-04-04 09:48:00,61
2022-04-04 09:49:00,60
2022-04-04 09:51:00,56
2022-04-04 09:52:00,60
2022-04-04 09:53:00,60
2022-04-04 09:54:00,60
2022-04-04 09:55:00,61
2022-04-04 09:56:00,64
2022-04-04 09:57:00,60
2022-04-04 09:58:00,58
2022-04-04 09:59:00,56
2022-04-04 10:00:00,59
2022-04-04 10:01:00,56
2022-04-04 10:02:00,59
2022-04-04 10:03:00,60
2022-04-04 10:04:00,64
2022-04-04 10:05:00,57
2022-04-04 10:06:00,57
2022-04-04 10:07:00,58
2022-04-04 10:08:00,59
2022-04-04 10:09:00,59
2022-04-04 10:10:00,63
2022-04-04 10:21:00,59
2022-04-04 10:22:00,61
2022-04-04 10:23:00,59
2022-04-04 10:24:00,61
2022-04-04 10:25:00,63
2022-04-04 10:26:00,56
2022-04-04 10:27:00,61
2022-04-04 10:28:00,61
2022-04-04 10:29:00,59
2022-04-04 10:30:00,59
2022-04-04 10:41:00,62
2022-04-04 10:42:00,62
2022-04-04 10:43:00,61
2022-04-04 10:44:00,62
2022-04-04 10:45:00,58
2022-04-04 10:46:00,58
2022-04-04 10:47:00,60
2022-04-04 10:48:00,62
2022-04-04 10:50:00,61
2022-04-04 10:51:00,61
2022-04-04 13:01:00,58
2022-04-04 13:02:00,58
2022-04-04 13:03:00,61
2022-04-04 13:04:00,61
2022-04-04 13:05:00,61
2022-04-04 13:06:00,60
2022-04-04 13:07:00,58
2022-04-04 13:08:00,55
2022-04-04 13:09:00,62
2022-04-04 13:10:00,59
2022-04-04 13:31:00,61
2022-04-04 13:32:00,60
2022-04-04 13:33:00,57
2022-04-04 13:34:00,58
2022-04-04 13:35:00,62
2022-04-04 13:36:00,60
2022-04-04 13:37:00,61
2022-04-04 13:38:00,59
2022-04-04 13:39:00,59
2022-04-04 13:40:00,57
2022-04-04 16:11:00,65
2022-04-04 16:12:00,69
2022-04-04 16:13:00,59
2022-04-04 16:14:00,63
2022-04-04 16:15:00,61
2022-04-04 16:16:00,60
2022-04-04 16:17:00,65
2022-04-04 16:18:00,62
2022-04-04 16:19:00,57
2022-04-04 16:20:00,65
2022-04-04 16:21:00,65
2022-04-04 16:22:00,62
2022-04-04 16:23:00,64
2022-04-04 16:24:00,65
2022-04-04 16:25:00,60
2022-04-04 16:26:00,64
2022-04-04 16:27:00,63
2022-04-04 16:28:00,61
2022-04-04 16:29:00,59
2022-04-04 16:30:00,66
2022-04-04 16:31:00,62
2022-04-04 16:32:00,63
2022-04-04 16:33:00,65
2022-04-04 16:34:00,64
2022-04-04 16:35:00,61
2022-04-04 16:36:00,66
2022-04-04 16:37:00,64
2022-04-04 16:38:00,59
2022-04-04 16:39:00,66
2022-04-04 16:40:00,63
2022-04-04 16:41:00,58
2022-04-04 16:42:00,65
2022-04-04 16:43:00,63
