sep=,
"Time","dt_sound_level_dB"
2022-04-04 00:04:00,53
2022-04-04 00:05:00,49
2022-04-04 00:06:00,48
2022-04-04 00:07:00,47
2022-04-04 00:08:00,46
2022-04-04 00:09:00,49
2022-04-04 00:10:00,49
2022-04-04 00:11:00,54
2022-04-04 00:12:00,51
2022-04-04 00:33:00,47
2022-04-04 00:34:00,49
2022-04-04 00:35:00,54
2022-04-04 00:36:00,51
2022-04-04 00:37:00,49
2022-04-04 00:38:00,52
2022-04-04 00:39:00,51
2022-04-04 00:40:00,47
2022-04-04 00:41:00,50
2022-04-04 00:42:00,51
2022-04-04 01:23:00,49
2022-04-04 01:24:00,59
2022-04-04 01:25:00,50
2022-04-04 01:26:00,49
2022-04-04 01:27:00,51
2022-04-04 01:28:00,49
2022-04-04 01:29:00,53
2022-04-04 01:30:00,47
2022-04-04 01:31:00,49
2022-04-04 01:32:00,48
2022-04-04 01:33:00,48
2022-04-04 01:34:00,53
2022-04-04 01:35:00,49
2022-04-04 01:36:00,53
2022-04-04 01:37:00,53
2022-04-04 01:38:00,51
2022-04-04 01:39:00,48
2022-04-04 01:40:00,46
2022-04-04 01:41:00,48
2022-04-04 01:42:00,55
2022-04-04 01:43:00,47
2022-04-04 01:44:00,46
2022-04-04 01:45:00,48
2022-04-04 01:46:00,48
2022-04-04 01:47:00,48
2022-04-04 01:48:00,46
2022-04-04 01:49:00,51
2022-04-04 01:50:00,49
2022-04-04 01:51:00,46
2022-04-04 01:52:00,47
2022-04-04 02:04:00,51
2022-04-04 02:05:00,47
2022-04-04 02:06:00,52
2022-04-04 02:07:00,49
2022-04-04 02:08:00,48
2022-04-04 02:09:00,46
2022-04-04 02:10:00,49
2022-04-04 02:11:00,55
2022-04-04 02:12:00,55
2022-04-04 02:13:00,50
2022-04-04 02:14:00,50
2022-04-04 02:15:00,52
2022-04-04 02:16:00,50
2022-04-04 02:17:00,54
2022-04-04 02:18:00,46
2022-04-04 02:19:00,51
2022-04-04 02:20:00,47
2022-04-04 02:21:00,50
2022-04-04 02:22:00,48
2022-04-04 04:13:00,48
2022-04-04 04:14:00,48
2022-04-04 04:15:00,48
2022-04-04 04:16:00,51
2022-04-04 04:17:00,46
2022-04-04 04:18:00,48
2022-04-04 04:19:00,47
2022-04-04 04:20:00,53
2022-04-04 04:21:00,50
2022-04-04 04:22:00,45
2022-04-04 04:43:00,48
2022-04-04 04:44:00,49
2022-04-04 04:45:00,50
2022-04-04 04:46:00,51
2022-04-04 04:47:00,47
2022-04-04 04:48:00,48
2022-04-04 04:49:00,50
2022-04-04 04:50:00,51
2022-04-04 04:51:00,49
2022-04-04 04:52:00,51
2022-04-04 08:13:00,61
2022-04-04 08:14:00,60
2022-04-04 08:15:00,59
2022-04-04 08:16:00,58
2022-04-04 08:17:00,61
2022-04-04 08:18:00,61
2022-04-04 08:19:00,60
2022-04-04 08:20:00,59
2022-04-04 08:21:00,62
2022-04-04 08:22:00,60
2022-04-04 08:33:00,59
2022-04-04 08:34:00,64
2022-04-04 08:35:00,59
2022-04-04 08:36:00,61
2022-04-04 08:37:00,61
2022-04-04 08:38:00,63
2022-04-04 08:39:00,62
2022-04-04 08:40:00,59
2022-04-04 08:41:00,59
2022-04-04 08:42:00,62
2022-04-04 09:04:00,61
2022-04-04 09:05:00,60
2022-04-04 09:06:00,62
2022-04-04 09:07:00,61
2022-04-04 09:08:00,59
2022-04-04 09:09:00,61
2022-04-04 09:10:00,60
2022-04-04 09:11:00,62
2022-04-04 09:12:00,61
2022-04-04 09:33:00,61
2022-04-04 09:34:00,60
2022-04-04 09:35:00,62
2022-04-04 09:36:00,61
2022-04-04 09:37:00,59
2022-04-04 09:38:00,62
2022-04-04 09:39:00,62
2022-04-04 09:40:00,61
2022-04-04 09:41:00,61
2022-04-04 09:42:00,62
2022-04-04 10:13:00,60
2022-04-04 10:14:00,58
2022-04-04 10:15:00,61
2022-04-04 10:16:00,55
2022-04-04 10:17:00,62
2022-04-04 10:18:00,63
2022-04-04 10:19:00,59
2022-04-04 10:20:00,62
2022-04-04 10:21:00,60
2022-04-04 10:22:00,58
2022-04-04 10:23:00,61
2022-04-04 10:24:00,60
2022-04-04 10:25:00,61
2022-04-04 10:26:00,62
2022-04-04 10:27:00,59
2022-04-04 10:28:00,58
2022-04-04 10:29:00,59
2022-04-04 10:30:00,59
2022-04-04 10:31:00,64
2022-04-04 10:32:00,60
2022-04-04 10:43:00,59
2022-04-04 10:44:00,59
2022-04-04 10:45:00,61
2022-04-04 10:46:00,63
2022-04-04 10:47:00,60
2022-04-04 10:48:00,56
2022-04-04 10:49:00,61
2022-04-04 10:50:00,63
2022-04-04 10:51:00,63
2022-04-04 10:52:00,64
2022-04-04 10:54:00,62
2022-04-04 10:55:00,57
2022-04-04 10:56:00,55
2022-04-04 10:57:00,58
2022-04-04 10:58:00,61
2022-04-04 10:59:00,62
2022-04-04 11:00:00,61
2022-04-04 11:01:00,62
2022-04-04 11:02:00,59
2022-04-04 11:03:00,54
2022-04-04 11:04:00,59
2022-04-04 11:05:00,60
2022-04-04 11:06:00,59
2022-04-04 11:07:00,58
2022-04-04 11:08:00,60
2022-04-04 11:09:00,63
2022-04-04 11:10:00,59
2022-04-04 11:11:00,62
2022-04-04 11:12:00,64
2022-04-04 11:13:00,62
2022-04-04 11:14:00,61
2022-04-04 11:15:00,66
2022-04-04 11:16:00,56
2022-04-04 11:17:00,63
2022-04-04 11:18:00,64
2022-04-04 11:19:00,60
2022-04-04 11:20:00,58
2022-04-04 11:21:00,59
2022-04-04 11:22:00,61
2022-04-04 11:23:00,66
2022-04-04 11:24:00,60
2022-04-04 11:25:00,64
2022-04-04 11:26:00,63
2022-04-04 11:27:00,60
2022-04-04 11:28:00,60
2022-04-04 11:29:00,57
2022-04-04 11:30:00,62
2022-04-04 11:31:00,60
2022-04-04 11:32:00,62
2022-04-04 11:43:00,64
2022-04-04 11:44:00,60
2022-04-04 11:45:00,61
2022-04-04 11:46:00,63
2022-04-04 11:47:00,62
2022-04-04 11:48:00,57
2022-04-04 11:49:00,64
2022-04-04 11:50:00,61
2022-04-04 11:51:00,67
2022-04-04 11:53:00,64
2022-04-04 12:14:00,61
2022-04-04 12:15:00,59
2022-04-04 12:16:00,55
2022-04-04 12:17:00,63
2022-04-04 12:18:00,59
2022-04-04 12:19:00,61
2022-04-04 12:20:00,61
2022-04-04 12:21:00,59
2022-04-04 12:22:00,59
2022-04-04 12:23:00,62
2022-04-04 12:24:00,63
2022-04-04 12:25:00,61
2022-04-04 12:26:00,55
2022-04-04 12:27:00,62
2022-04-04 12:28:00,57
2022-04-04 12:29:00,62
2022-04-04 12:30:00,65
2022-04-04 12:31:00,66
2022-04-04 12:32:00,63
2022-04-04 13:04:00,60
2022-04-04 13:05:00,62
2022-04-04 13:06:00,60
2022-04-04 13:07:00,61
2022-04-04 13:08:00,62
2022-04-04 13:09:00,60
2022-04-04 13:10:00,61
2022-04-04 13:11:00,64
2022-04-04 13:12:00,63
2022-04-04 13:13:00,62
2022-04-04 13:14:00,65
2022-04-04 13:15:00,60
2022-04-04 13:16:00,61
2022-04-04 13:17:00,59
2022-04-04 13:18:00,64
2022-04-04 13:19:00,60
2022-04-04 13:20:00,66
2022-04-04 13:21:00,66
2022-04-04 13:22:00,60
2022-04-04 14:14:00,58
2022-04-04 14:15:00,58
2022-04-04 14:16:00,61
2022-04-04 14:17:00,63
2022-04-04 14:18:00,70
2022-04-04 14:19:00,65
2022-04-04 14:20:00,61
2022-04-04 14:21:00,58
2022-04-04 14:22:00,63
2022-04-04 15:23:00,63
2022-04-04 15:24:00,63
2022-04-04 15:25:00,64
2022-04-04 15:26:00,67
2022-04-04 15:27:00,61
2022-04-04 15:28:00,64
2022-04-04 15:29:00,61
2022-04-04 15:30:00,64
2022-04-04 15:31:00,63
2022-04-04 15:32:00,67
2022-04-04 15:54:00,59
2022-04-04 15:55:00,66
2022-04-04 15:56:00,67
2022-04-04 15:57:00,64
2022-04-04 15:58:00,65
2022-04-04 15:59:00,61
2022-04-04 16:00:00,61
2022-04-04 16:01:00,62
2022-04-04 16:02:00,60
2022-04-04 16:03:00,61
2022-04-04 16:04:00,61
2022-04-04 16:05:00,64
2022-04-04 16:06:00,58
2022-04-04 16:07:00,62
2022-04-04 16:08:00,63
2022-04-04 16:09:00,62
2022-04-04 16:10:00,61
2022-04-04 16:11:00,63
2022-04-04 16:12:00,62
2022-04-04 16:13:00,61
2022-04-04 16:14:00,61
2022-04-04 16:15:00,63
2022-04-04 16:16:00,62
2022-04-04 16:17:00,61
2022-04-04 16:18:00,55
2022-04-04 16:19:00,62
2022-04-04 16:20:00,62
2022-04-04 16:21:00,62
2022-04-04 16:22:00,60
2022-04-04 17:33:00,58
2022-04-04 17:34:00,66
2022-04-04 17:35:00,67
2022-04-04 17:36:00,62
2022-04-04 17:37:00,60
2022-04-04 17:38:00,62
2022-04-04 17:39:00,59
2022-04-04 17:40:00,61
2022-04-04 17:41:00,59
2022-04-04 17:42:00,62
2022-04-04 18:54:00,60
2022-04-04 18:55:00,59
2022-04-04 18:56:00,62
2022-04-04 18:57:00,64
2022-04-04 18:58:00,61
2022-04-04 18:59:00,63
2022-04-04 19:00:00,62
2022-04-04 19:01:00,63
2022-04-04 19:02:00,61
2022-04-04 19:03:00,58
2022-04-04 19:14:00,64
2022-04-04 19:15:00,61
2022-04-04 19:16:00,67
2022-04-04 19:17:00,59
2022-04-04 19:18:00,64
2022-04-04 19:19:00,62
2022-04-04 19:20:00,63
2022-04-04 19:21:00,62
2022-04-04 19:22:00,56
2022-04-04 19:43:00,62
2022-04-04 19:44:00,60
2022-04-04 19:45:00,65
2022-04-04 19:47:00,59
2022-04-04 19:48:00,57
2022-04-04 19:49:00,62
2022-04-04 19:50:00,58
2022-04-04 19:51:00,55
2022-04-04 19:52:00,63
2022-04-04 19:53:00,58
2022-04-04 19:54:00,60
2022-04-04 19:55:00,62
2022-04-04 19:56:00,56
2022-04-04 19:57:00,55
2022-04-04 19:58:00,65
2022-04-04 19:59:00,60
2022-04-04 20:00:00,55
2022-04-04 20:01:00,57
2022-04-04 20:02:00,60
2022-04-04 20:03:00,60
2022-04-04 20:54:00,61
2022-04-04 20:55:00,58
2022-04-04 20:56:00,60
2022-04-04 20:57:00,59
2022-04-04 20:58:00,61
2022-04-04 20:59:00,57
2022-04-04 21:00:00,59
2022-04-04 21:01:00,60
2022-04-04 21:02:00,56
2022-04-04 21:03:00,61
2022-04-04 21:24:00,60
2022-04-04 21:25:00,55
2022-04-04 21:26:00,64
2022-04-04 21:27:00,55
2022-04-04 21:28:00,56
2022-04-04 21:29:00,56
2022-04-04 21:30:00,57
2022-04-04 21:31:00,61
2022-04-04 21:32:00,62
2022-04-04 21:54:00,61
2022-04-04 21:55:00,59
2022-04-04 21:56:00,53
2022-04-04 21:57:00,54
2022-04-04 21:58:00,56
2022-04-04 21:59:00,58
2022-04-04 22:00:00,60
2022-04-04 22:01:00,57
2022-04-04 22:02:00,52
2022-04-04 22:03:00,55
2022-04-04 23:00:00,60
2022-04-04 23:07:00,60
2022-04-04 23:08:00,54
2022-04-04 23:09:00,58
2022-04-04 23:10:00,53
2022-04-04 23:11:00,56
2022-04-04 23:12:00,50
2022-04-04 23:13:00,55
2022-04-04 23:14:00,62
2022-04-04 23:15:00,57
2022-04-04 23:16:00,59
2022-04-05 02:07:00,49
2022-04-05 02:08:00,46
2022-04-05 02:09:00,50
2022-04-05 02:10:00,46
2022-04-05 02:11:00,51
2022-04-05 02:12:00,47
2022-04-05 02:13:00,51
2022-04-05 02:14:00,48
2022-04-05 02:15:00,47
2022-04-05 02:16:00,52
2022-04-05 02:37:00,48
2022-04-05 02:38:00,49
2022-04-05 02:39:00,48
2022-04-05 02:40:00,51
2022-04-05 02:41:00,46
2022-04-05 02:42:00,46
2022-04-05 02:44:00,49
2022-04-05 02:45:00,45
2022-04-05 02:46:00,47
2022-04-05 02:57:00,46
2022-04-05 02:58:00,46
