sep=,
"Time","dt_sound_level_dB"
2022-04-04 00:25:00,53
2022-04-04 00:26:00,50
2022-04-04 00:27:00,56
2022-04-04 00:28:00,53
2022-04-04 00:29:00,47
2022-04-04 00:30:00,54
2022-04-04 00:31:00,52
2022-04-04 00:32:00,51
2022-04-04 00:33:00,49
2022-04-04 00:34:00,47
2022-04-04 00:55:00,51
2022-04-04 00:56:00,50
2022-04-04 00:57:00,51
2022-04-04 00:58:00,51
2022-04-04 00:59:00,57
2022-04-04 01:00:00,48
2022-04-04 01:01:00,51
2022-04-04 01:02:00,48
2022-04-04 01:03:00,53
2022-04-04 01:04:00,51
2022-04-04 01:05:00,50
2022-04-04 01:06:00,52
2022-04-04 01:07:00,56
2022-04-04 01:08:00,52
2022-04-04 01:09:00,55
2022-04-04 01:10:00,54
2022-04-04 01:11:00,56
2022-04-04 01:12:00,55
2022-04-04 01:13:00,61
2022-04-04 01:14:00,63
2022-04-04 01:15:00,66
2022-04-04 01:16:00,53
2022-04-04 01:17:00,48
2022-04-04 01:19:00,53
2022-04-04 01:20:00,56
2022-04-04 01:21:00,54
2022-04-04 01:22:00,58
2022-04-04 01:23:00,55
2022-04-04 01:24:00,59
2022-04-04 01:25:00,46
2022-04-04 01:26:00,52
2022-04-04 01:27:00,51
2022-04-04 01:28:00,57
2022-04-04 01:29:00,45
2022-04-04 01:30:00,48
2022-04-04 01:31:00,53
2022-04-04 01:32:00,61
2022-04-04 01:33:00,60
2022-04-04 01:34:00,58
2022-04-04 01:35:00,51
2022-04-04 01:36:00,49
2022-04-04 01:37:00,55
2022-04-04 01:38:00,57
2022-04-04 01:39:00,57
2022-04-04 01:40:00,57
2022-04-04 01:41:00,55
2022-04-04 01:42:00,62
2022-04-04 01:43:00,57
2022-04-04 01:44:00,57
2022-04-04 05:05:00,64
2022-04-04 05:06:00,59
2022-04-04 05:07:00,64
2022-04-04 05:08:00,62
2022-04-04 05:09:00,54
2022-04-04 05:10:00,64
2022-04-04 05:11:00,61
2022-04-04 05:12:00,62
2022-04-04 05:13:00,66
2022-04-04 05:15:00,57
2022-04-04 05:16:00,55
2022-04-04 05:17:00,58
2022-04-04 05:18:00,65
2022-04-04 05:19:00,58
2022-04-04 05:20:00,57
2022-04-04 05:21:00,62
2022-04-04 05:22:00,60
2022-04-04 05:23:00,62
2022-04-04 05:24:00,61
2022-04-04 05:55:00,64
2022-04-04 05:56:00,62
2022-04-04 05:57:00,66
2022-04-04 05:58:00,61
2022-04-04 05:59:00,64
2022-04-04 06:00:00,60
2022-04-04 06:01:00,58
2022-04-04 06:02:00,67
2022-04-04 06:03:00,65
2022-04-04 06:04:00,64
2022-04-04 06:25:00,59
2022-04-04 06:26:00,64
2022-04-04 06:27:00,62
2022-04-04 06:28:00,67
2022-04-04 06:29:00,60
2022-04-04 06:30:00,59
2022-04-04 06:31:00,62
2022-04-04 06:32:00,65
2022-04-04 06:33:00,63
2022-04-04 06:34:00,61
2022-04-04 07:05:00,62
2022-04-04 07:06:00,64
2022-04-04 07:07:00,71
2022-04-04 07:08:00,60
2022-04-04 07:09:00,59
2022-04-04 07:10:00,64
2022-04-04 07:12:00,64
2022-04-04 07:13:00,59
2022-04-04 07:14:00,66
2022-04-04 07:15:00,60
2022-04-04 07:45:00,62
2022-04-04 07:46:00,66
2022-04-04 07:47:00,62
2022-04-04 07:48:00,68
2022-04-04 07:49:00,70
2022-04-04 07:50:00,65
2022-04-04 07:51:00,63
2022-04-04 07:52:00,66
2022-04-04 07:53:00,64
2022-04-04 07:54:00,64
2022-04-04 08:45:00,66
2022-04-04 08:46:00,66
2022-04-04 08:47:00,60
2022-04-04 08:48:00,68
2022-04-04 08:49:00,63
2022-04-04 08:50:00,62
2022-04-04 08:51:00,68
2022-04-04 08:52:00,65
2022-04-04 08:53:00,65
2022-04-04 08:54:00,63
2022-04-04 10:05:00,67
2022-04-04 10:06:00,65
2022-04-04 10:07:00,61
2022-04-04 10:08:00,66
2022-04-04 10:09:00,67
2022-04-04 10:10:00,64
2022-04-04 10:11:00,69
2022-04-04 10:13:00,73
2022-04-04 10:14:00,75
2022-04-04 10:15:00,67
2022-04-04 17:55:00,66
2022-04-04 17:56:00,66
2022-04-04 17:57:00,65
2022-04-04 17:58:00,67
2022-04-04 17:59:00,67
2022-04-04 18:00:00,67
2022-04-04 18:01:00,66
2022-04-04 18:02:00,66
2022-04-04 18:03:00,67
2022-04-04 18:05:00,71
2022-04-04 18:06:00,71
2022-04-04 18:07:00,63
2022-04-04 18:08:00,63
2022-04-04 18:09:00,64
2022-04-04 18:10:00,63
2022-04-04 18:11:00,67
2022-04-04 18:12:00,65
2022-04-04 18:13:00,57
2022-04-04 18:14:00,68
2022-04-04 18:15:00,65
2022-04-04 18:26:00,68
2022-04-04 18:27:00,69
2022-04-04 18:28:00,66
2022-04-04 18:29:00,70
2022-04-04 18:30:00,65
2022-04-04 18:31:00,69
2022-04-04 18:32:00,63
2022-04-04 18:33:00,68
2022-04-04 18:34:00,70
2022-04-04 18:45:00,68
2022-04-04 18:46:00,67
2022-04-04 18:47:00,71
2022-04-04 18:48:00,72
2022-04-04 18:49:00,66
2022-04-04 18:50:00,69
2022-04-04 18:51:00,63
2022-04-04 18:52:00,64
2022-04-04 18:53:00,68
2022-04-04 18:54:00,71
2022-04-04 21:16:00,61
2022-04-04 21:17:00,57
2022-04-04 21:18:00,63
