name,longitude,latitude
20A1,24.753105,59.428916,
20A6,24.731677,59.401892,
20CF,24.750376,59.431462,
20D0,24.760999,59.433338,
20DD,24.75288,59.432506,
20E2,24.753413,59.433188,
21B9,24.743087,59.428657,
21C3,24.74581,59.428095,
21CE,24..75511,59.43082,
22A0,24.81966,59.446008,
22A3,24.860349,59.441371,
22A7,24.783486,59.439988,
22AA,24.798492,59.434756,
22B9,24.775999,59.42836,
22BA,24.781735,59.430896,
22C3,24.765954,59.43208,
22CB,24.721493,59.433935,
22CC,24.830771,59.439431,
22D2,24.742357,59.421049,
22D5,24.833141,59.439985,
22DC,24.835408,59.45231,
22E3,24.652711,59.394967,
22E4,24.746772,59.432815,
22E7,24.77734,59.439283,
22E9,24.866791,59.441899,
22EB,24.818401,59.439039,
22EC,24.744212,59.432746,
22EF,24.732157,59.405351,
22F5,24.842735,59.451513,
22F9,24.803906,59.435185,
22FF,24.682296,59.398977,
23A4,24.723326,59.434176,
23A5,24.797665,59.435344,
23AB,24.727948,59.426092,
23AF,24.675242,59.397835,
23B0,24.84151,59.451631,
23B1,24.745706,59.432006,
201F,24.746573,59.434192,
202E,24.729813,59.435092,
202F,24.73702,59.432034,
203B,24.719935,59.433422,
203C,24.73828,59.43218,
204B,24.752117,59.43266,
205C,24.759221,59.433249,
206D,24.728286,59.401659,
207E,24.744362,59.429832,
208B,24.785256,59.431667,
208D,24.740757,59.432007,
214E,24.751737,59.432049,
221D,24.823645,59.441013,
221E,24.783609,59.424759,
222C,24.859839,59.450831,
223C,24.75929,59.431816,
224B,24.768521,59.431494,
226C,24.792086,59.41936,
229F,24.808206,59.435623,
230E,24.763869,59.434047,
230F,24.721546,59.390492,
231A,24.734237,59.422486,
231D,24.782002,59.439673,
231E,24.819663,59.43929,
231F,24.85042,59.440226,
232B,24.790941,59.434279,
232C,24.714419,59.432413,
232F,24.769311,59.438267,
233B,24.680598,59.398742,
233F,24.706197,59.410884,
234D,24.739408,59.420664,
234F,24.732933,59.424296,
235C,24.862349,59.448301,
236B,24.779882,59.439426,
236F,24.732471,59.423049,
237B,24.667527,59.397066,
237E,24.693419,59.406793,
237F,24.808285,59.436221,
238A,24.811225,59.436513,
238C,24.770924,59.438307
239A,24.788458,59.432873,
239E,24.757853,59.434588,
239F,24.745592,59.432979,
2004,24.726405,59.398497,
2007,24.707725,59.402961,
2009,24.720778,59.402388,
2018,24.726473,59.396803,
2021,24.719379,59.402491,
2024,24.732837,59.402407,
2028,24.722887,59.402299,
2032,24.728466,59.435014,
2042,24.749885,59.4341,
2044,24.726926,59.434808,
2046,24.717971,59.402476,
2071,24.726844,59.397567,
2072,24.739189,59.431622,
2078,24.726027,59.395913,
2085,24.7396,59.432433,
2088,24.745459,59.430419,
2091,24.738853,59.431091,
2095,24.725189,59.394221,
2109,24.747237,59.434506,
2148,24.733223,59.403265,
2159,24.732095,59.434985,
2217,24.759789,59.431849,
2238,24.773539,59.429444,
2247,24.846471,59.451206,
2252,24.833185,59.450581,
2266,24.787669,59.422099,
2276,24.860874,59.450254,
2279,24.778692,59.430446,
2289,24.785296,59.42272,
2297,24.812241,59.443441,
2298,24.825102,59.440345,
2299,24.67508,59.392499,
2305,24.796388,59.434873,
2349,24.723788,59.39259,
2320,24.861746,59.441465,
2323,24.758646,59.437404,
2324,24.763834,59.437181,
2327,24.760458,59.436101,
2331,24.761449,59.434971,
2333,24.75756,59.436878,
2335,24.806156,59.435672,
2339,24.816826,59.438038,
2341,24.820526,59.445205,
2350,24.689812,59.399929,
2352,24.76463,59.432344,
2353,24.77453,59.438709,
2358,24.776957,59.42928,
2360,24.749334,59.433566,
2363,24.85717,59.451284,
2364,24.780253,59.430511,
2365,24.863844,59.446337,
2373,24.71531,59.432881,
2379,24.837022,59.440112,
2391,24.752511,59.43655,
2393,24.773473,59.438874,
2394,24.742677,59.432504,
2395,24.76725,59.431787,
2396,24.78857,59.424584,
2398,24.856255,59.440649,
233D,24.708634,59.413882,
22ED,24.711977,59.418351,
21BA,24.717511,59.413932,
2355,24.704173,59.408352,
2039,24.714059,59.420739,
235D,24.71112,59.417949,
21BF,24.718173,59.414682,
2343,24.714281,59.421569,
22E2,24.705259,59.410328,
2318,24.704658,59.40954,

