name,longitude,latitude
20A1,24.753105,59.428916,
20CF,24.750376,59.431462,
20D0,24.760999,59.433338,
20DD,24.75288,59.432506,
20E2,24.753413,59.433188,
21B9,24.743087,59.428657,
21C3,24.74581,59.428095,
21CE,24..75511,59.43082,
22A7,24.783486,59.439988,
22B9,24.775999,59.42836,
22BA,24.781735,59.430896,
22C3,24.765954,59.43208,
22CB,24.721493,59.433935,
22D2,24.742357,59.421049,
22E4,24.746772,59.432815,
22E7,24.77734,59.439283,
22EC,24.744212,59.432746,
23A4,24.723326,59.434176,
23AB,24.727948,59.426092,
23B1,24.745706,59.432006,
201F,24.746573,59.434192,
202E,24.729813,59.435092,
202F,24.73702,59.432034,
203B,24.719935,59.433422,
203C,24.73828,59.43218,
204B,24.752117,59.43266,
205C,24.759221,59.433249,
207E,24.744362,59.429832,
208B,24.785256,59.431667,
208D,24.740757,59.432007,
214E,24.751737,59.432049,
221E,24.783609,59.424759,
223C,24.75929,59.431816,
224B,24.768521,59.431494,
226C,24.792086,59.41936,
230E,24.763869,59.434047,
231A,24.734237,59.422486,
231D,24.782002,59.439673,
232B,24.790941,59.434279,
232C,24.714419,59.432413,
232F,24.769311,59.438267,
234D,24.739408,59.420664,
234F,24.732933,59.424296,
236B,24.779882,59.439426,
236F,24.732471,59.423049,
238C,24.770924,59.438307
239A,24.788458,59.432873,
239E,24.757853,59.434588,
239F,24.745592,59.432979,
2032,24.728466,59.435014,
2042,24.749885,59.4341,
2044,24.726926,59.434808,
2072,24.739189,59.431622,
2085,24.7396,59.432433,
2088,24.745459,59.430419,
2091,24.738853,59.431091,
2109,24.747237,59.434506,
2159,24.732095,59.434985,
2217,24.759789,59.431849,
2238,24.773539,59.429444,
2266,24.787669,59.422099,
2279,24.778692,59.430446,
2289,24.785296,59.42272,
2323,24.758646,59.437404,
2324,24.763834,59.437181,
2327,24.760458,59.436101,
2331,24.761449,59.434971,
2333,24.75756,59.436878,
2352,24.76463,59.432344,
2353,24.77453,59.438709,
2358,24.776957,59.42928,
2360,24.749334,59.433566,
2364,24.780253,59.430511,
2373,24.71531,59.432881,
2391,24.752511,59.43655,
2393,24.773473,59.438874,
2394,24.742677,59.432504,
2395,24.76725,59.431787,
2396,24.78857,59.424584,
