time,CO,CO_model
2022-01-27 01:00:00,225.0,270.99997
2022-01-27 02:00:00,228.0,263.99997
2022-01-27 03:00:00,247.0,260.99997
2022-01-27 04:00:00,227.0,260.99997
2022-01-27 05:00:00,234.0,257.99997
2022-01-27 06:00:00,235.0,257.99997
2022-01-27 07:00:00,246.0,260.99997
2022-01-27 08:00:00,264.0,277.99997
2022-01-27 09:00:00,277.0,287.99997
2022-01-27 10:00:00,265.0,280.99997
2022-01-27 11:00:00,273.0,277.99997
2022-01-27 12:00:00,293.0,267.99997
2022-01-27 13:00:00,291.0,253.99998
2022-01-27 14:00:00,292.0,250.49998
2022-01-27 15:00:00,296.0,243.99998
2022-01-27 16:00:00,295.0,257.99997
2022-01-27 17:00:00,316.0,290.99997
2022-01-27 18:00:00,322.0,313.99997
2022-01-27 19:00:00,343.0,333.99997
2022-01-27 20:00:00,324.0,337.99997
2022-01-27 21:00:00,335.0,330.99997
2022-01-27 22:00:00,337.0,313.99997
2022-01-27 23:00:00,331.0,307.99997
2022-01-28 00:00:00,327.0,293.99997
2022-01-28 01:00:00,248.0,263.99997
2022-01-28 02:00:00,251.0,250.49998
2022-01-28 03:00:00,267.0,247.49998
2022-01-28 04:00:00,247.0,247.49998
2022-01-28 05:00:00,258.0,250.49998
2022-01-28 06:00:00,228.0,250.49998
2022-01-28 07:00:00,253.0,260.99997
2022-01-28 08:00:00,247.0,273.99997
2022-01-28 09:00:00,256.0,280.99997
2022-01-28 10:00:00,263.0,270.99997
2022-01-28 11:00:00,257.0,263.99997
2022-01-28 12:00:00,264.0,253.99998
2022-01-28 13:00:00,287.0,243.99998
2022-01-28 14:00:00,266.0,240.49998
2022-01-28 15:00:00,275.0,233.99998
2022-01-28 16:00:00,277.0,243.99998
2022-01-28 17:00:00,288.0,257.99997
2022-01-28 18:00:00,309.0,267.99997
2022-01-28 19:00:00,313.0,277.99997
2022-01-28 20:00:00,301.0,287.99997
2022-01-28 21:00:00,312.0,297.99997
2022-01-28 22:00:00,298.0,297.99997
2022-01-28 23:00:00,306.0,290.99997
2022-01-29 00:00:00,304.0,277.99997
2022-01-29 01:00:00,194.0,250.49998
2022-01-29 02:00:00,189.0,240.49998
2022-01-29 03:00:00,202.0,236.99998
2022-01-29 04:00:00,214.0,240.49998
2022-01-29 05:00:00,196.0,243.99998
2022-01-29 06:00:00,187.0,243.99998
2022-01-29 07:00:00,196.0,253.99998
2022-01-29 08:00:00,190.0,267.99997
2022-01-29 09:00:00,193.0,273.99997
2022-01-29 10:00:00,201.0,270.99997
2022-01-29 11:00:00,213.0,263.99997
2022-01-29 12:00:00,226.0,253.99998
2022-01-29 13:00:00,236.0,243.99998
2022-01-29 14:00:00,249.0,240.49998
2022-01-29 15:00:00,238.0,236.99998
2022-01-29 16:00:00,237.0,243.99998
2022-01-29 17:00:00,232.0,257.99997
2022-01-29 18:00:00,231.0,267.99997
2022-01-29 19:00:00,239.0,277.99997
2022-01-29 20:00:00,242.0,283.99997
2022-01-29 21:00:00,300.0,287.99997
2022-01-29 22:00:00,327.0,287.99997
2022-01-29 23:00:00,292.0,283.99997
2022-01-30 00:00:00,262.0,273.99997
2022-01-30 01:00:00,244.0,260.99997
2022-01-30 02:00:00,241.0,250.49998
2022-01-30 03:00:00,247.0,247.49998
2022-01-30 04:00:00,245.0,247.49998
2022-01-30 05:00:00,245.0,247.49998
2022-01-30 06:00:00,252.0,250.49998
2022-01-30 07:00:00,256.0,263.99997
2022-01-30 08:00:00,255.0,287.99997
2022-01-30 09:00:00,260.0,313.99997
2022-01-30 10:00:00,262.0,310.99997
2022-01-30 11:00:00,280.0,297.99997
2022-01-30 12:00:00,284.0,280.99997
2022-01-30 13:00:00,322.0,263.99997
2022-01-30 14:00:00,329.0,260.99997
2022-01-30 15:00:00,322.0,260.99997
2022-01-30 16:00:00,316.0,300.99997
2022-01-30 17:00:00,320.0,400.99997
2022-01-30 18:00:00,339.0,500.99997
2022-01-30 19:00:00,413.0,581.99994
2022-01-30 20:00:00,588.0,595.99994
2022-01-30 21:00:00,646.0,581.99994
2022-01-30 22:00:00,873.0,535.99994
2022-01-30 23:00:00,795.0,494.99997
2022-01-31 00:00:00,1290.0,440.99997
2022-01-31 01:00:00,1181.0,397.99997
2022-01-31 02:00:00,967.0,353.99997
2022-01-31 03:00:00,843.0,333.99997
2022-01-31 04:00:00,815.0,330.99997
2022-01-31 05:00:00,780.0,330.99997
2022-01-31 06:00:00,781.0,337.99997
2022-01-31 07:00:00,779.0,367.99997
2022-01-31 08:00:00,649.0,433.99997
2022-01-31 09:00:00,745.0,521.99994
2022-01-31 10:00:00,866.0,561.99994
2022-01-31 11:00:00,591.0,607.99994
2022-01-31 12:00:00,497.0,647.99994
2022-01-31 13:00:00,493.0,507.99997
2022-01-31 14:00:00,525.0,420.99997
2022-01-31 15:00:00,531.0,387.99997
2022-01-31 16:00:00,471.0,387.99997
2022-01-31 17:00:00,403.0,377.99997
2022-01-31 18:00:00,371.0,357.99997
2022-01-31 19:00:00,451.0,360.99997
2022-01-31 20:00:00,496.0,387.99997
2022-01-31 21:00:00,447.0,410.99997
2022-01-31 22:00:00,802.0,433.99997
2022-01-31 23:00:00,465.0,460.99997
2022-02-01 00:00:00,453.0,453.99997
2022-02-01 01:00:00,785.0,387.99997
2022-02-01 02:00:00,726.0,337.99997
2022-02-01 03:00:00,653.0,340.99997
2022-02-01 04:00:00,594.0,393.99997
2022-02-01 05:00:00,475.0,400.99997
2022-02-01 06:00:00,387.0,363.99997
2022-02-01 07:00:00,332.0,320.99997
2022-02-01 08:00:00,377.0,297.99997
2022-02-01 09:00:00,500.0,293.99997
2022-02-01 10:00:00,433.0,280.99997
2022-02-01 11:00:00,362.0,270.99997
2022-02-01 12:00:00,324.0,260.99997
2022-02-01 13:00:00,302.0,253.99998
2022-02-01 14:00:00,288.0,250.49998
2022-02-01 15:00:00,290.0,247.49998
2022-02-01 16:00:00,278.0,267.99997
2022-02-01 17:00:00,285.0,317.99997
2022-02-01 18:00:00,326.0,367.99997
2022-02-01 19:00:00,372.0,403.99997
2022-02-01 20:00:00,383.0,417.99997
2022-02-01 21:00:00,897.0,420.99997
2022-02-01 22:00:00,706.0,403.99997
2022-02-01 23:00:00,501.0,383.99997
2022-02-02 00:00:00,530.0,350.99997
2022-02-02 01:00:00,363.0,343.99997
2022-02-02 02:00:00,327.0,300.99997
2022-02-02 03:00:00,291.0,277.99997
2022-02-02 04:00:00,273.0,267.99997
2022-02-02 05:00:00,253.0,267.99997
2022-02-02 06:00:00,250.0,273.99997
2022-02-02 07:00:00,261.0,297.99997
2022-02-02 08:00:00,269.0,330.99997
2022-02-02 09:00:00,296.0,350.99997
2022-02-02 10:00:00,297.0,343.99997
2022-02-02 11:00:00,282.0,323.99997
2022-02-02 12:00:00,281.0,297.99997
2022-02-02 13:00:00,273.0,250.49998
2022-02-02 14:00:00,292.0,236.99998
2022-02-02 15:00:00,293.0,233.99998
2022-02-02 16:00:00,291.0,267.99997
2022-02-02 17:00:00,317.0,310.99997
2022-02-02 18:00:00,365.0,333.99997
2022-02-02 19:00:00,387.0,440.99997
2022-02-02 20:00:00,419.0,595.99994
2022-02-02 21:00:00,520.0,721.99994
2022-02-02 22:00:00,666.0,787.99994
2022-02-02 23:00:00,952.0,867.99994
2022-02-03 00:00:00,881.0,921.99994
2022-02-03 01:00:00,578.0,787.99994
2022-02-03 02:00:00,742.0,881.99994
2022-02-03 03:00:00,677.0,975.99994
2022-02-03 04:00:00,680.0,1001.99994
2022-02-03 05:00:00,660.0,935.99994
2022-02-03 06:00:00,613.0,827.99994
2022-02-03 07:00:00,646.0,741.99994
2022-02-03 08:00:00,872.0,781.99994
2022-02-03 09:00:00,1130.0,975.99994
2022-02-03 10:00:00,537.0,1135.9999
2022-02-03 11:00:00,466.0,1243.9999
2022-02-03 12:00:00,399.0,1191.9999
2022-02-03 13:00:00,382.0,417.99997
2022-02-03 14:00:00,424.0,353.99997
2022-02-03 15:00:00,395.0,317.99997
2022-02-03 16:00:00,270.0,303.99997
2022-02-03 17:00:00,287.0,293.99997
2022-02-03 18:00:00,310.0,290.99997
2022-02-03 19:00:00,406.0,317.99997
2022-02-03 20:00:00,675.0,383.99997
2022-02-03 21:00:00,713.0,453.99997
2022-02-03 22:00:00,594.0,500.99997
2022-02-03 23:00:00,760.0,535.99994
2022-02-04 00:00:00,905.0,547.99994
2022-02-04 01:00:00,855.0,821.99994
2022-02-04 02:00:00,621.0,761.99994
2022-02-04 03:00:00,631.0,715.99994
2022-02-04 04:00:00,534.0,667.99994
2022-02-04 05:00:00,458.0,655.99994
2022-02-04 06:00:00,376.0,655.99994
2022-02-04 07:00:00,431.0,701.99994
2022-02-04 08:00:00,611.0,781.99994
2022-02-04 09:00:00,718.0,841.99994
2022-02-04 10:00:00,619.0,815.99994
2022-02-04 11:00:00,677.0,855.99994
2022-02-04 12:00:00,446.0,935.99994
2022-02-04 13:00:00,375.0,420.99997
2022-02-04 14:00:00,344.0,350.99997
2022-02-04 15:00:00,300.0,313.99997
2022-02-04 16:00:00,304.0,287.99997
2022-02-04 17:00:00,317.0,273.99997
2022-02-04 18:00:00,324.0,277.99997
2022-02-04 19:00:00,349.0,287.99997
2022-02-04 20:00:00,357.0,313.99997
2022-02-04 21:00:00,344.0,340.99997
2022-02-04 22:00:00,350.0,367.99997
2022-02-04 23:00:00,349.0,397.99997
2022-02-05 00:00:00,329.0,400.99997
2022-02-05 01:00:00,194.0,370.99997
2022-02-05 02:00:00,194.0,317.99997
2022-02-05 03:00:00,181.0,277.99997
2022-02-05 04:00:00,170.0,260.99997
2022-02-05 05:00:00,171.0,253.99998
2022-02-05 06:00:00,166.0,253.99998
2022-02-05 07:00:00,168.0,260.99997
2022-02-05 08:00:00,179.0,273.99997
2022-02-05 09:00:00,196.0,287.99997
2022-02-05 10:00:00,210.0,277.99997
2022-02-05 11:00:00,214.0,270.99997
2022-02-05 12:00:00,240.0,260.99997
2022-02-05 13:00:00,254.0,247.49998
2022-02-05 14:00:00,245.0,247.49998
2022-02-05 15:00:00,248.0,247.49998
2022-02-05 16:00:00,252.0,257.99997
2022-02-05 17:00:00,264.0,267.99997
2022-02-05 18:00:00,282.0,263.99997
2022-02-05 19:00:00,313.0,267.99997
2022-02-05 20:00:00,330.0,280.99997
2022-02-05 21:00:00,335.0,293.99997
2022-02-05 22:00:00,325.0,307.99997
2022-02-05 23:00:00,304.0,313.99997
2022-02-06 00:00:00,299.0,307.99997
2022-02-06 01:00:00,303.0,290.99997
2022-02-06 02:00:00,311.0,270.99997
2022-02-06 03:00:00,302.0,263.99997
2022-02-06 04:00:00,308.0,260.99997
2022-02-06 05:00:00,347.0,257.99997
2022-02-06 06:00:00,305.0,257.99997
2022-02-06 07:00:00,292.0,260.99997
2022-02-06 08:00:00,302.0,273.99997
2022-02-06 09:00:00,339.0,287.99997
2022-02-06 10:00:00,302.0,287.99997
2022-02-06 11:00:00,260.0,280.99997
2022-02-06 12:00:00,272.0,273.99997
2022-02-06 13:00:00,277.0,263.99997
2022-02-06 14:00:00,279.0,257.99997
2022-02-06 15:00:00,272.0,250.49998
2022-02-06 16:00:00,287.0,257.99997
2022-02-06 17:00:00,285.0,270.99997
2022-02-06 18:00:00,309.0,280.99997
2022-02-06 19:00:00,334.0,293.99997
2022-02-06 20:00:00,408.0,317.99997
2022-02-06 21:00:00,381.0,337.99997
2022-02-06 22:00:00,368.0,347.99997
2022-02-06 23:00:00,384.0,350.99997
2022-02-07 00:00:00,378.0,340.99997
2022-02-07 01:00:00,309.0,310.99997
2022-02-07 02:00:00,298.0,293.99997
2022-02-07 03:00:00,304.0,287.99997
2022-02-07 04:00:00,299.0,283.99997
2022-02-07 05:00:00,320.0,277.99997
2022-02-07 06:00:00,318.0,273.99997
2022-02-07 07:00:00,342.0,283.99997
2022-02-07 08:00:00,320.0,313.99997
2022-02-07 09:00:00,322.0,347.99997
2022-02-07 10:00:00,277.0,350.99997
2022-02-07 11:00:00,275.0,340.99997
2022-02-07 12:00:00,270.0,320.99997
2022-02-07 13:00:00,285.0,293.99997
2022-02-07 14:00:00,287.0,287.99997
2022-02-07 15:00:00,293.0,280.99997
2022-02-07 16:00:00,300.0,290.99997
2022-02-07 17:00:00,305.0,317.99997
2022-02-07 18:00:00,319.0,340.99997
2022-02-07 19:00:00,382.0,357.99997
2022-02-07 20:00:00,433.0,373.99997
2022-02-07 21:00:00,394.0,390.99997
2022-02-07 22:00:00,411.0,383.99997
2022-02-07 23:00:00,353.0,363.99997
2022-02-08 00:00:00,355.0,333.99997
2022-02-08 01:00:00,266.0,307.99997
2022-02-08 02:00:00,298.0,283.99997
2022-02-08 03:00:00,326.0,270.99997
2022-02-08 04:00:00,351.0,260.99997
2022-02-08 05:00:00,363.0,257.99997
2022-02-08 06:00:00,352.0,257.99997
2022-02-08 07:00:00,328.0,277.99997
2022-02-08 08:00:00,309.0,307.99997
2022-02-08 09:00:00,285.0,330.99997
2022-02-08 10:00:00,255.0,327.99997
