time,NO2,NO2_model
2022-01-27 01:00:00,40.17,18.187498
2022-01-27 02:00:00,32.32,14.249999
2022-01-27 03:00:00,31.2,11.499999
2022-01-27 04:00:00,27.88,9.624999
2022-01-27 05:00:00,25.23,9.187499
2022-01-27 06:00:00,30.92,13.031249
2022-01-27 07:00:00,35.63,20.624998
2022-01-27 08:00:00,41.28,25.749998
2022-01-27 09:00:00,43.5,21.124998
2022-01-27 10:00:00,40.78,14.062499
2022-01-27 11:00:00,34.65,11.499999
2022-01-27 12:00:00,40.65,10.374999
2022-01-27 13:00:00,38.62,6.6093745
2022-01-27 14:00:00,32.03,5.6562495
2022-01-27 15:00:00,31.82,5.7499995
2022-01-27 16:00:00,33.83,10.562499
2022-01-27 17:00:00,39.9,20.062498
2022-01-27 18:00:00,69.98,25.062498
2022-01-27 19:00:00,88.3,25.062498
2022-01-27 20:00:00,74.1,22.312498
2022-01-27 21:00:00,64.38,18.687498
2022-01-27 22:00:00,70.98,15.093749
2022-01-27 23:00:00,62.57,11.499999
2022-01-28 00:00:00,49.6,8.312499
2022-01-28 01:00:00,40.45,5.6562495
2022-01-28 02:00:00,37.6,4.8906245
2022-01-28 03:00:00,37.2,4.2968745
2022-01-28 04:00:00,34.15,3.9843748
2022-01-28 05:00:00,30.68,4.1562495
2022-01-28 06:00:00,40.98,5.3593745
2022-01-28 07:00:00,47.53,6.9531245
2022-01-28 08:00:00,51.25,7.3749995
2022-01-28 09:00:00,50.55,6.0937495
2022-01-28 10:00:00,37.65,4.2031245
2022-01-28 11:00:00,36.12,3.3437498
2022-01-28 12:00:00,24.3,2.7890623
2022-01-28 13:00:00,22.8,2.4062498
2022-01-28 14:00:00,22.53,2.2734373
2022-01-28 15:00:00,23.12,2.4687498
2022-01-28 16:00:00,26.25,3.4765623
2022-01-28 17:00:00,41.5,4.8437495
2022-01-28 18:00:00,67.2,5.1562495
2022-01-28 19:00:00,82.32,5.0156245
2022-01-28 20:00:00,76.8,4.5937495
2022-01-28 21:00:00,53.0,4.3281245
2022-01-28 22:00:00,47.85,4.2499995
2022-01-28 23:00:00,35.95,3.9453123
2022-01-29 00:00:00,31.85,3.3437498
2022-01-29 01:00:00,29.48,3.5624998
2022-01-29 02:00:00,25.28,3.5156248
2022-01-29 03:00:00,35.85,3.6015623
2022-01-29 04:00:00,36.8,3.8203123
2022-01-29 05:00:00,34.92,4.5468745
2022-01-29 06:00:00,37.45,7.1249995
