time,NO2,NO2_model
2022-01-27 01:00:00,2.4862499,5.296875
2022-01-27 02:00:00,2.10375004,5.734375
2022-01-27 03:00:00,1.9125,5.734375
2022-01-27 04:00:00,3.25125009,5.34375
2022-01-27 05:00:00,3.825,5.21875
2022-01-27 06:00:00,5.54625018,5.984375
2022-01-27 07:00:00,6.50250018,6.5
2022-01-27 08:00:00,4.59000018,5.5625
2022-01-27 09:00:00,3.825,3.8984375
2022-01-27 10:00:00,3.06000004,3.25
2022-01-27 11:00:00,3.825,4.484375
2022-01-27 12:00:00,4.59000018,6.9375
2022-01-27 13:00:00,5.54625018,7.015625
2022-01-27 14:00:00,8.03249963,6.765625
2022-01-27 15:00:00,8.79749981,8.21875
2022-01-27 16:00:00,8.60625,10.6875
2022-01-27 17:00:00,8.60625,11.8125
2022-01-27 18:00:00,7.07625009,10.09375
2022-01-27 19:00:00,5.16375009,7.359375
2022-01-27 20:00:00,4.20750009,4.453125
2022-01-27 21:00:00,3.4424999,2.6328125
2022-01-27 22:00:00,2.4862499,1.7539062
2022-01-27 23:00:00,1.53000002,1.3671875
2022-01-28 00:00:00,1.33874997,1.1875
2022-01-28 01:00:00,0.76500001,1.1132812
2022-01-28 02:00:00,0.95625,0.9316406
2022-01-28 03:00:00,0.95625,0.8984375
2022-01-28 04:00:00,0.76500001,1.1875
2022-01-28 05:00:00,1.72124995,1.9257812
2022-01-28 06:00:00,4.20750009,2.5859375
2022-01-28 07:00:00,4.20750009,2.4375
2022-01-28 08:00:00,4.59000018,2.1796875
2022-01-28 09:00:00,2.67749995,2.5703125
2022-01-28 10:00:00,3.4424999,3.59375
2022-01-28 11:00:00,4.01624981,2.4609375
2022-01-28 12:00:00,3.825,1.4335938
2022-01-28 13:00:00,3.4424999,1.390625
2022-01-28 14:00:00,3.825,1.4335938
2022-01-28 15:00:00,2.86875,1.1992188
2022-01-28 16:00:00,3.06000004,1.0703125
2022-01-28 17:00:00,2.10375004,1.0273438
2022-01-28 18:00:00,2.10375004,1.0585938
2022-01-28 19:00:00,1.33874997,1.0351562
2022-01-28 20:00:00,0.95625,0.91015625
2022-01-28 21:00:00,0.3825,0.76953125
2022-01-28 22:00:00,0.19125,0.6464844
2022-01-28 23:00:00,0.0,0.578125
2022-01-29 00:00:00,-0.19125,0.5449219
2022-01-29 01:00:00,0.19125,0.63671875
2022-01-29 02:00:00,0.0,0.6035156
2022-01-29 03:00:00,0.3825,0.58203125
2022-01-29 04:00:00,1.33874997,0.6621094
2022-01-29 05:00:00,2.10375004,1.0585938
2022-01-29 06:00:00,3.63374995,1.8398438
2022-01-29 07:00:00,4.3987499,2.5859375
2022-01-29 08:00:00,4.97249981,3.0390625
2022-01-29 09:00:00,2.4862499,2.6484375
2022-01-29 10:00:00,3.25125009,3.2109375
2022-01-29 11:00:00,3.06000004,4.921875
2022-01-29 12:00:00,3.25125009,3.46875
2022-01-29 13:00:00,4.01624981,2.4140625
2022-01-29 14:00:00,4.01624981,2.90625
2022-01-29 15:00:00,3.25125009,3.1640625
2022-01-29 16:00:00,2.67749995,2.734375
2022-01-29 17:00:00,3.06000004,3.8515625
2022-01-29 18:00:00,3.825,5.0
2022-01-29 19:00:00,4.78125,5.5625
2022-01-29 20:00:00,5.16375009,5.8125
2022-01-29 21:00:00,5.7375,5.8125
2022-01-29 22:00:00,4.20750009,5.734375
2022-01-29 23:00:00,3.4424999,5.5625
2022-01-30 00:00:00,2.67749995,3.125
2022-01-30 01:00:00,1.33874997,1.7539062
2022-01-30 02:00:00,0.76500001,0.82421875
2022-01-30 03:00:00,0.76500001,0.8886719
2022-01-30 04:00:00,0.19125,1.1132812
2022-01-30 05:00:00,0.19125,1.390625
2022-01-30 06:00:00,0.3825,1.8828125
2022-01-30 07:00:00,1.53000002,2.375
2022-01-30 08:00:00,1.72124995,2.90625
2022-01-30 09:00:00,0.95625,3.296875
2022-01-30 10:00:00,1.33874997,3.421875
2022-01-30 11:00:00,1.14750004,3.0390625
2022-01-30 12:00:00,1.33874997,1.7109375
2022-01-30 13:00:00,1.72124995,1.15625
2022-01-30 14:00:00,2.10375004,1.5820312
2022-01-30 15:00:00,1.9125,1.5820312
2022-01-30 16:00:00,1.9125,1.6914062
2022-01-30 17:00:00,1.14750004,1.9492188
2022-01-30 18:00:00,1.14750004,2.15625
2022-01-30 19:00:00,0.76500001,2.265625
2022-01-30 20:00:00,0.76500001,2.2421875
2022-01-30 21:00:00,0.57375002,2.328125
2022-01-30 22:00:00,,2.4375
2022-01-30 23:00:00,0.19104994,2.3515625
2022-01-31 00:00:00,0.19125,2.03125
2022-01-31 01:00:00,0.19125,1.2070312
2022-01-31 02:00:00,0.19125,1.015625
2022-01-31 03:00:00,0.0,0.85546875
2022-01-31 04:00:00,0.3825,0.7480469
2022-01-31 05:00:00,0.76500001,0.82421875
2022-01-31 06:00:00,2.86875,1.078125
2022-01-31 07:00:00,2.4862499,1.2851562
2022-01-31 08:00:00,2.4862499,1.3476562
2022-01-31 09:00:00,2.10375004,1.3359375
2022-01-31 10:00:00,2.10375004,1.2851562
2022-01-31 11:00:00,2.29500009,1.3476562
2022-01-31 12:00:00,3.25125009,1.4765625
2022-01-31 13:00:00,4.59000018,1.625
2022-01-31 14:00:00,4.59000018,1.7773438
2022-01-31 15:00:00,8.98874963,1.90625
2022-01-31 16:00:00,7.65,2.03125
2022-01-31 17:00:00,5.16375009,2.0078125
2022-01-31 18:00:00,4.97249981,1.9492188
2022-01-31 19:00:00,2.29500009,1.8828125
2022-01-31 20:00:00,1.72124995,1.7539062
2022-01-31 21:00:00,1.14750004,1.5820312
2022-01-31 22:00:00,1.14750004,1.3242188
2022-01-31 23:00:00,1.72124995,1.1757812
2022-02-01 00:00:00,0.3825,1.1015625
2022-02-01 01:00:00,0.3825,0.76953125
2022-02-01 02:00:00,0.57375002,0.76953125
2022-02-01 03:00:00,1.53000002,0.8339844
2022-02-01 04:00:00,2.29500009,0.984375
2022-02-01 05:00:00,3.25125009,1.3359375
2022-02-01 06:00:00,7.2674999,1.7773438
2022-02-01 07:00:00,5.16375009,1.9257812
2022-02-01 08:00:00,4.59000018,1.8828125
2022-02-01 09:00:00,5.54625018,2.0546875
2022-02-01 10:00:00,2.86875,2.03125
2022-02-01 11:00:00,3.4424999,1.8203125
2022-02-01 12:00:00,3.25125009,1.6679688
2022-02-01 13:00:00,5.16375009,1.7539062
2022-02-01 14:00:00,6.50250018,2.0703125
2022-02-01 15:00:00,7.65,3.25
2022-02-01 16:00:00,10.90124963,6.765625
2022-02-01 17:00:00,13.57874981,9.0625
2022-02-01 18:00:00,11.475,6.421875
2022-02-01 19:00:00,10.70999981,4.578125
2022-02-01 20:00:00,7.65,4.578125
2022-02-01 21:00:00,5.16375009,4.3125
2022-02-01 22:00:00,3.63374995,4.53125
2022-02-01 23:00:00,3.06000004,5.4375
2022-02-02 00:00:00,3.63374995,5.46875
2022-02-02 01:00:00,5.92874981,7.359375
2022-02-02 02:00:00,5.7375,5.640625
2022-02-02 03:00:00,4.78125,5.296875
2022-02-02 04:00:00,4.01624981,5.734375
2022-02-02 05:00:00,4.01624981,6.328125
2022-02-02 06:00:00,6.69375,7.1875
2022-02-02 07:00:00,8.79749981,7.875
2022-02-02 08:00:00,9.37125018,8.625
2022-02-02 09:00:00,13.57874981,9.5
2022-02-02 10:00:00,26.01000072,10.0
2022-02-02 11:00:00,32.89500145,10.78125
2022-02-02 12:00:00,20.27250072,10.78125
2022-02-02 13:00:00,17.78625036,9.65625
2022-02-02 14:00:00,16.83000036,8.90625
2022-02-02 15:00:00,17.59499963,8.96875
2022-02-02 16:00:00,18.93374927,9.3125
2022-02-02 17:00:00,13.00500036,9.0625
2022-02-02 18:00:00,8.79749981,7.453125
2022-02-02 19:00:00,6.3112499,5.8125
2022-02-02 20:00:00,5.16375009,4.921875
2022-02-02 21:00:00,4.97249981,4.1875
2022-02-02 22:00:00,5.7375,3.8125
2022-02-02 23:00:00,6.3112499,4.40625
2022-02-03 00:00:00,5.7375,5.296875
2022-02-03 01:00:00,3.06000004,6.671875
2022-02-03 02:00:00,3.825,3.9765625
2022-02-03 03:00:00,5.3549999,2.6484375
2022-02-03 04:00:00,10.51875,2.6484375
2022-02-03 05:00:00,12.81374963,3.421875
2022-02-03 06:00:00,17.78625036,4.40625
2022-02-03 07:00:00,16.63874963,4.96875
2022-02-03 08:00:00,12.62249981,5.46875
2022-02-03 09:00:00,9.5625,5.5625
2022-02-03 10:00:00,9.75374981,4.703125
2022-02-03 11:00:00,8.98874963,4.140625
2022-02-03 12:00:00,10.32750018,3.8984375
2022-02-03 13:00:00,13.3875,4.796875
2022-02-03 14:00:00,17.2125,6.9375
2022-02-03 15:00:00,26.01000072,10.0
2022-02-03 16:00:00,41.31000072,13.34375
2022-02-03 17:00:00,54.50625,14.90625
2022-02-03 18:00:00,28.30500036,14.375
2022-02-03 19:00:00,30.02624963,13.6875
2022-02-03 20:00:00,24.67124927,14.03125
2022-02-03 21:00:00,24.09750072,13.1875
2022-02-03 22:00:00,15.68249963,9.9375
2022-02-03 23:00:00,19.50749963,8.03125
2022-02-04 00:00:00,15.10875018,7.453125
2022-02-04 01:00:00,11.09250036,6.765625
2022-02-04 02:00:00,6.50250018,7.28125
2022-02-04 03:00:00,4.20750009,7.953125
2022-02-04 04:00:00,4.3987499,9.15625
2022-02-04 05:00:00,5.3549999,10.78125
2022-02-04 06:00:00,6.88499981,10.34375
2022-02-04 07:00:00,7.65,8.90625
2022-02-04 08:00:00,5.3549999,9.3125
2022-02-04 09:00:00,4.97249981,9.75
2022-02-04 10:00:00,4.59000018,9.5
2022-02-04 11:00:00,4.59000018,9.9375
2022-02-04 12:00:00,4.20750009,10.4375
2022-02-04 13:00:00,4.97249981,11.125
2022-02-04 14:00:00,5.92874981,11.8125
2022-02-04 15:00:00,7.65,12.15625
2022-02-04 16:00:00,7.2674999,12.15625
2022-02-04 17:00:00,7.65,11.46875
2022-02-04 18:00:00,5.92874981,10.9375
2022-02-04 19:00:00,5.7375,10.78125
2022-02-04 20:00:00,5.16375009,11.125
2022-02-04 21:00:00,4.78125,11.8125
2022-02-04 22:00:00,5.3549999,12.3125
2022-02-04 23:00:00,6.3112499,13.1875
2022-02-05 00:00:00,6.50250018,14.03125
2022-02-05 01:00:00,6.50250018,15.25
2022-02-05 02:00:00,6.88499981,16.25
2022-02-05 03:00:00,7.07625009,17.125
2022-02-05 04:00:00,6.88499981,17.25
2022-02-05 05:00:00,6.88499981,16.5625
2022-02-05 06:00:00,6.50250018,15.40625
2022-02-05 07:00:00,6.3112499,13.875
2022-02-05 08:00:00,6.12000009,12.15625
