time,O3,O3_model
2022-01-27 01:00:00,2.9,22.562498
2022-01-27 02:00:00,6.15,23.624998
2022-01-27 03:00:00,4.32,23.624998
2022-01-27 04:00:00,3.95,23.249998
2022-01-27 05:00:00,4.0,22.562498
2022-01-27 06:00:00,2.47,18.249998
2022-01-27 07:00:00,2.22,10.749999
2022-01-27 08:00:00,2.17,6.1718745
2022-01-27 09:00:00,3.67,13.437499
2022-01-27 10:00:00,6.48,23.624998
2022-01-27 11:00:00,16.52,26.124998
2022-01-27 12:00:00,19.52,28.312498
2022-01-27 13:00:00,33.48,60.874996
2022-01-27 14:00:00,52.15,69.49999
2022-01-27 15:00:00,57.45,72.99999
2022-01-27 16:00:00,60.5,64.49999
2022-01-27 17:00:00,49.95,48.749996
2022-01-27 18:00:00,16.22,39.749996
2022-01-27 19:00:00,4.28,36.499996
2022-01-27 20:00:00,6.95,37.624996
2022-01-27 21:00:00,3.85,39.749996
2022-01-27 22:00:00,2.43,41.249996
2022-01-27 23:00:00,2.85,43.374996
2022-01-28 00:00:00,4.75,47.249996
2022-01-28 01:00:00,3.5,55.124996
2022-01-28 02:00:00,4.55,57.999996
2022-01-28 03:00:00,4.73,60.124996
2022-01-28 04:00:00,5.35,60.874996
2022-01-28 05:00:00,7.53,59.374996
2022-01-28 06:00:00,2.53,57.249996
2022-01-28 07:00:00,2.62,56.624996
2022-01-28 08:00:00,3.1,58.749996
2022-01-28 09:00:00,3.93,64.49999
2022-01-28 10:00:00,12.2,71.74999
2022-01-28 11:00:00,18.13,75.24999
2022-01-28 12:00:00,40.75,78.74999
2022-01-28 13:00:00,49.6,82.49999
2022-01-28 14:00:00,55.0,85.24999
2022-01-28 15:00:00,58.85,85.99999
2022-01-28 16:00:00,56.45,83.74999
2022-01-28 17:00:00,48.6,80.24999
2022-01-28 18:00:00,19.62,76.74999
2022-01-28 19:00:00,6.72,74.49999
2022-01-28 20:00:00,7.5,72.99999
2022-01-28 21:00:00,15.8,70.99999
2022-01-28 22:00:00,15.88,67.99999
2022-01-28 23:00:00,21.57,66.74999
2022-01-29 00:00:00,19.55,65.24999
2022-01-29 01:00:00,15.75,65.99999
2022-01-29 02:00:00,18.47,63.749996
2022-01-29 03:00:00,6.4,61.624996
2022-01-29 04:00:00,5.25,58.749996
2022-01-29 05:00:00,5.67,54.374996
2022-01-29 06:00:00,2.68,47.249996
2022-01-29 07:00:00,2.75,38.624996
2022-01-29 08:00:00,2.75,33.624996
2022-01-29 09:00:00,6.33,35.124996
2022-01-29 10:00:00,13.75,40.124996
2022-01-29 11:00:00,22.0,42.249996
2022-01-29 12:00:00,34.45,46.499996
2022-01-29 13:00:00,52.1,67.99999
2022-01-29 14:00:00,59.47,75.24999
2022-01-29 15:00:00,65.35,77.24999
2022-01-29 16:00:00,67.88,67.24999
2022-01-29 17:00:00,56.72,50.124996
2022-01-29 18:00:00,26.95,40.124996
2022-01-29 19:00:00,8.33,34.749996
2022-01-29 20:00:00,5.73,31.499998
2022-01-29 21:00:00,4.07,29.687498
2022-01-29 22:00:00,3.1,27.187498
2022-01-29 23:00:00,2.3,26.499998
2022-01-30 00:00:00,5.5,27.187498
2022-01-30 01:00:00,2.2,30.062498
2022-01-30 02:00:00,5.72,31.874998
2022-01-30 03:00:00,4.45,32.624996
2022-01-30 04:00:00,2.28,31.499998
2022-01-30 05:00:00,2.9,29.687498
2022-01-30 06:00:00,4.12,26.499998
2022-01-30 07:00:00,3.28,21.874998
2022-01-30 08:00:00,3.65,19.874998
2022-01-30 09:00:00,7.02,25.062498
2022-01-30 10:00:00,11.2,30.437498
2022-01-30 11:00:00,18.1,32.999996
2022-01-30 12:00:00,28.75,39.749996
2022-01-30 13:00:00,47.85,73.74999
2022-01-30 14:00:00,68.72,81.74999
2022-01-30 15:00:00,70.77,84.49999
2022-01-30 16:00:00,65.93,83.74999
2022-01-30 17:00:00,54.43,80.24999
2022-01-30 18:00:00,24.27,77.99999
2022-01-30 19:00:00,2.68,75.99999
2022-01-30 20:00:00,3.53,70.99999
2022-01-30 21:00:00,6.1,66.74999
2022-01-30 22:00:00,14.18,64.49999
2022-01-30 23:00:00,11.92,63.749996
2022-01-31 00:00:00,18.48,63.749996
2022-01-31 01:00:00,25.25,64.49999
2022-01-31 02:00:00,17.75,65.99999
2022-01-31 03:00:00,29.72,70.24999
2022-01-31 04:00:00,38.32,77.24999
2022-01-31 05:00:00,37.25,81.74999
2022-01-31 06:00:00,47.07,82.49999
2022-01-31 07:00:00,50.4,81.74999
2022-01-31 08:00:00,44.35,80.24999
2022-01-31 09:00:00,43.52,77.99999
2022-01-31 10:00:00,47.25,75.99999
2022-01-31 11:00:00,48.77,74.49999
2022-01-31 12:00:00,50.88,75.99999
2022-01-31 13:00:00,53.7,78.74999
2022-01-31 14:00:00,58.35,79.49999
2022-01-31 15:00:00,59.53,77.24999
2022-01-31 16:00:00,60.95,76.74999
2022-01-31 17:00:00,63.02,77.24999
2022-01-31 18:00:00,68.1,78.74999
2022-01-31 19:00:00,59.75,79.49999
2022-01-31 20:00:00,56.32,77.99999
2022-01-31 21:00:00,58.75,77.24999
2022-01-31 22:00:00,77.83,83.74999
2022-01-31 23:00:00,84.57,90.99999
2022-02-01 00:00:00,78.65,92.99999
2022-02-01 01:00:00,76.45,86.74999
2022-02-01 02:00:00,73.37,86.74999
2022-02-01 03:00:00,71.62,87.49999
2022-02-01 04:00:00,72.2,86.74999
2022-02-01 05:00:00,72.45,84.49999
2022-02-01 06:00:00,69.43,82.49999
2022-02-01 07:00:00,64.88,82.49999
2022-02-01 08:00:00,59.05,82.99999
2022-02-01 09:00:00,63.65,84.49999
2022-02-01 10:00:00,68.02,85.99999
2022-02-01 11:00:00,71.8,88.74999
2022-02-01 12:00:00,73.48,92.99999
2022-02-01 13:00:00,74.73,95.99999
2022-02-01 14:00:00,77.1,98.74999
2022-02-01 15:00:00,77.32,98.74999
2022-02-01 16:00:00,75.77,95.99999
2022-02-01 17:00:00,74.35,90.24999
2022-02-01 18:00:00,68.75,85.24999
2022-02-01 19:00:00,70.38,82.49999
2022-02-01 20:00:00,66.9,80.99999
2022-02-01 21:00:00,64.82,80.24999
2022-02-01 22:00:00,63.32,79.49999
2022-02-01 23:00:00,63.8,79.49999
2022-02-02 00:00:00,65.18,80.99999
2022-02-02 01:00:00,63.45,78.74999
