time,O3,O3_model
2022-01-27 01:00:00,17.14,15.53125
2022-01-27 02:00:00,11.79,20.1875
2022-01-27 03:00:00,15.32,25.375
2022-01-27 04:00:00,19.25,32.5
2022-01-27 05:00:00,22.92,43.25
2022-01-27 06:00:00,22.9,55.75
2022-01-27 07:00:00,21.26,67.0
2022-01-27 08:00:00,18.42,73.5
2022-01-27 09:00:00,21.59,74.25
2022-01-27 10:00:00,23.52,73.5
2022-01-27 11:00:00,25.79,72.75
2022-01-27 12:00:00,28.09,70.0
2022-01-27 13:00:00,30.18,65.0
2022-01-27 14:00:00,30.83,60.0
2022-01-27 15:00:00,31.86,56.5
2022-01-27 16:00:00,31.74,54.25
2022-01-27 17:00:00,36.53,52.875
2022-01-27 18:00:00,39.74,51.375
2022-01-27 19:00:00,39.14,51.375
2022-01-27 20:00:00,39.94,50.75
2022-01-27 21:00:00,37.0,50.0
2022-01-27 22:00:00,37.15,49.25
2022-01-27 23:00:00,38.06,47.875
2022-01-28 00:00:00,36.56,46.375
2022-01-28 01:00:00,38.17,42.875
2022-01-28 02:00:00,39.69,39.25
2022-01-28 03:00:00,45.71,37.125
2022-01-28 04:00:00,45.67,39.625
2022-01-28 05:00:00,44.25,44.25
2022-01-28 06:00:00,48.35,47.125
2022-01-28 07:00:00,50.1,49.25
2022-01-28 08:00:00,52.47,51.375
2022-01-28 09:00:00,53.48,54.25
2022-01-28 10:00:00,57.82,57.875
2022-01-28 11:00:00,60.92,59.25
2022-01-28 12:00:00,57.39,60.75
2022-01-28 13:00:00,66.14,62.875
2022-01-28 14:00:00,64.98,64.25
2022-01-28 15:00:00,67.3,63.625
2022-01-28 16:00:00,65.02,62.875
2022-01-28 17:00:00,51.12,61.5
2022-01-28 18:00:00,48.95,57.125
2022-01-28 19:00:00,49.92,52.125
2022-01-28 20:00:00,46.38,47.875
2022-01-28 21:00:00,40.43,43.875
2022-01-28 22:00:00,38.53,42.125
2022-01-28 23:00:00,36.95,41.75
2022-01-29 00:00:00,39.17,39.25
2022-01-29 01:00:00,42.88,43.875
2022-01-29 02:00:00,47.04,49.25
2022-01-29 03:00:00,47.07,52.875
2022-01-29 04:00:00,42.84,56.5
2022-01-29 05:00:00,41.52,60.75
2022-01-29 06:00:00,41.24,65.0
2022-01-29 07:00:00,43.94,67.75
2022-01-29 08:00:00,46.8,70.75
2022-01-29 09:00:00,50.53,71.5
2022-01-29 10:00:00,50.85,70.0
2022-01-29 11:00:00,49.81,70.0
2022-01-29 12:00:00,51.04,69.25
2022-01-29 13:00:00,50.15,68.5
2022-01-29 14:00:00,49.96,67.0
2022-01-29 15:00:00,49.93,65.0
2022-01-29 16:00:00,48.95,62.125
2022-01-29 17:00:00,54.57,60.0
2022-01-29 18:00:00,54.24,58.625
2022-01-29 19:00:00,53.58,57.875
2022-01-29 20:00:00,53.32,57.875
2022-01-29 21:00:00,52.19,56.5
2022-01-29 22:00:00,53.11,54.25
2022-01-29 23:00:00,52.47,50.75
2022-01-30 00:00:00,52.85,45.75
2022-01-30 01:00:00,50.86,42.125
2022-01-30 02:00:00,48.68,43.875
2022-01-30 03:00:00,52.49,51.375
2022-01-30 04:00:00,57.69,61.5
2022-01-30 05:00:00,65.29,67.0
2022-01-30 06:00:00,70.39,68.5
2022-01-30 07:00:00,73.48,67.75
2022-01-30 08:00:00,75.34,67.0
2022-01-30 09:00:00,74.43,66.5
2022-01-30 10:00:00,73.42,66.5
2022-01-30 11:00:00,72.63,67.0
2022-01-30 12:00:00,72.84,68.5
2022-01-30 13:00:00,71.4,69.25
2022-01-30 14:00:00,70.53,68.5
2022-01-30 15:00:00,73.33,66.5
2022-01-30 16:00:00,71.08,64.25
2022-01-30 17:00:00,69.35,62.875
2022-01-30 18:00:00,68.33,62.875
2022-01-30 19:00:00,68.88,61.5
2022-01-30 20:00:00,61.61,58.625
2022-01-30 21:00:00,58.89,54.25
2022-01-30 22:00:00,65.34,51.375
2022-01-30 23:00:00,57.89,50.75
2022-01-31 00:00:00,43.31,49.25
2022-01-31 01:00:00,41.11,49.25
2022-01-31 02:00:00,46.4,49.25
2022-01-31 03:00:00,49.96,49.25
2022-01-31 04:00:00,52.55,52.875
2022-01-31 05:00:00,51.34,58.625
2022-01-31 06:00:00,55.91,60.75
2022-01-31 07:00:00,53.97,65.0
2022-01-31 08:00:00,49.77,69.25
2022-01-31 09:00:00,52.88,68.5
2022-01-31 10:00:00,58.67,62.875
2022-01-31 11:00:00,59.79,59.25
2022-01-31 12:00:00,61.91,60.0
2022-01-31 13:00:00,63.71,63.625
2022-01-31 14:00:00,62.54,67.0
2022-01-31 15:00:00,62.19,67.75
2022-01-31 16:00:00,63.6,67.0
2022-01-31 17:00:00,61.78,65.0
2022-01-31 18:00:00,62.28,62.125
2022-01-31 19:00:00,63.71,59.25
2022-01-31 20:00:00,62.34,57.875
2022-01-31 21:00:00,61.24,56.5
2022-01-31 22:00:00,62.86,55.0
2022-01-31 23:00:00,61.95,54.25
2022-02-01 00:00:00,59.47,51.375
2022-02-01 01:00:00,56.24,45.0
2022-02-01 02:00:00,55.78,33.25
2022-02-01 03:00:00,52.04,26.8125
2022-02-01 04:00:00,47.79,28.9375
