time,PM10,PM10_model
2022-01-27 01:00:00,29.0,5.7656245
2022-01-27 02:00:00,30.0,5.3124995
2022-01-27 03:00:00,32.0,4.8124995
2022-01-27 04:00:00,32.0,4.3593745
2022-01-27 05:00:00,30.0,4.0156245
2022-01-27 06:00:00,29.0,4.0312495
2022-01-27 07:00:00,31.0,4.2499995
2022-01-27 08:00:00,33.0,4.5312495
2022-01-27 09:00:00,37.0,5.0781245
2022-01-27 10:00:00,40.0,5.5468745
2022-01-27 11:00:00,41.0,6.0156245
2022-01-27 12:00:00,44.0,7.5468745
2022-01-27 13:00:00,36.0,13.374999
2022-01-27 14:00:00,27.0,13.624999
2022-01-27 15:00:00,23.0,13.031249
2022-01-27 16:00:00,20.0,12.499999
2022-01-27 17:00:00,19.0,13.249999
2022-01-27 18:00:00,24.0,14.593749
2022-01-27 19:00:00,22.0,15.781249
2022-01-27 20:00:00,23.0,15.656249
2022-01-27 21:00:00,31.0,14.468749
2022-01-27 22:00:00,39.0,10.749999
2022-01-27 23:00:00,39.0,9.062499
2022-01-28 00:00:00,32.0,7.9531245
2022-01-28 01:00:00,27.0,14.406249
2022-01-28 02:00:00,24.0,13.937499
2022-01-28 03:00:00,25.0,13.031249
2022-01-28 04:00:00,26.0,12.124999
2022-01-28 05:00:00,25.0,12.187499
2022-01-28 06:00:00,23.0,12.687499
2022-01-28 07:00:00,19.0,13.156249
2022-01-28 08:00:00,15.0,13.187499
2022-01-28 09:00:00,14.0,12.687499
2022-01-28 10:00:00,14.0,11.031249
2022-01-28 11:00:00,12.0,9.593749
2022-01-28 12:00:00,11.0,7.5937495
2022-01-28 13:00:00,9.0,4.6406245
2022-01-28 14:00:00,10.0,3.4296873
2022-01-28 15:00:00,12.0,2.7499998
2022-01-28 16:00:00,12.0,2.7265623
2022-01-28 17:00:00,14.0,3.4921873
2022-01-28 18:00:00,14.0,4.2031245
2022-01-28 19:00:00,13.0,4.6874995
2022-01-28 20:00:00,13.0,4.9999995
2022-01-28 21:00:00,13.0,5.1874995
2022-01-28 22:00:00,14.0,5.2499995
2022-01-28 23:00:00,12.0,5.3281245
2022-01-29 00:00:00,12.0,5.5937495
2022-01-29 01:00:00,14.0,7.2968745
2022-01-29 02:00:00,18.0,7.0312495
2022-01-29 03:00:00,17.0,6.5937495
2022-01-29 04:00:00,15.0,6.5624995
2022-01-29 05:00:00,15.0,6.7187495
2022-01-29 06:00:00,15.0,6.7343745
2022-01-29 07:00:00,16.0,6.5624995
2022-01-29 08:00:00,16.0,6.0156245
2022-01-29 09:00:00,16.0,5.5156245
2022-01-29 10:00:00,14.0,4.5156245
2022-01-29 11:00:00,13.0,3.3671873
2022-01-29 12:00:00,12.0,2.6328123
2022-01-29 13:00:00,11.0,2.4296873
2022-01-29 14:00:00,16.0,2.9531248
2022-01-29 15:00:00,22.0,3.5937498
2022-01-29 16:00:00,25.0,4.7656245
2022-01-29 17:00:00,26.0,6.3437495
2022-01-29 18:00:00,26.0,7.8437495
2022-01-29 19:00:00,27.0,9.749999
2022-01-29 20:00:00,31.0,11.499999
2022-01-29 21:00:00,36.0,12.843749
2022-01-29 22:00:00,40.0,13.843749
2022-01-29 23:00:00,41.0,15.343749
2022-01-30 00:00:00,39.0,18.062498
2022-01-30 01:00:00,34.0,16.624998
2022-01-30 02:00:00,30.0,14.843749
2022-01-30 03:00:00,29.0,12.499999
