time,PM10,PM10_model
2022-01-27 01:00:00,14.0139,2.8515623
2022-01-27 02:00:00,12.5039,3.6328123
2022-01-27 03:00:00,10.5923,3.7109373
2022-01-27 04:00:00,12.349,3.5312498
2022-01-27 05:00:00,13.7925,3.7656248
2022-01-27 06:00:00,13.6411,4.5781245
2022-01-27 07:00:00,11.9428,4.8281245
2022-01-27 08:00:00,8.30262,4.3593745
2022-01-27 09:00:00,7.02261,3.0703123
2022-01-27 10:00:00,5.18147,3.1406248
2022-01-27 11:00:00,4.49614,3.8203123
2022-01-27 12:00:00,4.97804,3.9999998
2022-01-27 13:00:00,5.38928,2.7187498
2022-01-27 14:00:00,7.70442,2.5703123
2022-01-27 15:00:00,7.48124,2.5859373
2022-01-27 16:00:00,8.51198,2.4921873
2022-01-27 17:00:00,10.0461,2.7656248
2022-01-27 18:00:00,10.9191,3.3359373
2022-01-27 19:00:00,9.8914,3.5078123
2022-01-27 20:00:00,9.60678,3.3671873
2022-01-27 21:00:00,9.01867,3.0312498
2022-01-27 22:00:00,8.25259,2.2656248
2022-01-27 23:00:00,5.11585,1.5156249
2022-01-28 00:00:00,3.17004,0.9667968
2022-01-28 01:00:00,3.46739,0.5976562
2022-01-28 02:00:00,4.08117,0.5820312
2022-01-28 03:00:00,2.40966,0.5917968
2022-01-28 04:00:00,1.92096,0.61718744
2022-01-28 05:00:00,2.13273,0.63281244
2022-01-28 06:00:00,2.87884,0.7148437
2022-01-28 07:00:00,3.3502,0.78320307
2022-01-28 08:00:00,3.17333,0.78124994
2022-01-28 09:00:00,4.43228,0.7695312
2022-01-28 10:00:00,3.2949,0.7382812
2022-01-28 11:00:00,3.3208,0.7167968
2022-01-28 12:00:00,4.70505,0.7089843
2022-01-28 13:00:00,3.94599,0.7460937
2022-01-28 14:00:00,4.29074,0.78906244
2022-01-28 15:00:00,5.11805,0.8164062
2022-01-28 16:00:00,4.55342,0.84570307
2022-01-28 17:00:00,5.24467,0.8730468
2022-01-28 18:00:00,7.78496,0.9257812
2022-01-28 19:00:00,12.3207,1.0742186
2022-01-28 20:00:00,10.5028,1.2031249
2022-01-28 21:00:00,12.8515,1.3046874
2022-01-28 22:00:00,11.2493,1.3398436
2022-01-28 23:00:00,9.67591,1.0664061
2022-01-29 00:00:00,8.72462,0.90820307
2022-01-29 01:00:00,5.9741,0.9414062
2022-01-29 02:00:00,5.99341,1.3085936
2022-01-29 03:00:00,5.70353,3.2109373
2022-01-29 04:00:00,6.39873,5.4218745
2022-01-29 05:00:00,11.3393,7.4687495
2022-01-29 06:00:00,13.9674,8.562499
2022-01-29 07:00:00,16.9915,6.6249995
2022-01-29 08:00:00,19.4932,4.9218745
2022-01-29 09:00:00,13.8833,4.4531245
2022-01-29 10:00:00,10.2313,3.8281248
