time,SO2,SO2_model
2022-01-27 01:00:00,1.0,1.0742186
2022-01-27 02:00:00,1.1,0.9257812
2022-01-27 03:00:00,1.1,0.8496093
2022-01-27 04:00:00,1.02,0.8730468
2022-01-27 05:00:00,1.07,0.96874994
2022-01-27 06:00:00,0.97,1.1640624
2022-01-27 07:00:00,1.09,2.0624998
2022-01-27 08:00:00,0.91,2.7187498
2022-01-27 09:00:00,0.83,3.0156248
2022-01-27 10:00:00,1.12,3.1015623
2022-01-27 11:00:00,0.98,2.5703123
2022-01-27 12:00:00,0.9,1.9374999
2022-01-27 13:00:00,0.81,1.5234374
2022-01-27 14:00:00,0.85,1.5234374
2022-01-27 15:00:00,0.91,1.5234374
2022-01-27 16:00:00,1.0,2.2968748
2022-01-27 17:00:00,0.82,3.2812498
2022-01-27 18:00:00,1.02,4.4218745
2022-01-27 19:00:00,1.53,6.1406245
2022-01-27 20:00:00,0.96,7.5781245
2022-01-27 21:00:00,0.75,7.9999995
2022-01-27 22:00:00,0.97,8.374999
2022-01-27 23:00:00,2.82,7.2187495
2022-01-28 00:00:00,2.39,4.5937495
2022-01-28 01:00:00,2.94,4.3593745
2022-01-28 02:00:00,2.47,3.8203123
2022-01-28 03:00:00,1.27,3.5468748
2022-01-28 04:00:00,1.1,3.3437498
2022-01-28 05:00:00,1.19,3.2499998
2022-01-28 06:00:00,0.81,3.5468748
2022-01-28 07:00:00,0.98,4.4843745
2022-01-28 08:00:00,0.81,5.4374995
2022-01-28 09:00:00,0.8,5.2499995
2022-01-28 10:00:00,0.96,4.8906245
2022-01-28 11:00:00,1.08,3.8749998
2022-01-28 12:00:00,0.96,2.8984373
2022-01-28 13:00:00,1.04,1.9687499
2022-01-28 14:00:00,1.02,1.9687499
2022-01-28 15:00:00,1.08,1.9687499
2022-01-28 16:00:00,1.17,1.7617186
2022-01-28 17:00:00,1.01,1.5664061
2022-01-28 18:00:00,1.12,1.5976561
2022-01-28 19:00:00,0.99,1.8359374
2022-01-28 20:00:00,1.06,1.8789061
2022-01-28 21:00:00,1.01,1.6874999
2022-01-28 22:00:00,0.95,1.5664061
2022-01-28 23:00:00,1.1,1.2382811
2022-01-29 00:00:00,1.01,0.76757807
2022-01-29 01:00:00,0.92,0.61132807
2022-01-29 02:00:00,0.9,0.5605468
2022-01-29 03:00:00,0.97,0.5527343
2022-01-29 04:00:00,0.89,0.5371093
2022-01-29 05:00:00,0.88,0.49999997
2022-01-29 06:00:00,0.99,0.50781244
2022-01-29 07:00:00,0.86,0.76757807
2022-01-29 08:00:00,0.75,0.9257812
2022-01-29 09:00:00,0.6,0.98437494
2022-01-29 10:00:00,0.97,1.0468749
2022-01-29 11:00:00,1.05,0.95507807
2022-01-29 12:00:00,0.84,0.82812494
2022-01-29 13:00:00,0.75,0.7460937
2022-01-29 14:00:00,0.63,0.79882807
2022-01-29 15:00:00,0.52,0.8496093
2022-01-29 16:00:00,0.59,0.84374994
2022-01-29 17:00:00,0.61,0.9023437
2022-01-29 18:00:00,0.6,1.0468749
2022-01-29 19:00:00,0.54,1.5351561
2022-01-29 20:00:00,0.58,2.0312498
2022-01-29 21:00:00,0.72,2.1796873
2022-01-29 22:00:00,0.64,3.0468748
2022-01-29 23:00:00,0.67,3.3437498
2022-01-30 00:00:00,0.58,2.3593748
2022-01-30 01:00:00,0.52,2.2109373
2022-01-30 02:00:00,0.68,2.1484373
2022-01-30 03:00:00,0.8,2.2109373
2022-01-30 04:00:00,0.8,2.2109373
2022-01-30 05:00:00,0.8,2.3281248
2022-01-30 06:00:00,0.58,2.8671873
2022-01-30 07:00:00,0.83,5.3124995
2022-01-30 08:00:00,1.87,7.1562495
2022-01-30 09:00:00,3.7,7.0937495
2022-01-30 10:00:00,3.25,5.4843745
2022-01-30 11:00:00,1.31,4.5312495
2022-01-30 12:00:00,1.43,3.5781248
2022-01-30 13:00:00,1.52,2.2968748
2022-01-30 14:00:00,1.58,1.9687499
2022-01-30 15:00:00,1.54,1.7734374
2022-01-30 16:00:00,1.43,1.4023436
2022-01-30 17:00:00,1.56,1.0898436
2022-01-30 18:00:00,1.45,0.76757807
2022-01-30 19:00:00,1.24,0.7460937
2022-01-30 20:00:00,1.18,0.80468744
2022-01-30 21:00:00,1.22,0.81249994
2022-01-30 22:00:00,1.26,0.82031244
2022-01-30 23:00:00,1.29,0.66406244
2022-01-31 00:00:00,1.19,0.4287109
2022-01-31 01:00:00,1.23,0.49999997
2022-01-31 02:00:00,1.09,0.49999997
2022-01-31 03:00:00,1.12,0.5371093
2022-01-31 04:00:00,1.19,0.5820312
2022-01-31 05:00:00,0.91,0.64843744
2022-01-31 06:00:00,0.98,0.78320307
2022-01-31 07:00:00,1.1,1.2695311
2022-01-31 08:00:00,1.08,1.5820311
2022-01-31 09:00:00,1.21,1.6874999
2022-01-31 10:00:00,1.32,1.7460936
2022-01-31 11:00:00,1.4,1.5507811
2022-01-31 12:00:00,0.99,1.3593749
2022-01-31 13:00:00,1.12,1.2851561
2022-01-31 14:00:00,1.12,1.4179686
2022-01-31 15:00:00,1.33,1.5234374
2022-01-31 16:00:00,1.36,1.5078124
2022-01-31 17:00:00,1.25,1.6093749
2022-01-31 18:00:00,1.27,1.8359374
2022-01-31 19:00:00,1.19,2.1171873
2022-01-31 20:00:00,1.18,2.0624998
2022-01-31 21:00:00,1.26,1.7890624
2022-01-31 22:00:00,1.23,1.6718749
2022-01-31 23:00:00,1.29,1.3124999
2022-02-01 00:00:00,1.31,0.82031244
2022-02-01 01:00:00,1.24,0.67968744
2022-02-01 02:00:00,1.21,0.64257807
2022-02-01 03:00:00,0.97,0.62695307
2022-02-01 04:00:00,1.07,0.61132807
2022-02-01 05:00:00,1.15,0.62695307
2022-02-01 06:00:00,1.11,0.7089843
2022-02-01 07:00:00,1.08,1.1328124
2022-02-01 08:00:00,1.18,1.3867186
2022-02-01 09:00:00,1.16,1.4335936
2022-02-01 10:00:00,1.15,1.4921874
2022-02-01 11:00:00,1.17,1.3593749
2022-02-01 12:00:00,1.35,1.1953124
2022-02-01 13:00:00,1.3,1.0742186
2022-02-01 14:00:00,,1.0898436
2022-02-01 15:00:00,,1.0898436
2022-02-01 16:00:00,1.77,1.0312499
2022-02-01 17:00:00,1.48,1.0468749
2022-02-01 18:00:00,1.11,1.1484374
2022-02-01 19:00:00,1.01,1.3710936
2022-02-01 20:00:00,0.94,1.5078124
2022-02-01 21:00:00,0.83,1.4609374
2022-02-01 22:00:00,0.67,1.4765624
2022-02-01 23:00:00,0.56,1.2382811
2022-02-02 00:00:00,0.39,0.79882807
2022-02-02 01:00:00,0.53,0.66406244
2022-02-02 02:00:00,0.39,0.67968744
2022-02-02 03:00:00,0.38,0.7304687
2022-02-02 04:00:00,0.37,0.7460937
2022-02-02 05:00:00,0.42,0.7617187
2022-02-02 06:00:00,0.44,0.8808593
2022-02-02 07:00:00,0.45,1.5351561
2022-02-02 08:00:00,0.4,2.0937498
2022-02-02 09:00:00,0.63,2.3906248
2022-02-02 10:00:00,0.58,2.5703123
2022-02-02 11:00:00,0.54,2.3906248
2022-02-02 12:00:00,0.59,2.1484373
2022-02-02 13:00:00,0.71,1.8945311
2022-02-02 14:00:00,0.73,1.9101561
2022-02-02 15:00:00,0.79,1.9101561
2022-02-02 16:00:00,0.86,1.8945311
2022-02-02 17:00:00,0.94,2.0937498
2022-02-02 18:00:00,0.42,2.5390623
2022-02-02 19:00:00,0.82,3.4921873
2022-02-02 20:00:00,0.88,4.0624995
2022-02-02 21:00:00,0.79,3.9999998
2022-02-02 22:00:00,0.9,3.7890623
2022-02-02 23:00:00,0.82,2.9218748
2022-02-03 00:00:00,0.94,1.8632811
2022-02-03 01:00:00,0.86,1.6718749
2022-02-03 02:00:00,0.9,1.6249999
2022-02-03 03:00:00,0.83,1.6406249
2022-02-03 04:00:00,1.16,1.6249999
2022-02-03 05:00:00,0.98,1.5820311
2022-02-03 06:00:00,0.96,1.6406249
2022-02-03 07:00:00,1.06,2.2656248
2022-02-03 08:00:00,1.1,2.5937498
2022-02-03 09:00:00,1.21,2.5937498
2022-02-03 10:00:00,1.43,2.5937498
2022-02-03 11:00:00,1.68,2.3281248
2022-02-03 12:00:00,1.66,2.0624998
2022-02-03 13:00:00,1.74,1.8359374
2022-02-03 14:00:00,1.68,1.8203124
2022-02-03 15:00:00,1.52,1.7617186
2022-02-03 16:00:00,1.32,1.6093749
2022-02-03 17:00:00,1.49,1.5078124
