time,CO,CO_model
2022-01-27 01:00:00,520.0,347.0
2022-01-27 02:00:00,500.0,320.0
2022-01-27 03:00:00,470.0,300.0
2022-01-27 04:00:00,470.0,290.0
2022-01-27 05:00:00,460.0,290.0
2022-01-27 06:00:00,470.0,320.0
2022-01-27 07:00:00,450.0,370.0
2022-01-27 08:00:00,460.0,413.0
2022-01-27 09:00:00,440.0,440.0
2022-01-27 10:00:00,430.0,447.0
2022-01-27 11:00:00,420.0,447.0
2022-01-27 12:00:00,430.0,417.0
2022-01-27 13:00:00,450.0,297.0
2022-01-27 14:00:00,440.0,293.0
2022-01-27 15:00:00,450.0,287.0
2022-01-27 16:00:00,450.0,290.0
2022-01-27 17:00:00,460.0,300.0
2022-01-27 18:00:00,460.0,310.0
2022-01-27 19:00:00,450.0,320.0
2022-01-27 20:00:00,410.0,327.0
2022-01-27 21:00:00,410.0,330.0
2022-01-27 22:00:00,440.0,323.0
2022-01-27 23:00:00,430.0,303.0
2022-01-28 00:00:00,410.0,283.0
2022-01-28 01:00:00,410.0,297.0
2022-01-28 02:00:00,530.0,313.0
2022-01-28 03:00:00,520.0,323.0
2022-01-28 04:00:00,500.0,330.0
2022-01-28 05:00:00,550.0,337.0
2022-01-28 06:00:00,580.0,367.0
2022-01-28 07:00:00,600.0,397.0
2022-01-28 08:00:00,590.0,397.0
2022-01-28 09:00:00,570.0,380.0
2022-01-28 10:00:00,510.0,350.0
2022-01-28 11:00:00,500.0,307.0
2022-01-28 12:00:00,410.0,270.0
2022-01-28 13:00:00,420.0,240.0
2022-01-28 14:00:00,420.0,233.5
2022-01-28 15:00:00,430.0,233.5
2022-01-28 16:00:00,440.0,240.0
2022-01-28 17:00:00,450.0,253.5
2022-01-28 18:00:00,390.0,267.0
2022-01-28 19:00:00,370.0,287.0
2022-01-28 20:00:00,360.0,310.0
2022-01-28 21:00:00,380.0,337.0
2022-01-28 22:00:00,370.0,347.0
2022-01-28 23:00:00,400.0,337.0
2022-01-29 00:00:00,470.0,320.0
2022-01-29 01:00:00,520.0,307.0
2022-01-29 02:00:00,570.0,303.0
2022-01-29 03:00:00,600.0,297.0
2022-01-29 04:00:00,550.0,290.0
2022-01-29 05:00:00,510.0,290.0
2022-01-29 06:00:00,460.0,307.0
2022-01-29 07:00:00,420.0,340.0
2022-01-29 08:00:00,430.0,370.0
2022-01-29 09:00:00,450.0,390.0
2022-01-29 10:00:00,460.0,393.0
2022-01-29 11:00:00,530.0,377.0
2022-01-29 12:00:00,540.0,343.0
2022-01-29 13:00:00,460.0,257.0
2022-01-29 14:00:00,460.0,247.0
2022-01-29 15:00:00,490.0,243.5
2022-01-29 16:00:00,590.0,253.5
2022-01-29 17:00:00,600.0,273.0
2022-01-29 18:00:00,840.0,293.0
2022-01-29 19:00:00,750.0,317.0
2022-01-29 20:00:00,800.0,337.0
2022-01-29 21:00:00,1100.0,357.0
2022-01-29 22:00:00,990.0,367.0
2022-01-29 23:00:00,690.0,343.0
2022-01-30 00:00:00,680.0,310.0
2022-01-30 01:00:00,680.0,270.0
2022-01-30 02:00:00,720.0,257.0
2022-01-30 03:00:00,750.0,253.5
2022-01-30 04:00:00,580.0,253.5
2022-01-30 05:00:00,520.0,260.0
2022-01-30 06:00:00,570.0,287.0
2022-01-30 07:00:00,570.0,327.0
2022-01-30 08:00:00,610.0,360.0
2022-01-30 09:00:00,570.0,380.0
2022-01-30 10:00:00,630.0,387.0
2022-01-30 11:00:00,660.0,393.0
2022-01-30 12:00:00,640.0,387.0
2022-01-30 13:00:00,610.0,313.0
