time,CO,CO_model
2022-01-27 01:00:00,281.71504000000004,330.99997
2022-01-27 02:00:00,267.12692,330.99997
2022-01-27 03:00:00,256.83856,323.99997
2022-01-27 04:00:00,254.34381,313.99997
2022-01-27 05:00:00,260.30254,310.99997
2022-01-27 06:00:00,262.41323,313.99997
2022-01-27 07:00:00,261.84141999999997,317.99997
2022-01-27 08:00:00,245.52299,320.99997
2022-01-27 09:00:00,225.66310000000001,323.99997
2022-01-27 10:00:00,262.95328,323.99997
2022-01-27 11:00:00,321.06516,323.99997
2022-01-27 12:00:00,291.44329000000005,327.99997
2022-01-27 13:00:00,301.21714,323.99997
2022-01-27 14:00:00,291.86642,317.99997
2022-01-27 15:00:00,300.44538,313.99997
2022-01-27 16:00:00,321.32608,310.99997
2022-01-27 17:00:00,324.08446000000004,310.99997
2022-01-27 18:00:00,313.85904999999997,310.99997
2022-01-27 19:00:00,281.13282,313.99997
2022-01-27 20:00:00,276.824,320.99997
2022-01-27 21:00:00,280.1795,327.99997
2022-01-27 22:00:00,266.77021,330.99997
2022-01-27 23:00:00,259.95183,327.99997
2022-01-28 00:00:00,254.12673,330.99997
2022-01-28 01:00:00,251.48632999999998,337.99997
2022-01-28 02:00:00,242.01749,333.99997
2022-01-28 03:00:00,228.10011999999998,327.99997
2022-01-28 04:00:00,220.29375000000002,327.99997
2022-01-28 05:00:00,221.34715,323.99997
2022-01-28 06:00:00,226.45973999999998,330.99997
2022-01-28 07:00:00,249.28127,333.99997
2022-01-28 08:00:00,244.20056000000002,333.99997
2022-01-28 09:00:00,251.70516999999998,327.99997
2022-01-28 10:00:00,251.44847999999996,317.99997
2022-01-28 11:00:00,240.64440000000002,310.99997
2022-01-28 12:00:00,213.00113000000002,297.99997
2022-01-28 13:00:00,192.54515,283.99997
2022-01-28 14:00:00,187.6834,280.99997
2022-01-28 15:00:00,186.79643000000002,283.99997
2022-01-28 16:00:00,201.4637,293.99997
2022-01-28 17:00:00,240.85712,300.99997
2022-01-28 18:00:00,217.0063,310.99997
2022-01-28 19:00:00,216.16271,323.99997
2022-01-28 20:00:00,212.10292,330.99997
2022-01-28 21:00:00,210.52280000000002,330.99997
2022-01-28 22:00:00,207.98409,327.99997
2022-01-28 23:00:00,225.89691000000002,317.99997
2022-01-29 00:00:00,227.06148000000002,307.99997
2022-01-29 01:00:00,204.50783,313.99997
2022-01-29 02:00:00,194.61382999999998,303.99997
2022-01-29 03:00:00,185.10860000000002,297.99997
2022-01-29 04:00:00,198.05694,290.99997
2022-01-29 05:00:00,180.29079000000002,297.99997
2022-01-29 06:00:00,160.0337,300.99997
2022-01-29 07:00:00,186.72541,297.99997
2022-01-29 08:00:00,240.75362,290.99997
2022-01-29 09:00:00,256.38673,290.99997
2022-01-29 10:00:00,255.75641,287.99997
2022-01-29 11:00:00,258.65072,283.99997
2022-01-29 12:00:00,275.1568,280.99997
2022-01-29 13:00:00,253.88122,273.99997
2022-01-29 14:00:00,228.35469,270.99997
2022-01-29 15:00:00,231.7169,270.99997
2022-01-29 16:00:00,226.20422000000002,267.99997
2022-01-29 17:00:00,222.56728,267.99997
2022-01-29 18:00:00,222.71919,267.99997
2022-01-29 19:00:00,214.48854,267.99997
2022-01-29 20:00:00,208.61499,267.99997
2022-01-29 21:00:00,211.65478,270.99997
2022-01-29 22:00:00,207.16000000000003,273.99997
2022-01-29 23:00:00,201.85681,270.99997
2022-01-30 00:00:00,190.08702,263.99997
2022-01-30 01:00:00,182.13341,263.99997
2022-01-30 02:00:00,176.78252,260.99997
2022-01-30 03:00:00,176.42692,260.99997
2022-01-30 04:00:00,171.88381,257.99997
2022-01-30 05:00:00,167.66489,253.99998
2022-01-30 06:00:00,163.78412,257.99997
2022-01-30 07:00:00,162.47519999999997,267.99997
2022-01-30 08:00:00,198.51089,270.99997
2022-01-30 09:00:00,247.10730999999998,273.99997
2022-01-30 10:00:00,199.18950999999998,270.99997
2022-01-30 11:00:00,164.91553000000002,270.99997
2022-01-30 12:00:00,144.46521,270.99997
2022-01-30 13:00:00,154.47268,263.99997
2022-01-30 14:00:00,162.2971,260.99997
2022-01-30 15:00:00,155.37715,260.99997
2022-01-30 16:00:00,191.91449999999998,273.99997
2022-01-30 17:00:00,215.59784000000002,287.99997
2022-01-30 18:00:00,214.04529,300.99997
2022-01-30 19:00:00,217.51202999999998,313.99997
2022-01-30 20:00:00,229.52853000000002,323.99997
2022-01-30 21:00:00,232.30386000000001,337.99997
2022-01-30 22:00:00,227.0958,340.99997
