time,NO2,NO2_model
2022-01-27 01:00:00,8.60625,4.4999995
2022-01-27 02:00:00,8.415,3.2187498
2022-01-27 03:00:00,7.45875,2.6562498
2022-01-27 04:00:00,5.7375,2.3593748
2022-01-27 05:00:00,7.45875,2.3593748
2022-01-27 06:00:00,10.90125,2.7265623
2022-01-27 07:00:00,15.3,4.0312495
2022-01-27 08:00:00,31.55625,6.0937495
2022-01-27 09:00:00,39.3975,6.7812495
2022-01-27 10:00:00,33.66,6.3437495
2022-01-27 11:00:00,24.48,5.9999995
2022-01-27 12:00:00,,5.5781245
2022-01-27 13:00:00,21.99375,5.1562495
2022-01-27 14:00:00,19.89,5.0624995
2022-01-27 15:00:00,21.42,5.2812495
2022-01-27 16:00:00,25.6275,5.9218745
2022-01-27 17:00:00,36.72,7.2968745
2022-01-27 18:00:00,44.56125,8.656249
2022-01-27 19:00:00,45.9,9.281249
2022-01-27 20:00:00,46.2825,9.531249
2022-01-27 21:00:00,44.94375,9.781249
2022-01-27 22:00:00,43.9875,10.218749
2022-01-27 23:00:00,48.00375,10.374999
2022-01-28 00:00:00,44.56125,9.874999
2022-01-28 01:00:00,47.0475,11.843749
2022-01-28 02:00:00,25.245,10.968749
2022-01-28 03:00:00,20.84625,10.218749
2022-01-28 04:00:00,28.305,9.874999
2022-01-28 05:00:00,37.67625,10.468749
2022-01-28 06:00:00,43.9875,13.031249
2022-01-28 07:00:00,48.00375,21.124998
2022-01-28 08:00:00,50.1075,30.874998
2022-01-28 09:00:00,53.35875,34.999996
2022-01-28 10:00:00,46.85625,29.187498
2022-01-28 11:00:00,37.485,24.687498
2022-01-28 12:00:00,28.49625,18.874998
2022-01-28 13:00:00,23.14125,9.343749
2022-01-28 14:00:00,22.37625,8.843749
2022-01-28 15:00:00,24.67125,9.968749
2022-01-28 16:00:00,30.79125,10.312499
2022-01-28 17:00:00,33.85125,10.031249
2022-01-28 18:00:00,31.55625,10.124999
2022-01-28 19:00:00,27.54,9.968749
2022-01-28 20:00:00,23.90625,9.343749
2022-01-28 21:00:00,26.20125,8.312499
2022-01-28 22:00:00,23.14125,7.2031245
2022-01-28 23:00:00,20.08125,6.4374995
2022-01-29 00:00:00,24.28875,5.3124995
2022-01-29 01:00:00,16.63875,3.2578123
2022-01-29 02:00:00,13.19625,2.4062498
2022-01-29 03:00:00,6.12,1.9531249
2022-01-29 04:00:00,6.31125,1.7578124
2022-01-29 05:00:00,7.65,1.7148436
2022-01-29 06:00:00,5.355,1.8671874
2022-01-29 07:00:00,10.71,2.5546873
2022-01-29 08:00:00,11.28375,3.7734373
2022-01-29 09:00:00,10.3275,4.2968745
2022-01-29 10:00:00,11.66625,3.9062498
2022-01-29 11:00:00,10.3275,3.3906248
2022-01-29 12:00:00,10.3275,2.8749998
2022-01-29 13:00:00,9.18,2.5546873
2022-01-29 14:00:00,10.90125,2.4453123
2022-01-29 15:00:00,8.60625,2.5781248
2022-01-29 16:00:00,10.3275,2.5781248
2022-01-29 17:00:00,11.8575,2.9999998
2022-01-29 18:00:00,14.535,3.5156248
2022-01-29 19:00:00,15.3,3.7734373
2022-01-29 20:00:00,13.57875,3.8593748
2022-01-29 21:00:00,14.72625,3.8593748
2022-01-29 22:00:00,14.535,3.9843748
2022-01-29 23:00:00,12.43125,4.2499995
2022-01-30 00:00:00,13.3875,4.1249995
2022-01-30 01:00:00,16.065,4.1249995
2022-01-30 02:00:00,14.9175,4.3749995
2022-01-30 03:00:00,15.10875,4.8124995
2022-01-30 04:00:00,20.2725,5.3593745
2022-01-30 05:00:00,19.5075,6.0937495
2022-01-30 06:00:00,23.14125,7.2031245
2022-01-30 07:00:00,28.87875,11.156249
2022-01-30 08:00:00,29.64375,16.624998
2022-01-30 09:00:00,36.91125,20.062498
2022-01-30 10:00:00,33.66,20.624998
2022-01-30 11:00:00,29.4525,21.937498
2022-01-30 12:00:00,21.0375,23.687498
2022-01-30 13:00:00,13.96125,12.531249
2022-01-30 14:00:00,14.1525,8.062499
2022-01-30 15:00:00,14.72625,5.9218745
2022-01-30 16:00:00,14.535,5.2343745
2022-01-30 17:00:00,17.40375,5.3593745
2022-01-30 18:00:00,17.40375,7.2031245
2022-01-30 19:00:00,15.6825,6.6093745
2022-01-30 20:00:00,13.57875,4.8906245
2022-01-30 21:00:00,12.24,3.8593748
2022-01-30 22:00:00,8.415,3.1328123
2022-01-30 23:00:00,4.78125,2.6406248
2022-01-31 00:00:00,3.63375,1.8671874
2022-01-31 01:00:00,3.825,1.3710936
2022-01-31 02:00:00,2.295,1.2460936
2022-01-31 03:00:00,2.6775,1.2539061
2022-01-31 04:00:00,2.86875,1.2656249
2022-01-31 05:00:00,3.25125,1.3085936
2022-01-31 06:00:00,5.16375,1.4374999
2022-01-31 07:00:00,8.415,1.9921874
2022-01-31 08:00:00,15.3,2.9140623
2022-01-31 09:00:00,17.78625,3.6874998
2022-01-31 10:00:00,17.40375,3.9062498
2022-01-31 11:00:00,13.77,3.5156248
2022-01-31 12:00:00,16.25625,3.0859373
2022-01-31 13:00:00,18.36,2.7890623
2022-01-31 14:00:00,16.83,3.0859373
2022-01-31 15:00:00,20.84625,3.5624998
2022-01-31 16:00:00,23.3325,4.5468745
2022-01-31 17:00:00,29.64375,6.0937495
2022-01-31 18:00:00,33.2775,7.2031245
2022-01-31 19:00:00,26.58375,7.8124995
2022-01-31 20:00:00,27.9225,7.6406245
2022-01-31 21:00:00,26.96625,7.2031245
2022-01-31 22:00:00,23.14125,6.6093745
2022-01-31 23:00:00,22.75875,6.0937495
2022-02-01 00:00:00,18.55125,5.8281245
2022-02-01 01:00:00,11.28375,7.5468745
2022-02-01 02:00:00,7.2675,4.5937495
2022-02-01 03:00:00,8.60625,2.8749998
2022-02-01 04:00:00,5.16375,2.2109373
2022-02-01 05:00:00,4.78125,2.0624998
2022-02-01 06:00:00,6.5025,2.1874998
2022-02-01 07:00:00,10.51875,3.0468748
2022-02-01 08:00:00,23.52375,4.7187495
2022-02-01 09:00:00,32.13,5.9999995
2022-02-01 10:00:00,25.81875,6.5156245
2022-02-01 11:00:00,16.83,6.3437495
2022-02-01 12:00:00,14.72625,5.9218745
2022-02-01 13:00:00,17.40375,5.4843745
2022-02-01 14:00:00,16.4475,5.1562495
2022-02-01 15:00:00,17.78625,4.7187495
2022-02-01 16:00:00,17.02125,4.4218745
2022-02-01 17:00:00,21.22875,4.8437495
2022-02-01 18:00:00,18.93375,5.4062495
2022-02-01 19:00:00,15.6825,5.6562495
2022-02-01 20:00:00,13.57875,5.7499995
2022-02-01 21:00:00,14.34375,5.7499995
2022-02-01 22:00:00,9.75375,5.7499995
2022-02-01 23:00:00,12.24,5.6562495
2022-02-02 00:00:00,10.51875,5.1562495
2022-02-02 01:00:00,5.7375,4.6406245
2022-02-02 02:00:00,7.07625,4.4218745
2022-02-02 03:00:00,4.9725,3.9062498
2022-02-02 04:00:00,4.01625,3.2187498
2022-02-02 05:00:00,4.39875,2.8749998
2022-02-02 06:00:00,8.22375,2.9609373
2022-02-02 07:00:00,11.8575,3.8203123
2022-02-02 08:00:00,16.4475,5.8281245
2022-02-02 09:00:00,24.0975,8.062499
2022-02-02 10:00:00,23.14125,9.437499
2022-02-02 11:00:00,22.37625,8.843749
2022-02-02 12:00:00,25.245,7.2968745
2022-02-02 13:00:00,25.43625,6.0937495
2022-02-02 14:00:00,25.81875,6.2656245
2022-02-02 15:00:00,37.1025,7.5468745
2022-02-02 16:00:00,50.49,9.281249
2022-02-02 17:00:00,62.73,11.843749
2022-02-02 18:00:00,62.53875,14.062499
2022-02-02 19:00:00,57.375,15.937499
2022-02-02 20:00:00,50.29875,17.499998
2022-02-02 21:00:00,42.64875,18.562498
2022-02-02 22:00:00,31.93875,17.874998
2022-02-02 23:00:00,23.3325,15.624999
2022-02-03 00:00:00,21.99375,12.531249
2022-02-03 01:00:00,21.0375,12.531249
2022-02-03 02:00:00,10.3275,9.781249
2022-02-03 03:00:00,11.0925,8.937499
2022-02-03 04:00:00,8.7975,8.249999
2022-02-03 05:00:00,7.65,6.7812495
2022-02-03 06:00:00,9.945,5.6562495
2022-02-03 07:00:00,15.49125,6.2656245
2022-02-03 08:00:00,25.6275,8.937499
2022-02-03 09:00:00,31.365,11.312499
2022-02-03 10:00:00,30.6,11.156249
2022-02-03 11:00:00,22.5675,9.781249
2022-02-03 12:00:00,26.96625,8.406249
2022-02-03 13:00:00,29.4525,6.7812495
