time,NO2,NO2_model
2022-01-27 01:00:00,13.318,12.343749
2022-01-27 02:00:00,14.804,12.687499
2022-01-27 03:00:00,15.448,12.687499
2022-01-27 04:00:00,14.18,12.187499
2022-01-27 05:00:00,16.723,11.156249
2022-01-27 06:00:00,13.139,11.499999
2022-01-27 07:00:00,13.704,12.687499
2022-01-27 08:00:00,18.012,13.562499
2022-01-27 09:00:00,15.559,13.718749
2022-01-27 10:00:00,17.087,12.343749
2022-01-27 11:00:00,31.167,9.874999
2022-01-27 12:00:00,29.951,7.4687495
2022-01-27 13:00:00,21.049,5.7499995
2022-01-27 14:00:00,22.216,5.2343745
2022-01-27 15:00:00,16.826,5.1874995
2022-01-27 16:00:00,17.258,5.2343745
2022-01-27 17:00:00,20.783,5.3593745
2022-01-27 18:00:00,18.63,5.4843745
2022-01-27 19:00:00,18.161,5.5781245
2022-01-27 20:00:00,15.777,5.4062495
2022-01-27 21:00:00,19.046,5.1874995
2022-01-27 22:00:00,20.303,4.8437495
2022-01-27 23:00:00,19.73,4.2499995
2022-01-28 00:00:00,19.067,4.1562495
2022-01-28 01:00:00,14.455,3.3906248
2022-01-28 02:00:00,16.665,3.3437498
2022-01-28 03:00:00,11.715,3.3906248
2022-01-28 04:00:00,15.289,3.4296873
2022-01-28 05:00:00,12.239,3.7734373
2022-01-28 06:00:00,24.815,5.2812495
2022-01-28 07:00:00,21.66,6.8593745
2022-01-28 08:00:00,27.721,7.6406245
2022-01-28 09:00:00,23.658,7.8124995
2022-01-28 10:00:00,22.553,7.2031245
2022-01-28 11:00:00,19.458,6.4374995
2022-01-28 12:00:00,23.47,5.9218745
2022-01-28 13:00:00,32.19,7.2031245
2022-01-28 14:00:00,,8.937499
2022-01-28 15:00:00,35.035,10.812499
2022-01-28 16:00:00,50.732,12.531249
2022-01-28 17:00:00,44.866,14.749999
2022-01-28 18:00:00,32.594,16.999998
2022-01-28 19:00:00,24.987,18.187498
2022-01-28 20:00:00,14.391,15.781249
2022-01-28 21:00:00,15.805,14.593749
2022-01-28 22:00:00,14.741,12.343749
2022-01-28 23:00:00,15.538,10.968749
2022-01-29 00:00:00,14.513,13.031249
2022-01-29 01:00:00,16.508,16.812498
2022-01-29 02:00:00,17.646,17.187498
2022-01-29 03:00:00,17.324,16.999998
2022-01-29 04:00:00,14.764,16.499998
2022-01-29 05:00:00,13.812,14.749999
2022-01-29 06:00:00,14.145,13.374999
2022-01-29 07:00:00,15.046,12.343749
2022-01-29 08:00:00,14.538,11.156249
2022-01-29 09:00:00,13.74,10.124999
2022-01-29 10:00:00,10.966,9.531249
2022-01-29 11:00:00,18.942,8.999999
2022-01-29 12:00:00,12.402,7.9687495
2022-01-29 13:00:00,12.313,6.6874995
2022-01-29 14:00:00,17.328,5.9999995
2022-01-29 15:00:00,14.87,5.6562495
2022-01-29 16:00:00,19.206,5.4531245
2022-01-29 17:00:00,5.742,4.7656245
2022-01-29 18:00:00,8.044,4.1249995
2022-01-29 19:00:00,9.968,3.9843748
2022-01-29 20:00:00,9.114,3.7734373
2022-01-29 21:00:00,8.275,3.6874998
2022-01-29 22:00:00,7.721,3.4296873
2022-01-29 23:00:00,6.669,2.8749998
2022-01-30 00:00:00,6.168,2.7031248
2022-01-30 01:00:00,10.819,2.4062498
2022-01-30 02:00:00,9.636,2.3359373
2022-01-30 03:00:00,10.117,2.2968748
2022-01-30 04:00:00,11.626,2.3828123
2022-01-30 05:00:00,11.999,2.7421873
2022-01-30 06:00:00,7.811,3.7343748
2022-01-30 07:00:00,10.453,4.5468745
2022-01-30 08:00:00,10.828,4.3749995
2022-01-30 09:00:00,6.79,3.6874998
2022-01-30 10:00:00,7.526,3.0468748
2022-01-30 11:00:00,11.501,2.6406248
2022-01-30 12:00:00,8.524,2.4218748
2022-01-30 13:00:00,7.39,2.4921873
2022-01-30 14:00:00,7.994,2.8749998
2022-01-30 15:00:00,8.353,3.3437498
2022-01-30 16:00:00,16.242,4.2499995
2022-01-30 17:00:00,18.031,5.5781245
2022-01-30 18:00:00,26.441,6.8593745
2022-01-30 19:00:00,21.745,7.9687495
2022-01-30 20:00:00,13.055,8.656249
2022-01-30 21:00:00,17.978,9.343749
2022-01-30 22:00:00,22.073,9.624999
2022-01-30 23:00:00,7.744,9.093749
2022-01-31 00:00:00,7.929,9.687499
2022-01-31 01:00:00,11.494,10.312499
2022-01-31 02:00:00,15.396,9.187499
2022-01-31 03:00:00,11.912,9.781249
2022-01-31 04:00:00,21.419,11.656249
2022-01-31 05:00:00,13.719,17.999998
2022-01-31 06:00:00,20.443,28.499998
2022-01-31 07:00:00,23.123,34.624996
2022-01-31 08:00:00,23.253,39.499996
2022-01-31 09:00:00,20.199,43.249996
2022-01-31 10:00:00,18.296,44.624996
2022-01-31 11:00:00,18.095,43.624996
2022-01-31 12:00:00,19.064,34.624996
2022-01-31 13:00:00,22.677,22.312498
2022-01-31 14:00:00,20.75,20.062498
2022-01-31 15:00:00,31.729,19.562498
2022-01-31 16:00:00,28.365,21.624998
2022-01-31 17:00:00,22.536,26.749998
2022-01-31 18:00:00,26.038,29.187498
2022-01-31 19:00:00,41.66,28.812498
2022-01-31 20:00:00,38.997,27.812498
2022-01-31 21:00:00,32.274,28.124998
2022-01-31 22:00:00,42.965,25.062498
2022-01-31 23:00:00,27.903,17.187498
2022-02-01 00:00:00,45.672,10.624999
2022-02-01 01:00:00,33.287,12.687499
2022-02-01 02:00:00,28.437,11.156249
2022-02-01 03:00:00,28.272,10.374999
2022-02-01 04:00:00,23.32,9.781249
2022-02-01 05:00:00,46.984,10.124999
2022-02-01 06:00:00,52.236,12.343749
2022-02-01 07:00:00,19.331,14.249999
2022-02-01 08:00:00,31.228,14.406249
2022-02-01 09:00:00,13.371,13.218749
2022-02-01 10:00:00,11.38,12.687499
2022-02-01 11:00:00,15.245,11.312499
2022-02-01 12:00:00,11.957,11.656249
2022-02-01 13:00:00,15.758,13.031249
2022-02-01 14:00:00,26.97,11.843749
2022-02-01 15:00:00,22.354,8.749999
2022-02-01 16:00:00,23.393,6.5156245
2022-02-01 17:00:00,22.889,6.1718745
2022-02-01 18:00:00,21.073,5.4843745
2022-02-01 19:00:00,19.457,5.1562495
2022-02-01 20:00:00,18.751,5.2343745
2022-02-01 21:00:00,20.784,5.3593745
2022-02-01 22:00:00,17.596,5.2812495
2022-02-01 23:00:00,19.564,4.5937495
2022-02-02 00:00:00,18.844,4.4218745
2022-02-02 01:00:00,18.552,3.8593748
2022-02-02 02:00:00,20.206,3.7343748
2022-02-02 03:00:00,17.539,3.6484373
2022-02-02 04:00:00,19.934,3.6874998
2022-02-02 05:00:00,22.999,4.2031245
2022-02-02 06:00:00,31.396,5.7499995
2022-02-02 07:00:00,35.178,7.2968745
2022-02-02 08:00:00,32.794,7.6406245
2022-02-02 09:00:00,23.538,7.1249995
2022-02-02 10:00:00,,6.1718745
2022-02-02 11:00:00,,5.1093745
2022-02-02 12:00:00,20.201,4.2968745
2022-02-02 13:00:00,20.061,4.4218745
2022-02-02 14:00:00,21.234,5.9999995
2022-02-02 15:00:00,29.054,7.8124995
2022-02-02 16:00:00,32.217,10.812499
2022-02-02 17:00:00,43.194,14.062499
2022-02-02 18:00:00,55.13,16.624998
2022-02-02 19:00:00,53.958,18.687498
2022-02-02 20:00:00,23.857,19.937498
2022-02-02 21:00:00,13.488,20.749998
2022-02-02 22:00:00,15.204,19.937498
2022-02-02 23:00:00,17.873,18.374998
2022-02-03 00:00:00,12.05,18.562498
2022-02-03 01:00:00,10.961,20.937498
2022-02-03 02:00:00,9.064,20.937498
2022-02-03 03:00:00,9.454,20.249998
2022-02-03 04:00:00,11.095,19.937498
2022-02-03 05:00:00,23.954,20.624998
2022-02-03 06:00:00,32.536,25.749998
2022-02-03 07:00:00,31.6,30.874998
2022-02-03 08:00:00,31.488,33.624996
2022-02-03 09:00:00,22.019,32.249996
2022-02-03 10:00:00,19.673,25.374998
2022-02-03 11:00:00,18.397,20.749998
2022-02-03 12:00:00,17.121,20.437498
2022-02-03 13:00:00,16.15,21.249998
2022-02-03 14:00:00,14.337,22.312498
2022-02-03 15:00:00,20.807,22.999998
2022-02-03 16:00:00,27.45,25.062498
2022-02-03 17:00:00,24.288,27.812498
