time,O3,O3_model
2022-01-27 01:00:00,27.0,57.249996
2022-01-27 02:00:00,30.0,54.374996
2022-01-27 03:00:00,23.0,52.249996
2022-01-27 04:00:00,22.0,50.874996
2022-01-27 05:00:00,27.0,47.999996
2022-01-27 06:00:00,23.0,38.624996
2022-01-27 07:00:00,13.0,27.937498
2022-01-27 08:00:00,6.0,21.124998
2022-01-27 09:00:00,7.0,21.312498
2022-01-27 10:00:00,9.0,57.999996
2022-01-27 11:00:00,15.0,65.99999
2022-01-27 12:00:00,38.0,69.49999
2022-01-27 13:00:00,54.0,75.24999
2022-01-27 14:00:00,67.0,79.49999
2022-01-27 15:00:00,70.0,81.74999
2022-01-27 16:00:00,73.0,81.74999
2022-01-27 17:00:00,55.0,79.49999
2022-01-27 18:00:00,64.0,77.24999
2022-01-27 19:00:00,68.0,60.124996
2022-01-27 20:00:00,59.0,40.874996
2022-01-27 21:00:00,12.0,29.687498
2022-01-27 22:00:00,26.0,25.749998
2022-01-27 23:00:00,56.0,29.687498
2022-01-28 00:00:00,54.0,34.749996
2022-01-28 01:00:00,61.0,42.624996
2022-01-28 02:00:00,62.0,43.749996
2022-01-28 03:00:00,28.0,44.374996
2022-01-28 04:00:00,33.0,43.749996
2022-01-28 05:00:00,27.0,41.249996
2022-01-28 06:00:00,13.0,31.874998
2022-01-28 07:00:00,7.0,20.062498
2022-01-28 08:00:00,4.0,13.968749
2022-01-28 09:00:00,8.0,21.687498
2022-01-28 10:00:00,15.0,52.249996
2022-01-28 11:00:00,36.0,62.249996
2022-01-28 12:00:00,57.0,68.74999
2022-01-28 13:00:00,67.0,82.49999
2022-01-28 14:00:00,73.0,85.99999
2022-01-28 15:00:00,80.0,86.74999
2022-01-28 16:00:00,77.0,60.124996
2022-01-28 17:00:00,69.0,28.999998
2022-01-28 18:00:00,39.0,6.4374995
2022-01-28 19:00:00,47.0,3.2187498
2022-01-28 20:00:00,18.0,4.9218745
2022-01-28 21:00:00,16.0,8.499999
2022-01-28 22:00:00,36.0,20.062498
2022-01-28 23:00:00,54.0,34.374996
2022-01-29 00:00:00,59.0,47.249996
2022-01-29 01:00:00,54.0,46.499996
2022-01-29 02:00:00,58.0,48.749996
2022-01-29 03:00:00,53.0,50.874996
2022-01-29 04:00:00,17.0,51.499996
2022-01-29 05:00:00,34.0,50.874996
2022-01-29 06:00:00,42.0,44.749996
2022-01-29 07:00:00,15.0,37.624996
2022-01-29 08:00:00,4.0,32.624996
2022-01-29 09:00:00,10.0,35.874996
2022-01-29 10:00:00,38.0,55.874996
2022-01-29 11:00:00,51.0,65.24999
2022-01-29 12:00:00,59.0,70.99999
2022-01-29 13:00:00,74.0,84.49999
2022-01-29 14:00:00,79.0,86.74999
2022-01-29 15:00:00,87.0,86.74999
2022-01-29 16:00:00,85.0,62.249996
2022-01-29 17:00:00,71.0,36.124996
2022-01-29 18:00:00,50.0,18.437498
2022-01-29 19:00:00,48.0,15.749999
2022-01-29 20:00:00,37.0,18.249998
2022-01-29 21:00:00,33.0,20.749998
2022-01-29 22:00:00,55.0,24.687498
2022-01-29 23:00:00,59.0,33.374996
2022-01-30 00:00:00,64.0,42.624996
2022-01-30 01:00:00,29.0,48.749996
2022-01-30 02:00:00,5.0,52.999996
2022-01-30 03:00:00,7.0,55.874996
2022-01-30 04:00:00,5.0,57.249996
2022-01-30 05:00:00,22.0,55.874996
2022-01-30 06:00:00,17.0,49.374996
2022-01-30 07:00:00,11.0,40.874996
2022-01-30 08:00:00,4.0,33.624996
2022-01-30 09:00:00,14.0,32.999996
2022-01-30 10:00:00,36.0,53.749996
2022-01-30 11:00:00,45.0,61.624996
2022-01-30 12:00:00,58.0,63.749996
2022-01-30 13:00:00,74.0,82.49999
2022-01-30 14:00:00,78.0,82.99999
2022-01-30 15:00:00,80.0,83.74999
2022-01-30 16:00:00,78.0,81.74999
2022-01-30 17:00:00,57.0,76.74999
2022-01-30 18:00:00,29.0,72.99999
2022-01-30 19:00:00,8.0,66.74999
2022-01-30 20:00:00,16.0,59.374996
2022-01-30 21:00:00,24.0,52.999996
2022-01-30 22:00:00,44.0,36.124996
2022-01-30 23:00:00,46.0,21.874998
2022-01-31 00:00:00,52.0,16.812498
2022-01-31 01:00:00,51.0,21.124998
2022-01-31 02:00:00,50.0,23.624998
2022-01-31 03:00:00,45.0,26.124998
2022-01-31 04:00:00,51.0,26.874998
2022-01-31 05:00:00,46.0,23.249998
2022-01-31 06:00:00,12.0,11.999999
2022-01-31 07:00:00,5.0,2.3046873
2022-01-31 08:00:00,4.0,0.34960935
2022-01-31 09:00:00,8.0,4.7968745
2022-01-31 10:00:00,11.0,58.749996
2022-01-31 11:00:00,13.0,62.249996
2022-01-31 12:00:00,34.0,65.24999
2022-01-31 13:00:00,54.0,80.99999
2022-01-31 14:00:00,62.0,81.74999
2022-01-31 15:00:00,64.0,80.24999
2022-01-31 16:00:00,63.0,75.99999
2022-01-31 17:00:00,49.0,69.49999
2022-01-31 18:00:00,14.0,64.49999
2022-01-31 19:00:00,4.0,53.749996
2022-01-31 20:00:00,8.0,42.999996
2022-01-31 21:00:00,23.0,36.499996
2022-01-31 22:00:00,6.0,33.999996
2022-01-31 23:00:00,6.0,36.874996
2022-02-01 00:00:00,7.0,40.874996
2022-02-01 01:00:00,16.0,50.874996
2022-02-01 02:00:00,48.0,48.749996
2022-02-01 03:00:00,43.0,45.499996
2022-02-01 04:00:00,44.0,41.499996
2022-02-01 05:00:00,42.0,35.874996
2022-02-01 06:00:00,18.0,25.749998
2022-02-01 07:00:00,8.0,14.499999
2022-02-01 08:00:00,4.0,9.124999
2022-02-01 09:00:00,11.0,19.187498
2022-02-01 10:00:00,34.0,57.249996
2022-02-01 11:00:00,54.0,67.99999
2022-02-01 12:00:00,73.0,72.24999
2022-02-01 13:00:00,77.0,85.99999
2022-02-01 14:00:00,83.0,90.24999
2022-02-01 15:00:00,83.0,90.24999
2022-02-01 16:00:00,83.0,87.99999
2022-02-01 17:00:00,79.0,82.99999
2022-02-01 18:00:00,42.0,77.99999
2022-02-01 19:00:00,18.0,49.374996
2022-02-01 20:00:00,32.0,22.374998
2022-02-01 21:00:00,36.0,7.9687495
2022-02-01 22:00:00,45.0,3.6249998
2022-02-01 23:00:00,46.0,4.3906245
2022-02-02 00:00:00,45.0,7.7812495
2022-02-02 01:00:00,45.0,17.937498
2022-02-02 02:00:00,44.0,26.124998
2022-02-02 03:00:00,45.0,31.874998
2022-02-02 04:00:00,47.0,31.499998
2022-02-02 05:00:00,46.0,28.624998
2022-02-02 06:00:00,36.0,20.749998
2022-02-02 07:00:00,22.0,11.999999
2022-02-02 08:00:00,10.0,6.4374995
2022-02-02 09:00:00,7.0,13.968749
2022-02-02 10:00:00,12.0,32.624996
2022-02-02 11:00:00,17.0,41.499996
2022-02-02 12:00:00,,48.749996
2022-02-02 13:00:00,,75.99999
2022-02-02 14:00:00,,82.99999
2022-02-02 15:00:00,76.0,85.99999
2022-02-02 16:00:00,73.0,58.749996
2022-02-02 17:00:00,65.0,23.624998
2022-02-02 18:00:00,18.0,2.8671873
2022-02-02 19:00:00,7.0,0.88476557
2022-02-02 20:00:00,12.0,1.7695311
2022-02-02 21:00:00,19.0,2.8671873
2022-02-02 22:00:00,28.0,5.5468745
2022-02-02 23:00:00,36.0,10.562499
2022-02-03 00:00:00,40.0,16.124998
2022-02-03 01:00:00,51.0,17.562498
2022-02-03 02:00:00,55.0,24.374998
2022-02-03 03:00:00,30.0,29.687498
2022-02-03 04:00:00,31.0,32.249996
2022-02-03 05:00:00,57.0,30.062498
2022-02-03 06:00:00,37.0,18.812498
2022-02-03 07:00:00,39.0,5.1562495
2022-02-03 08:00:00,18.0,0.8730468
2022-02-03 09:00:00,6.0,6.7968745
2022-02-03 10:00:00,10.0,14.312499
2022-02-03 11:00:00,15.0,19.499998
2022-02-03 12:00:00,38.0,23.249998
2022-02-03 13:00:00,56.0,78.74999
2022-02-03 14:00:00,67.0,87.49999
2022-02-03 15:00:00,76.0,90.99999
2022-02-03 16:00:00,76.0,90.99999
2022-02-03 17:00:00,76.0,87.99999
2022-02-03 18:00:00,40.0,85.24999
2022-02-03 19:00:00,5.0,77.24999
2022-02-03 20:00:00,14.0,68.74999
2022-02-03 21:00:00,30.0,62.999996
2022-02-03 22:00:00,44.0,52.999996
2022-02-03 23:00:00,51.0,42.624996
2022-02-04 00:00:00,57.0,36.874996
2022-02-04 01:00:00,57.0,37.249996
2022-02-04 02:00:00,53.0,33.999996
2022-02-04 03:00:00,56.0,32.999996
2022-02-04 04:00:00,59.0,36.124996
2022-02-04 05:00:00,55.0,40.124996
2022-02-04 06:00:00,43.0,37.999996
2022-02-04 07:00:00,9.0,31.124998
2022-02-04 08:00:00,6.0,27.187498
2022-02-04 09:00:00,6.0,38.624996
2022-02-04 10:00:00,14.0,69.49999
2022-02-04 11:00:00,15.0,73.74999
2022-02-04 12:00:00,21.0,76.74999
2022-02-04 13:00:00,26.0,86.74999
2022-02-04 14:00:00,29.0,85.24999
2022-02-04 15:00:00,56.0,82.49999
2022-02-04 16:00:00,58.0,79.49999
2022-02-04 17:00:00,45.0,77.24999
2022-02-04 18:00:00,12.0,75.24999
2022-02-04 19:00:00,10.0,69.49999
2022-02-04 20:00:00,10.0,62.249996
2022-02-04 21:00:00,39.0,56.624996
2022-02-04 22:00:00,12.0,53.749996
2022-02-04 23:00:00,7.0,52.999996
2022-02-05 00:00:00,7.0,53.749996
2022-02-05 01:00:00,12.0,38.624996
2022-02-05 02:00:00,13.0,39.749996
2022-02-05 03:00:00,16.0,39.749996
2022-02-05 04:00:00,18.0,38.374996
2022-02-05 05:00:00,13.0,36.499996
2022-02-05 06:00:00,9.0,32.999996
2022-02-05 07:00:00,5.0,28.624998
2022-02-05 08:00:00,5.0,24.374998
2022-02-05 09:00:00,9.0,20.624998
2022-02-05 10:00:00,12.0,35.124996
2022-02-05 11:00:00,23.0,42.624996
