time,O3,O3_model
2022-01-27 01:00:00,-0.18,24.687498
2022-01-27 02:00:00,-0.1,31.124998
2022-01-27 03:00:00,-0.07,36.874996
2022-01-27 04:00:00,0.05,40.499996
2022-01-27 05:00:00,0.28,42.624996
2022-01-27 06:00:00,0.2,40.874996
2022-01-27 07:00:00,0.12,31.874998
2022-01-27 08:00:00,0.63,26.124998
2022-01-27 09:00:00,1.87,29.374998
2022-01-27 10:00:00,3.43,56.624996
2022-01-27 11:00:00,15.65,64.49999
2022-01-27 12:00:00,27.5,67.99999
2022-01-27 13:00:00,13.2,75.99999
2022-01-27 14:00:00,12.92,72.99999
2022-01-27 15:00:00,9.45,65.99999
2022-01-27 16:00:00,6.15,58.749996
2022-01-27 17:00:00,-0.45,55.874996
2022-01-27 18:00:00,7.93,52.999996
2022-01-27 19:00:00,-0.03,50.124996
2022-01-27 20:00:00,0.75,48.749996
2022-01-27 21:00:00,3.6,47.249996
2022-01-27 22:00:00,1.33,45.499996
2022-01-27 23:00:00,0.03,43.749996
2022-01-28 00:00:00,-0.1,43.749996
2022-01-28 01:00:00,-0.05,43.999996
2022-01-28 02:00:00,-0.37,42.999996
2022-01-28 03:00:00,-0.28,42.999996
2022-01-28 04:00:00,-0.42,39.749996
2022-01-28 05:00:00,-0.13,35.124996
2022-01-28 06:00:00,-0.03,30.812498
2022-01-28 07:00:00,-0.42,25.062498
2022-01-28 08:00:00,0.45,22.374998
2022-01-28 09:00:00,2.32,25.062498
2022-01-28 10:00:00,10.15,37.249996
2022-01-28 11:00:00,33.38,44.749996
2022-01-28 12:00:00,38.13,58.749996
2022-01-28 13:00:00,51.63,77.24999
2022-01-28 14:00:00,75.35,75.24999
2022-01-28 15:00:00,72.1,68.74999
2022-01-28 16:00:00,65.35,57.999996
2022-01-28 17:00:00,30.68,45.124996
2022-01-28 18:00:00,13.22,38.624996
2022-01-28 19:00:00,46.3,36.124996
2022-01-28 20:00:00,64.28,37.249996
2022-01-28 21:00:00,57.35,39.749996
2022-01-28 22:00:00,44.08,43.374996
2022-01-28 23:00:00,42.92,46.499996
2022-01-29 00:00:00,38.07,50.124996
2022-01-29 01:00:00,29.2,44.374996
2022-01-29 02:00:00,32.03,41.874996
2022-01-29 03:00:00,32.33,39.374996
2022-01-29 04:00:00,17.03,37.999996
2022-01-29 05:00:00,10.4,36.874996
2022-01-29 06:00:00,1.18,34.749996
2022-01-29 07:00:00,0.35,28.999998
2022-01-29 08:00:00,2.73,22.937498
2022-01-29 09:00:00,10.63,21.687498
2022-01-29 10:00:00,14.92,26.874998
2022-01-29 11:00:00,21.92,33.624996
2022-01-29 12:00:00,32.8,41.249996
2022-01-29 13:00:00,35.77,70.24999
2022-01-29 14:00:00,30.12,71.74999
2022-01-29 15:00:00,38.15,69.49999
2022-01-29 16:00:00,44.77,67.24999
2022-01-29 17:00:00,65.47,65.99999
2022-01-29 18:00:00,62.97,65.99999
2022-01-29 19:00:00,65.77,65.99999
2022-01-29 20:00:00,57.45,65.99999
2022-01-29 21:00:00,65.98,67.24999
2022-01-29 22:00:00,67.23,68.74999
2022-01-29 23:00:00,58.93,70.24999
2022-01-30 00:00:00,10.62,70.99999
2022-01-30 01:00:00,16.8,72.99999
2022-01-30 02:00:00,19.48,71.74999
2022-01-30 03:00:00,14.4,69.49999
2022-01-30 04:00:00,15.22,66.74999
2022-01-30 05:00:00,9.88,62.999996
2022-01-30 06:00:00,6.47,59.374996
2022-01-30 07:00:00,7.78,55.874996
2022-01-30 08:00:00,14.57,53.749996
2022-01-30 09:00:00,28.8,55.124996
2022-01-30 10:00:00,34.87,67.99999
2022-01-30 11:00:00,46.22,72.99999
2022-01-30 12:00:00,58.93,75.99999
2022-01-30 13:00:00,66.72,77.24999
2022-01-30 14:00:00,,75.24999
2022-01-30 15:00:00,66.02,72.99999
2022-01-30 16:00:00,33.68,59.374996
2022-01-30 17:00:00,4.38,41.874996
2022-01-30 18:00:00,2.37,31.499998
2022-01-30 19:00:00,0.63,26.499998
2022-01-30 20:00:00,0.53,25.749998
2022-01-30 21:00:00,0.5,26.874998
2022-01-30 22:00:00,0.33,30.062498
2022-01-30 23:00:00,-0.07,34.749996
2022-01-31 00:00:00,0.07,38.624996
2022-01-31 01:00:00,-0.32,20.437498
2022-01-31 02:00:00,-0.23,22.374998
2022-01-31 03:00:00,0.13,24.687498
2022-01-31 04:00:00,-0.23,25.437498
2022-01-31 05:00:00,-0.12,24.687498
2022-01-31 06:00:00,-0.23,21.499998
2022-01-31 07:00:00,-0.18,15.218749
2022-01-31 08:00:00,0.1,11.281249
2022-01-31 09:00:00,0.42,14.687499
2022-01-31 10:00:00,0.18,9.593749
2022-01-31 11:00:00,0.05,18.999998
2022-01-31 12:00:00,0.38,28.312498
2022-01-31 13:00:00,1.82,41.249996
2022-01-31 14:00:00,,45.874996
2022-01-31 15:00:00,0.78,47.999996
2022-01-31 16:00:00,-0.08,40.499996
2022-01-31 17:00:00,-0.03,26.124998
2022-01-31 18:00:00,-0.4,18.249998
2022-01-31 19:00:00,-0.08,11.812499
2022-01-31 20:00:00,-0.28,7.1562495
2022-01-31 21:00:00,-0.47,5.6406245
2022-01-31 22:00:00,-0.33,6.2656245
2022-01-31 23:00:00,-0.28,9.749999
2022-02-01 00:00:00,0.17,16.312498
2022-02-01 01:00:00,6.68,4.6562495
2022-02-01 02:00:00,17.58,11.374999
2022-02-01 03:00:00,17.63,18.624998
2022-02-01 04:00:00,15.82,21.999998
2022-02-01 05:00:00,13.73,22.749998
2022-02-01 06:00:00,10.9,19.499998
2022-02-01 07:00:00,12.7,9.656249
2022-02-01 08:00:00,9.2,6.2656245
2022-02-01 09:00:00,15.02,9.937499
2022-02-01 10:00:00,14.1,13.781249
2022-02-01 11:00:00,26.53,19.687498
2022-02-01 12:00:00,40.82,30.062498
2022-02-01 13:00:00,46.77,41.249996
2022-02-01 14:00:00,46.62,37.624996
2022-02-01 15:00:00,,32.999996
2022-02-01 16:00:00,35.27,21.124998
2022-02-01 17:00:00,6.57,7.2499995
2022-02-01 18:00:00,1.52,3.3984373
2022-02-01 19:00:00,0.3,2.9062498
