time,PM10,PM10_model
2022-01-27 01:00:00,19.5,13.34375
2022-01-27 02:00:00,16.9,14.125
2022-01-27 03:00:00,22.7,14.75
2022-01-27 04:00:00,28.3,14.6875
2022-01-27 05:00:00,22.2,14.125
2022-01-27 06:00:00,23.2,13.28125
2022-01-27 07:00:00,25.4,12.5625
2022-01-27 08:00:00,27.8,11.71875
2022-01-27 09:00:00,28.1,10.6875
2022-01-27 10:00:00,31.4,9.8125
2022-01-27 11:00:00,33.1,9.1875
2022-01-27 12:00:00,29.7,8.75
2022-01-27 13:00:00,22.4,7.953125
2022-01-27 14:00:00,22.7,6.953125
2022-01-27 15:00:00,18.3,6.078125
2022-01-27 16:00:00,28.6,5.71875
2022-01-27 17:00:00,18.9,6.03125
2022-01-27 18:00:00,18.8,6.53125
2022-01-27 19:00:00,21.0,7.203125
2022-01-27 20:00:00,23.6,8.40625
2022-01-27 21:00:00,24.3,10.375
2022-01-27 22:00:00,22.3,11.75
2022-01-27 23:00:00,25.6,11.96875
2022-01-28 00:00:00,21.7,11.3125
2022-01-28 01:00:00,21.7,9.375
2022-01-28 02:00:00,18.7,8.0625
2022-01-28 03:00:00,17.8,6.34375
2022-01-28 04:00:00,18.4,4.421875
2022-01-28 05:00:00,33.4,2.5546875
2022-01-28 06:00:00,25.8,1.4804688
2022-01-28 07:00:00,21.4,1.6328125
2022-01-28 08:00:00,31.7,2.3359375
2022-01-28 09:00:00,28.3,2.65625
2022-01-28 10:00:00,26.1,2.2734375
2022-01-28 11:00:00,26.3,2.0390625
2022-01-28 12:00:00,42.6,1.9570312
2022-01-28 13:00:00,81.1,1.6953125
2022-01-28 14:00:00,37.2,1.5039062
2022-01-28 15:00:00,20.8,1.4023438
2022-01-28 16:00:00,22.7,1.4023438
2022-01-28 17:00:00,14.2,1.625
2022-01-28 18:00:00,12.6,1.921875
2022-01-28 19:00:00,16.8,2.28125
2022-01-28 20:00:00,26.4,2.8125
