time,PM25,PM25_model
2022-01-27 01:00:00,10.0,1.9921875
2022-01-27 02:00:00,5.0,1.875
2022-01-27 03:00:00,5.0,1.734375
2022-01-27 04:00:00,7.0,1.5507812
2022-01-27 05:00:00,7.0,1.40625
2022-01-27 06:00:00,5.0,1.3789062
2022-01-27 07:00:00,3.0,1.4492188
2022-01-27 08:00:00,2.0,1.4570312
2022-01-27 09:00:00,7.0,1.3789062
2022-01-27 10:00:00,6.0,1.3359375
2022-01-27 11:00:00,,1.4179688
2022-01-27 12:00:00,9.0,1.703125
2022-01-27 13:00:00,6.0,2.015625
2022-01-27 14:00:00,8.0,2.296875
2022-01-27 15:00:00,9.0,2.5625
2022-01-27 16:00:00,6.0,2.625
2022-01-27 17:00:00,9.0,2.578125
2022-01-27 18:00:00,9.0,2.484375
2022-01-27 19:00:00,6.0,2.375
2022-01-27 20:00:00,10.0,2.421875
2022-01-27 21:00:00,12.0,2.546875
2022-01-27 22:00:00,8.0,2.7265625
2022-01-27 23:00:00,10.0,3.0390625
2022-01-28 00:00:00,10.0,3.3828125
2022-01-28 01:00:00,6.0,2.1328125
2022-01-28 02:00:00,6.0,2.203125
2022-01-28 03:00:00,9.0,2.2734375
2022-01-28 04:00:00,7.0,2.2265625
2022-01-28 05:00:00,5.0,2.0703125
2022-01-28 06:00:00,7.0,1.9648438
2022-01-28 07:00:00,5.0,2.1484375
2022-01-28 08:00:00,6.0,3.3359375
2022-01-28 09:00:00,10.0,6.4375
2022-01-28 10:00:00,12.0,13.59375
2022-01-28 11:00:00,8.0,22.6875
2022-01-28 12:00:00,9.0,28.5625
2022-01-28 13:00:00,10.0,29.625
2022-01-28 14:00:00,7.0,28.9375
2022-01-28 15:00:00,6.0,27.3125
2022-01-28 16:00:00,12.0,23.875
2022-01-28 17:00:00,7.0,20.75
2022-01-28 18:00:00,8.0,17.6875
2022-01-28 19:00:00,12.0,15.3125
2022-01-28 20:00:00,11.0,13.9375
2022-01-28 21:00:00,17.0,13.4375
2022-01-28 22:00:00,17.0,13.53125
2022-01-28 23:00:00,14.0,14.96875
2022-01-29 00:00:00,22.0,18.3125
2022-01-29 01:00:00,34.0,4.1875
2022-01-29 02:00:00,11.0,3.84375
2022-01-29 03:00:00,11.0,3.734375
2022-01-29 04:00:00,18.0,4.078125
2022-01-29 05:00:00,17.0,6.1875
2022-01-29 06:00:00,13.0,11.40625
2022-01-29 07:00:00,21.0,20.5
2022-01-29 08:00:00,24.0,32.5
2022-01-29 09:00:00,23.0,41.625
2022-01-29 10:00:00,24.0,46.875
2022-01-29 11:00:00,48.0,46.25
2022-01-29 12:00:00,31.0,43.0
2022-01-29 13:00:00,33.0,39.0
2022-01-29 14:00:00,35.0,36.625
2022-01-29 15:00:00,37.0,36.0
2022-01-29 16:00:00,27.0,35.0
2022-01-29 17:00:00,40.0,33.25
2022-01-29 18:00:00,71.0,31.5
2022-01-29 19:00:00,174.0,29.0625
2022-01-29 20:00:00,170.0,27.0
2022-01-29 21:00:00,156.0,25.125
2022-01-29 22:00:00,149.0,22.5
2022-01-29 23:00:00,144.0,20.5
2022-01-30 00:00:00,136.0,19.875
2022-01-30 01:00:00,127.0,122.75
2022-01-30 02:00:00,113.0,146.0
2022-01-30 03:00:00,52.0,175.0
2022-01-30 04:00:00,110.0,194.0
2022-01-30 05:00:00,96.0,201.0
2022-01-30 06:00:00,102.0,199.0
2022-01-30 07:00:00,103.0,194.0
2022-01-30 08:00:00,107.0,185.0
2022-01-30 09:00:00,97.0,175.0
2022-01-30 10:00:00,103.0,170.5
2022-01-30 11:00:00,103.0,166.0
2022-01-30 12:00:00,123.0,148.5
2022-01-30 13:00:00,128.0,135.5
2022-01-30 14:00:00,64.0,129.0
2022-01-30 15:00:00,135.0,123.0
2022-01-30 16:00:00,134.0,121.25
2022-01-30 17:00:00,124.0,133.0
2022-01-30 18:00:00,98.0,149.5
2022-01-30 19:00:00,77.0,156.5
2022-01-30 20:00:00,55.0,165.0
2022-01-30 21:00:00,47.0,167.0
2022-01-30 22:00:00,104.0,159.5
2022-01-30 23:00:00,104.0,149.5
2022-01-31 00:00:00,95.0,130.5
2022-01-31 01:00:00,80.0,156.5
2022-01-31 02:00:00,74.0,156.0
2022-01-31 03:00:00,76.0,154.5
2022-01-31 04:00:00,0.0,151.0
2022-01-31 05:00:00,64.0,149.0
2022-01-31 06:00:00,69.0,150.5
2022-01-31 07:00:00,61.0,160.5
2022-01-31 08:00:00,56.0,174.5
2022-01-31 09:00:00,49.0,187.0
2022-01-31 10:00:00,47.0,199.0
2022-01-31 11:00:00,40.0,193.0
2022-01-31 12:00:00,57.0,165.0
2022-01-31 13:00:00,53.0,127.75
2022-01-31 14:00:00,44.0,104.0
2022-01-31 15:00:00,57.0,94.5
2022-01-31 16:00:00,63.0,99.0
2022-01-31 17:00:00,66.0,112.0
2022-01-31 18:00:00,61.0,128.0
2022-01-31 19:00:00,50.0,163.0
2022-01-31 20:00:00,41.0,196.5
2022-01-31 21:00:00,53.0,208.5
2022-01-31 22:00:00,53.0,211.0
2022-01-31 23:00:00,46.0,209.0
2022-02-01 00:00:00,47.0,209.5
2022-02-01 01:00:00,44.0,127.5
2022-02-01 02:00:00,41.0,128.5
2022-02-01 03:00:00,19.0,126.25
2022-02-01 04:00:00,38.0,120.0
2022-02-01 05:00:00,34.0,117.5
2022-02-01 06:00:00,29.0,122.25
2022-02-01 07:00:00,31.0,138.0
2022-02-01 08:00:00,32.0,152.0
2022-02-01 09:00:00,32.0,157.5
2022-02-01 10:00:00,75.0,163.5
2022-02-01 11:00:00,39.0,168.0
2022-02-01 12:00:00,41.0,173.0
2022-02-01 13:00:00,42.0,156.0
2022-02-01 14:00:00,29.0,120.25
2022-02-01 15:00:00,37.0,83.5
2022-02-01 16:00:00,33.0,57.5
2022-02-01 17:00:00,33.0,45.875
2022-02-01 18:00:00,37.0,39.625
2022-02-01 19:00:00,34.0,37.0
2022-02-01 20:00:00,27.0,36.125
2022-02-01 21:00:00,25.0,50.625
2022-02-01 22:00:00,27.0,62.125
2022-02-01 23:00:00,32.0,59.875
2022-02-02 00:00:00,29.0,58.0
2022-02-02 01:00:00,20.0,46.25
2022-02-02 02:00:00,16.0,45.625
2022-02-02 03:00:00,27.0,44.875
2022-02-02 04:00:00,24.0,43.5
2022-02-02 05:00:00,17.0,42.125
2022-02-02 06:00:00,12.0,40.75
2022-02-02 07:00:00,21.0,40.875
2022-02-02 08:00:00,22.0,42.375
2022-02-02 09:00:00,24.0,40.0
2022-02-02 10:00:00,31.0,37.25
2022-02-02 11:00:00,23.0,33.5
2022-02-02 12:00:00,17.0,28.125
