time,SO2,SO2_model
2022-01-27 01:00:00,5.80043,5.53125
2022-01-27 02:00:00,4.85729,4.9375
2022-01-27 03:00:00,4.83681,4.40625
2022-01-27 04:00:00,4.92854,4.171875
2022-01-27 05:00:00,5.33039,3.8671875
2022-01-27 06:00:00,7.11362,3.9296875
2022-01-27 07:00:00,9.27802,4.515625
2022-01-27 08:00:00,8.10107,5.0
2022-01-27 09:00:00,6.92911,5.0625
2022-01-27 10:00:00,7.32597,5.296875
2022-01-27 11:00:00,7.56042,5.421875
2022-01-27 12:00:00,9.59449,5.234375
2022-01-27 13:00:00,9.93185,4.9375
2022-01-27 14:00:00,9.04364,4.703125
2022-01-27 15:00:00,6.04118,4.578125
2022-01-27 16:00:00,6.19101,4.46875
2022-01-27 17:00:00,6.84688,4.578125
2022-01-27 18:00:00,6.80514,4.875
2022-01-27 19:00:00,7.14434,5.0625
2022-01-27 20:00:00,6.92141,4.9375
2022-01-27 21:00:00,6.68635,4.640625
2022-01-27 22:00:00,7.07983,4.28125
2022-01-27 23:00:00,6.87106,4.21875
2022-01-28 00:00:00,5.89699,4.765625
2022-01-28 01:00:00,5.95667,4.703125
2022-01-28 02:00:00,7.32769,3.8125
2022-01-28 03:00:00,5.57124,2.765625
2022-01-28 04:00:00,5.94956,2.109375
2022-01-28 05:00:00,5.62299,2.0546875
2022-01-28 06:00:00,5.1501,2.3515625
2022-01-28 07:00:00,6.6218,2.828125
2022-01-28 08:00:00,7.84425,3.2109375
2022-01-28 09:00:00,9.54628,3.2421875
2022-01-28 10:00:00,17.9366,3.0078125
2022-01-28 11:00:00,17.3829,2.796875
2022-01-28 12:00:00,6.45532,2.4375
2022-01-28 13:00:00,4.65602,2.171875
2022-01-28 14:00:00,5.0526,2.0546875
2022-01-28 15:00:00,5.90108,1.9648438
2022-01-28 16:00:00,3.79079,1.8320312
2022-01-28 17:00:00,4.32175,1.7851562
2022-01-28 18:00:00,4.68525,1.8320312
2022-01-28 19:00:00,2.74679,1.90625
2022-01-28 20:00:00,4.96414,2.203125
2022-01-28 21:00:00,3.71153,2.5625
2022-01-28 22:00:00,3.08609,2.9453125
2022-01-28 23:00:00,3.2408,3.3046875
2022-01-29 00:00:00,3.76825,3.8671875
2022-01-29 01:00:00,6.12729,4.40625
2022-01-29 02:00:00,5.71544,5.78125
2022-01-29 03:00:00,8.35753,6.421875
2022-01-29 04:00:00,9.73556,6.84375
2022-01-29 05:00:00,10.2585,6.734375
2022-01-29 06:00:00,11.3637,6.25
2022-01-29 07:00:00,18.5982,5.953125
2022-01-29 08:00:00,14.8771,5.78125
2022-01-29 09:00:00,11.723,4.875
2022-01-29 10:00:00,9.63286,4.9375
2022-01-29 11:00:00,10.0187,5.0
2022-01-29 12:00:00,7.76167,4.640625
2022-01-29 13:00:00,7.55704,3.9921875
2022-01-29 14:00:00,4.82978,3.125
2022-01-29 15:00:00,3.17475,2.46875
2022-01-29 16:00:00,4.42226,1.9960938
2022-01-29 17:00:00,5.72487,1.90625
2022-01-29 18:00:00,6.09024,2.140625
2022-01-29 19:00:00,5.64563,2.5625
2022-01-29 20:00:00,6.01348,2.9453125
2022-01-29 21:00:00,7.60239,3.0625
2022-01-29 22:00:00,6.6179,3.0390625
2022-01-29 23:00:00,7.16781,3.1875
2022-01-30 00:00:00,6.6968,3.3671875
2022-01-30 01:00:00,6.26344,1.9960938
2022-01-30 02:00:00,6.30868,1.578125
2022-01-30 03:00:00,9.43182,1.4453125
2022-01-30 04:00:00,11.181,1.3671875
2022-01-30 05:00:00,7.13904,1.4140625
2022-01-30 06:00:00,6.72775,1.6054688
2022-01-30 07:00:00,7.50078,1.890625
2022-01-30 08:00:00,11.0513,2.109375
2022-01-30 09:00:00,11.1668,2.140625
2022-01-30 10:00:00,11.8169,2.0546875
2022-01-30 11:00:00,14.3433,2.0546875
2022-01-30 12:00:00,10.4265,1.9960938
2022-01-30 13:00:00,13.9948,1.9335938
2022-01-30 14:00:00,12.3827,1.9960938
2022-01-30 15:00:00,20.437,2.0859375
2022-01-30 16:00:00,19.1136,2.109375
2022-01-30 17:00:00,9.11754,2.140625
2022-01-30 18:00:00,6.82509,2.234375
2022-01-30 19:00:00,6.73267,2.3515625
2022-01-30 20:00:00,5.95434,2.5625
2022-01-30 21:00:00,9.07944,2.7109375
2022-01-30 22:00:00,4.69072,2.734375
2022-01-30 23:00:00,3.52567,2.6484375
2022-01-31 00:00:00,3.83528,2.5
2022-01-31 01:00:00,8.91581,2.734375
2022-01-31 02:00:00,9.83163,2.890625
