,SO2,NO2,CO,O3,PM10,PM2.5,CO_model,NO2_model,SO2_model,O3_model,PM2.5_model,PM10_model
2021-10-12 01:00:00,1.0,3.1,180.0,68.6,14.9,7.0,290.9999694824219,4.374999523162842,2.359374761581421,57.24999618530274,8.906249046325684,10.124999046325684
2021-10-12 02:00:00,1.0,2.7,190.0,66.6,14.9,7.0,290.9999694824219,4.671874523162842,2.296874761581421,55.87499618530274,8.843749046325684,10.062499046325684
2021-10-12 03:00:00,1.2,2.5,190.0,63.1,14.9,8.5,297.9999694824219,5.187499523162842,2.328124761581421,53.74999618530274,8.937499046325684,10.249999046325684
2021-10-12 04:00:00,0.8,2.3,190.0,63.9,14.9,10.0,307.9999694824219,6.093749523162843,2.570312261581421,50.87499618530274,9.437499046325684,11.156249046325684
2021-10-12 05:00:00,0.5,2.9,190.0,57.0,14.9,10.0,310.9999694824219,6.687499523162843,2.742187261581421,48.74999618530274,9.874999046325684,12.031249046325685
2021-10-12 06:00:00,0.6,3.1,190.0,54.4,14.9,10.5,310.9999694824219,6.609374523162843,2.8984372615814213,46.49999618530274,10.312499046325684,12.718749046325685
2021-10-12 07:00:00,0.6,6.0,200.0,52.1,14.9,11.0,310.9999694824219,6.093749523162843,2.8984372615814213,44.374996185302734,10.406249046325684,12.624999046325685
2021-10-12 08:00:00,0.8,20.4,230.0,35.8,14.9,11.0,307.9999694824219,5.921874523162843,2.8984372615814213,42.624996185302734,10.249999046325684,12.187499046325685
2021-10-12 09:00:00,0.8,23.0,230.0,31.2,16.9,11.0,303.9999694824219,5.656249523162843,2.804687261581421,41.874996185302734,10.031249046325684,11.812499046325685
2021-10-12 10:00:00,0.6,26.4,230.0,25.4,18.8,11.0,303.9999694824219,5.312499523162842,2.570312261581421,41.249996185302734,8.999999046325684,10.593749046325684
2021-10-12 11:00:00,0.8,25.6,220.0,24.4,18.8,11.0,303.9999694824219,5.281249523162842,2.570312261581421,40.499996185302734,7.968749523162843,9.562499046325684
2021-10-12 12:00:00,0.9,22.8,220.0,26.9,20.3,10.5,303.9999694824219,5.312499523162842,2.593749761581421,40.124996185302734,7.624999523162843,9.218749046325684
2021-10-12 13:00:00,0.6,20.0,220.0,29.1,21.8,10.0,307.9999694824219,6.171874523162843,3.3124997615814213,37.249996185302734,7.796874523162843,9.781249046325684
2021-10-12 14:00:00,1.1,24.1,230.0,30.1,21.8,10.0,310.9999694824219,7.296874523162843,4.062499523162842,32.62499618530273,7.828124523162843,10.468749046325684
2021-10-12 15:00:00,0.7,21.5,210.0,36.3,19.8,10.0,313.9999694824219,7.968749523162843,4.421874523162842,28.99999809265137,7.874999523162843,11.031249046325684
2021-10-12 16:00:00,0.9,29.4,220.0,31.8,17.9,10.0,320.9999694824219,8.156249046325684,5.140624523162842,23.62499809265137,9.468749046325684,13.781249046325685
2021-10-12 17:00:00,1.0,32.1,240.0,24.1,17.9,10.0,327.9999694824219,8.062499046325684,6.093749523162843,16.687498092651367,12.124999046325685,18.437498092651367
2021-10-12 18:00:00,0.9,22.9,250.0,29.6,15.9,7.5,327.9999694824219,8.062499046325684,6.687499523162843,11.624999046325685,13.999999046325685,21.937498092651367
2021-10-12 19:00:00,0.7,23.7,240.0,24.9,13.9,5.0,327.9999694824219,7.812499523162843,6.562499523162843,4.343749523162842,20.062498092651367,31.93749809265137
2021-10-12 20:00:00,0.6,18.3,230.0,26.7,13.9,5.0,320.9999694824219,7.718749523162843,6.390624523162843,0.6386718153953552,25.31249809265137,40.999996185302734
2021-10-12 21:00:00,0.6,22.7,250.0,21.7,13.9,4.0,307.9999694824219,7.468749523162843,6.031249523162843,0.2578124701976776,22.99999809265137,38.124996185302734
2021-10-12 22:00:00,0.7,19.2,280.0,23.3,13.9,3.0,303.9999694824219,7.546874523162843,5.734374523162843,0.2802734076976776,18.624998092651367,31.06249809265137
2021-10-12 23:00:00,0.5,16.8,260.0,22.8,13.9,3.0,300.9999694824219,7.640624523162843,4.781249523162842,0.4472655951976776,15.374999046325685,24.56249809265137
2021-10-13 00:00:00,0.5,11.4,220.0,20.4,14.4,5.5,300.9999694824219,7.640624523162843,4.421874523162842,0.9628905653953552,12.937499046325685,19.312498092651367
2021-10-13 01:00:00,0.4,9.8,220.0,22.1,14.9,8.0,303.9999694824219,8.249999046325684,5.078124523162842,2.257812261581421,10.906249046325684,14.874999046325685
2021-10-13 02:00:00,0.5,6.0,200.0,25.9,14.9,8.0,303.9999694824219,8.937499046325684,5.484374523162842,1.6796873807907104,11.343749046325685,15.281249046325685
2021-10-13 03:00:00,0.7,4.7,190.0,26.9,13.4,8.0,310.9999694824219,9.624999046325684,6.687499523162843,0.8730468153953552,12.781249046325685,17.437498092651367
2021-10-13 04:00:00,0.3,2.8,190.0,31.0,11.9,8.0,340.9999694824219,11.499999046325685,8.718749046325684,0.2431640475988388,18.562498092651367,25.18749809265137
2021-10-13 05:00:00,0.5,3.8,200.0,30.1,11.9,8.0,367.9999694824219,14.062499046325685,9.312499046325684,0.0374755822122097,25.18749809265137,33.24999618530273
2021-10-13 06:00:00,0.5,4.7,200.0,29.6,11.4,6.0,373.9999694824219,14.749999046325685,9.437499046325684,0.0322265587747097,28.62499809265137,37.624996185302734
2021-10-13 07:00:00,0.6,17.2,230.0,15.8,10.9,4.0,360.9999694824219,12.187499046325685,8.968749046325684,0.3808593451976776,27.49999809265137,36.874996185302734
2021-10-13 08:00:00,1.5,32.6,280.0,4.6,10.9,4.0,353.9999694824219,11.499999046325685,9.312499046325684,1.3203123807907104,27.68749809265137,37.749996185302734
2021-10-13 09:00:00,1.8,39.5,300.0,4.3,13.9,4.0,350.9999694824219,12.343749046325685,10.156249046325684,2.664062261581421,29.31249809265137,39.749996185302734
2021-10-13 10:00:00,1.2,39.6,340.0,6.4,16.9,4.0,313.9999694824219,7.124999523162843,7.093749523162843,21.124998092651367,12.499999046325685,15.937499046325685
2021-10-13 11:00:00,1.2,40.1,340.0,9.3,16.9,4.0,307.9999694824219,6.171874523162843,5.374999523162842,26.87499809265137,10.437499046325684,12.781249046325685
